division= {
		name = "Führer-Begleit-Division"
		location = 1861 # Berlin
		leader = 225
		regiment = { type = division_hq_elite name = "Stab 'Führer-Begleit-Division'" historical_model = 0 experience = 75 organisation = 1 }
		regiment = { type = grossdeutschland_bat name = "Panzer-Grenadier-Regiment 100" historical_model = 6 experience = 75 strength = 1 organisation = 1 }
		regiment = { type = armored_engineers_brigade name = "Panzer-Pionier-Bataillon 120" historical_model = 4 experience = 75 strength = 1 organisation = 1 }
		regiment = { type = medium_tank_destroyer_brigade name = "Panzerjäger-Abteilung 673" historical_model = 4 experience = 75 strength = 1 organisation = 1 }
		regiment = { type = sp_artillery_brigade name = "Panzer-Artillerie-Regiment 120" historical_model = 5 experience = 75 strength = 1 organisation = 1 }
		regiment = { type = armor_brigade name = "Panzer-Regiment 102" historical_model = 8 experience = 75 strength = 1 organisation = 1 }
		regiment = { type = GER_hftrack_transport name = "Gefechtstross-Bat. 'Führer-Begleit'" historical_model = 10 experience = 75 organisation = 1 }
	}
