division= {
	name = "§Y10. Panzer-Division§W"
	location = 2562
	leader = 237 #General der Panzertruppen Ferdinand Schaal
	is_reserve = yes
	regiment = { type = GER_X_mPzD name = "Stab 10. Panzer-Division" historical_model = 0  experience = 55 strength = 25 organisation = 5 }
	regiment = { type = armor_brigade name = "Pz.-Rgt. 7/8" historical_model = 5  experience = 55 strength = 25 organisation = 5 }
	regiment = { type = motorized_infantry_bat name = "Schtz.-Rgt. 69/86" historical_model = 1  experience = 55 strength = 25 organisation = 5 }
	regiment = { type = tank_destroyer_brigade name = "PzJgd.-Abt. 90" historical_model = 2 experience = 55 strength = 25 organisation = 5 }
	regiment = { type = armored_car_brigade name = "Aufkl.-Abt. 90" historical_model = 2  experience = 55 strength = 25 organisation = 5 }
	regiment = { type = motorized_engineer_brigade name = "Pionier-Bat. 49" historical_model = 1 experience = 55 strength = 25 organisation = 5 }
	regiment = { type = GER_truck_transport name = "Gefechtstross-Bat.(Pz) 90" historical_model = 7 experience = 55 strength = 25 organisation = 5 }
}
#EOF#
