division= {
	name = "§Y13. Infanterie-Division(mot)§W"
	location = 1974
	leader = 600305
	is_reserve = yes
	is_prioritized= yes
	regiment = { type = GER_XIII_MID name = "Stab 13. Infanterie-Division(mot)" historical_model = 0 experience = 30 strength = 25 organisation = 5  }
	regiment = { type = motorized_brigade name = "Schtz.-Rgt. 33/66/93" historical_model = 1 experience = 30 strength = 25 organisation = 5  }
	regiment = { type = motorized_engineer_brigade  name = "Pionier-Bat. 13" historical_model = 2 experience = 30 strength = 25 organisation = 5 }
	regiment = { type = armored_car_brigade name = "Aufkl.-Abt.(mot) 13" historical_model = 2 experience = 30 strength = 25 organisation = 5 }
	regiment = { type = anti_tank_brigade name = "Panzerabwehr-Abt.(mot) 13" historical_model = 2 experience = 30 strength = 25 organisation = 5 }
	regiment = { type = artillery_brigade name = "Art.-Rgt.(mot) 13/49" historical_model = 1 experience = 30 strength = 25 organisation = 5 }
	regiment = { type = GER_light_transport name = "Gefechtstross-Bat.(mot) 13" historical_model = 6 experience = 30 strength = 25 organisation = 5 }
}
#EOF#
