division= {
	name = "16. Panzer-Grenadier-Division"
	location = 1861
	regiment = { type = GER_XVI_PzGrD name = "Stab 16. Panzer-Grenadier-Division" historical_model = 0 strength = 1 organisation = 1 }
	regiment = { type = mechanized_brigade name = "Gren.-Rgt. 60/156" historical_model = 2 strength = 1 organisation = 1 }
	regiment = { type = medium_tank_destroyer_brigade name = "PzJgd.-Abt. 228" historical_model = 0 strength = 1 organisation = 1 }
	regiment = { type = artillery_brigade name = "Art.-Rgt.(mot) 146" historical_model = 2 strength = 1 organisation = 1 }
	regiment = { type = assault_gun_brigade name = "Pz.-Abt 116" historical_model = 2 strength = 25 organisation = 5 }
	regiment = { type = armored_engineers_brigade  name = "Pionier-Bat. 675" historical_model = 4 strength = 1 organisation = 1 }
	regiment = { type = GER_hftrack_transport name = "Gefechtstross-Bat.(Pzgren) 66" historical_model = 10 strength = 1 organisation = 1 }
}
#EOF#
