division= {
	name = "§Y1. Leichte Division§W"
	location = 2201
	leader = 919
	is_reserve = yes
	regiment = { type = GER_I_LDiv name = "Stab 1. Leichte Division" historical_model = 1 experience = 50 strength = 25 organisation = 5 }
	regiment = { type = motorized_infantry_bat name = "Kav-Schtz.-Rgt. 4" historical_model = 1 experience = 50 strength = 25 organisation = 5 }
	regiment = { type = light_armor_brigade name = "Pz.-Rgt. 11" historical_model = 2 experience = 30 strength = 25 organisation = 5 }
	regiment = { type = motorcycle_recon_brigade name = "Lt-Aufkl.-Abt. 6" historical_model = 2 experience = 50 strength = 25 organisation = 5 }
	regiment = { type = anti_tank_brigade name = "Panzerabwehr-Abt. 41" historical_model = 2 experience = 50 strength = 25 organisation = 5 }
	regiment = { type = artillery_brigade name = "Art.-Rgt. 76(mot)" historical_model = 1 experience = 50 strength = 25 organisation = 5 }
	regiment = { type = GER_truck_transport name = "Gefechtstross-Bat.(Pz) 76" historical_model = 6 experience = 50 strength = 25 organisation = 5 }
}
#EOF#
