division= {
	name = "22. Luftlande-Division 'Kornblumen'"
	location = 1736
	leader = 258
	is_reserve = yes
	regiment = { type = GER_XXII_LLD name = "Stab 22. Luftlande-Division 'Kornblumen'" historical_model = 1 experience = 30 strength = 25 organisation = 5 }
	regiment = { type = airlanding_infantry_brigade name = "LL.-Inf.-Rgt. 16/47/65" historical_model = 1 experience = 30 strength = 25 organisation = 5 }
	regiment = { type = motorcycle_recon_brigade name = "LL.-Kradschtz.-Abt. 22" historical_model = 1 experience = 30 strength = 25 organisation = 5 }
	regiment = { type = commando_brigade name = "Kampfgruppe Schrader " historical_model = 1 experience = 30 strength = 25 organisation = 5 }
	regiment = { type = airborne_artillery_brigade name = "LL.-Art.-Rgt. 22" historical_model = 2 experience = 30 strength = 25 organisation = 5 }
	regiment = { type = GER_light_transport name = "LL.-Gefechtstross-Bat.(mot) 22" historical_model = 5 experience = 30 strength = 25 organisation = 5 }
}
#EOF#
