division= {
	name = "§Y29. Infanterie-Division(mot) 'Falken' §W"
	location = 2262
	leader = 352
	is_prioritized = yes
	regiment = { type = GER_XXIX_MID name = "Stab 29. Infanterie-Division(mot) 'Falken'" historical_model = 0 experience = 50 strength = 25 organisation = 5 }
	regiment = { type = motorized_brigade name = "Schtz.-Rgt. 15/71/86" historical_model = 2 experience = 50 strength = 25 organisation = 5 }
	regiment = { type = armored_car_brigade name = "Aufkl.-Abt.(mot) 29" historical_model = 2 experience = 55 strength = 25 organisation = 5 }
	regiment = { type = anti_tank_brigade name = "Panzerabwehr-Abt.(mot) 29" historical_model = 2 experience = 55 strength = 25 organisation = 5 }
	regiment = { type = motorized_engineer_brigade  name = "Pionier-Btl.(mot) 29" historical_model = 1 experience = 30 strength = 25 organisation = 5 }
	regiment = { type = artillery_brigade name = "Art.-Rgt.(mot) 29" historical_model = 1 experience = 50 strength = 25 organisation = 5 }
	regiment = { type = GER_light_transport name = "Gefechtstross-Bat.(mot) 29" historical_model = 6 experience = 50 strength = 25 organisation = 5 }
}
#EOF#
