division= {
	name = "5. Gebirgs.-Division"
	location = 3090 #Salzurg
	leader = 227 #Julius Ringel
	is_prioritized= yes
	regiment = { type = GEB_V name = "Stab 5. Gebirgs.-Division" historical_model = 0 strength = 1 organisation = 1 }
	regiment = { type = bergsjaeger_brigade name = "Geb.-Rgt. 85/100" historical_model = 2 strength = 1 organisation = 1 }
	regiment = { type = pack_artillery_brigade name = "Geb.-Art.-Rgt. 95" historical_model = 4 strength = 1 organisation = 1 }
	regiment = { type = anti_tank_brigade name = "Geb.-Panzerjäger-Abt. 95" historical_model = 3 strength = 1 organisation = 1 }
	regiment = { type = Recon_cavalry_brigade name = "Geb.-Aufkl.-Abt. 95" historical_model = 3 strength = 1 organisation = 1 }
	regiment = { type = engineer_brigade name = "Geb.-Pionier-Btl. 95" historical_model = 1 strength = 1 organisation = 1 }
	regiment = { type = horse_transport name = "Geb.-Gefechtstross-Bat. 95" historical_model = 7 }
}
