division= {
	name = "§Y7. Panzer Division 'Gespenst'§W" # uses Pz 38(t)
	location = 1861
	is_reserve = yes
	is_prioritized = yes
	regiment = { type = GER_VII_PzD name = "Stab 7. Panzer-Division 'Gespenst'" historical_model = 0 strength = 1 organisation = 1 }
	regiment = { type = GER_pzthirtyeight_rgt name = "Pz.-Rgt. 25" historical_model = 0 strength = 1 organisation = 1 }
	regiment = { type = motorized_brigade name = "Schtz.-Rgt. 6/7" historical_model = 2 strength = 1 organisation = 1 }
	regiment = { type = tank_destroyer_brigade name = "PzJgd.-Abt. 42" historical_model = 3 strength = 1 organisation = 1 }
	regiment = { type = light_armor_bat name = "Panzer-Abt. 66" historical_model = 3 strength = 1 organisation = 1 }
	regiment = { type = artillery_brigade name = "Art.-Rgt. 78(mot)" historical_model = 1 strength = 1 organisation = 1 }
	regiment = { type = GER_truck_transport name = "Gefechtstross-Bat.(Pz) 29" historical_model = 7 strength = 1 organisation = 1 }
}
#EOF#
