division= {
		name = "Panzergrenadier-Division Kurmark"
		location = 2093 #Cottbus
		leader = 600086 #Langkeit
		regiment = { type = division_hq_elite name = "Stab Panzergrenadier-Division 'Kurmark'" historical_model = 0 }
		regiment = { type = grossdeutschland_bat name = "Panzer-Grenadier/Füsilier Regiment Kurmark" historical_model = 6 experience = 15 }
		regiment = { type = armored_engineers_brigade name = "Pionier-Bataillon Kurmark" historical_model = 4 experience = 15 }
		regiment = { type = tank_destroyer_brigade name = "Panzerjäger-Abteilung Kurmark" historical_model = 6 experience = 15 }
		regiment = { type = sp_artillery_brigade name = "Panzer Artillerie Regiment Kurmark" historical_model = 5 experience = 15 }
		regiment = { type = armor_bat name = "Panzer-Regiment Kurmark" historical_model = 8 experience = 15 }
		regiment = { type = GER_hftrack_transport name = "Panzer-Versorgungstruppen 151" historical_model = 10 }
	}
