division = {
	name = "Panzer-Division 'Müncheberg'"
	location = 1861 #Berlin
	leader = 670 #Mummert
	regiment = { type = GER_Munch_PzD name = "Stab Panzer-Division 'Müncheberg'" historical_model = 0 experience = 30 strength = 1 organisation = 1 }
	regiment = { type = armor_brigade name = "Pz.-Rgt. Müncheberg" historical_model = 8 experience = 30 strength = 1 organisation = 1 }
	regiment = { type = mechanized_infantry_bat name = "PzGren.-Rgt. Müncheberg 1/2" historical_model = 6 experience = 30 strength = 1 organisation = 1 }
	regiment = { type = armored_car_brigade name = "Panzer-Späh-Kompanie Müncheberg" historical_model = 9 experience = 30 strength = 1 organisation = 1 }
	regiment = { type = sp_artillery_brigade name = "Panzerartillerieregiment Müncheberg" historical_model = 5 experience = 30 strength = 1 organisation = 1 }
	regiment = { type = armored_engineers_brigade name = "Panzerpionier Kompanie Müncheberg" historical_model = 4 experience = 30 strength = 1 organisation = 1 }
	regiment = { type = GER_hftrack_transport name = "Versorgungstruppen Müncheberg" historical_model = 10 experience = 30 }
}
