division= {
	name = "SS-PzGr-Division 'Das Reich'"
	location = 1861
	leader = 508 #George Keppler
	regiment = { type = division_hq_ss_elite name = "SS-Das Reich-Stab" historical_model = 0 }
	regiment = { type = ss_dasreich name = "SS-PzG Rgt.3'Deutschland'/4'Der Führer'" historical_model = 3 experience = 50 }
	regiment = { type = ss_anti_tank_brigade name = "PzJ Abteilung 'Reich'" historical_model = 3 experience = 55.000 }
	regiment = { type = ss_tank_destroyer_brigade name = "Sturmgeschutz Abteilung'Reich'" historical_model = 2 experience = 55.000 }
	regiment = { type = ss_artillery_brigade name = "Artillerie Regiment 'Reich'" historical_model = 2 experience = 55.000 }
	regiment = { type = ss_armored_car_brigade name = "Aufklarungs Abteilung 'Reich'" historical_model = 3 experience = 55.000 }
	regiment = { type = GER_truck_transport name = "Gefechtstross-Bat 'Reich'" historical_model = 10 experience = 55.000 }
}
#EOF#
