division= {
	name = "6. Fallschirmjäger-Division"
	location = 2425 #Amiens
	leader = 306 #Rudiger von Heyking
	regiment = { type = VI_FD name = "Stab 6. Fallschirmjäger-Division" historical_model = 0 experience = 40 organisation = 1 strength = 1 }
	regiment = { type = elite_light_infatry_brigade name = "Fallschirmjäger-Rgt. 16/17/18" historical_model = 4 experience = 60 organisation = 1 strength = 1 }
	regiment = { type = rocket_artillery_brigade name = "Fallschirm-Granatwerfer-Abt. 6" historical_model = 3 experience = 40 organisation = 1 strength = 1 }
	regiment = { type = anti_tank_brigade name = "Fallschirm-Panzerjäger-Abt. 6" historical_model = 4 experience = 40 organisation = 1 strength = 1 }
	regiment = { type = airborne_artillery_brigade name = "Fallschirm-Artillerie-Rgt. 6" historical_model = 4 experience = 40 organisation = 1 strength = 1 }
	regiment = { type = airborne_engineer_bat name = "Fallschirm-Pionier-Bat. 6" historical_model = 2 experience = 40 organisation = 1 strength = 1 }
	regiment = { type = GER_hftrack_transport name = "Nachschubführer der 6. Fallsch.-Div." historical_model = 5 experience = 40 organisation = 1 strength = 1 }
}	
