division = {
		name = "Russian Corps"
		location = 3983 # Beograd
		is_reserve = no
		leader = 600358  #Vlasov
		regiment = { type = division_hq_standard historical_model = 0 }
		regiment = { type = cavalry_brigade name = "I. Russian Regiment" historical_model = 3 builder = SOV }
		regiment = { type = infantry_brigade name = "II. Russian Regiment" historical_model = 2 builder = SOV }
		regiment = { type = conscript_brigade name = "III. Russian Regiment" historical_model = 1 builder = SOV }
		regiment = { type = conscript_brigade name = "IV. Russian Regiment" historical_model = 1 builder = SOV }
		regiment = { type = conscript_brigade name = "V. Russian Regiment" historical_model = 1 builder = SOV }
	}
