division= {
	name = "4.SS-Polizei-Panzergrenadier-Division"
	location = 1861 # Berlin
	is_reserve = no
	regiment = { type = division_hq_ss_veteran name = "SS-Polizei-Stab" historical_model = 0 }
	regiment = { type = ss_polizei name = "SS-Panzer-Grenadier-Regiment 7/8" historical_model = 3 experience = 40 strength = 15 }
	regiment = { type = ss_armor_bat name = "SS-Panzer-Abteilung 4" historical_model = 0 experience = 25 strength = 15 }
	regiment = { type = ss_tank_destroyer_brigade name = "SS-Sturmgeschutz-Abteilung 4" historical_model = 1 experience = 25 strength = 15 }
	regiment = { type = ss_armored_car_brigade name = "SS-Aufklarungs-Abteilung 4" historical_model = 5 experience = 40 strength = 15 }
	regiment = { type = ss_artillery_brigade name = "SS-Artillerie-Regiment 4" historical_model = 2 experience = 40 strength = 15 }
	regiment = { type = civilian_truck_transport name = "Gefechtstross-Bat 'Polizei'" historical_model = 9 }
}
#EOF#
