division= {
	name = "14. Panzer-Division"
	location = 2264
	leader = 117 #Hansen E-O.
	regiment = { type = GER_XIV_mPzD name = "Stab 14. Panzer-Division" historical_model = 0 experience = 35 strength = 25 organisation = 5 }
	regiment = { type = armor_brigade name = "Pz.-Rgt. 36" historical_model = 3 experience = 35 strength = 25 organisation = 5 }
	regiment = { type = motorized_brigade name = "Schtz.-Rgt. 103/108" historical_model = 4 experience = 35 strength = 25 organisation = 5 }
	regiment = { type = tank_destroyer_brigade name = "PzJgd.-Abt. 4" historical_model = 2 experience = 35 strength = 25 organisation = 5 }
	regiment = { type = artillery_brigade name = "Art.-Rgt.(mot) 4" historical_model = 2 experience = 35 strength = 25 organisation = 5 }
	regiment = { type = armored_engineers_brigade name = "Pz-Pionier-Bat. 13" historical_model = 3 experience = 35 strength = 25 organisation = 5 }
	regiment = { type = GER_truck_transport name = "Gefechtstross-Bat.(Pz) 4" historical_model = 8 experience = 35 strength = 25 organisation = 5 }
}
#EOF#
