division= {
	name = "§Y3. Panzer-Division§W"
	location = 2092 #Wünsdorf - ingame Finsterwalde
	leader = 58 # Ernst Fesssman
	regiment = { type = GER_III_PzD name = "Stab 3. Panzer-Division" historical_model = 0 strength = 1 organisation = 1 }
	regiment = { type = light_armor_brigade name = "Pz.-Rgt. 5" historical_model = 0 strength = 1 organisation = 1 }
	regiment = { type = light_armor_brigade name = "Pz.-Rgt. 6" historical_model = 0 strength = 1 organisation = 1 }
	regiment = { type = motorized_infantry_bat name = "Schtz.-Bat. 3" historical_model = 0 strength = 1 organisation = 1 }
	regiment = { type = armored_car_brigade name = "Aufkl.-Abt. 3" historical_model = 0 strength = 1 organisation = 1 }
	regiment = { type = motorized_engineer_brigade name = "Pionier-Bat. 39" historical_model = 0 strength = 1 organisation = 1 }
	regiment = { type = GER_light_transport name = "Gefechtstross-Bat.(Pz) 83" historical_model = 3 strength = 1 organisation = 1 }
}
#EOF#
