division = {
	name = "131a Divisione Corazzata 'Centauro'"
	leader = 6359 #Magli, Giovanni
	location = 3694 #Cremona
	regiment = { type = ita_onehundredthirtyfirst_armored name = "Comando 131a Divisione Corazzata 'Centauro'" historical_model = 0 }
	regiment = { type = elite_light_infantry_brigade name = "5o Rgt. Bersaglieri" historical_model = 2 }
	regiment = { type = light_armor_brigade name = "31o Reggimento Carristi" historical_model = 1 }
	regiment = { type = medium_artillery_brigade name = "131o Rgt Artiglieria Corazzata" historical_model = 1 }
	regiment = { type = anti_tank_brigade name = "Cie Bersaglieri Cannoni Controcarro da 47/32 mot. 'Centauro'" historical_model = 1 }
	regiment = { type = motorized_engineer_brigade name = "131a Cia Mista Genio motorizzata" historical_model = 1 }
	regiment = { type = truck_transport name = "Gruppo Trasporti 131a Div. 'Centauro'" historical_model = 3 }
}
#EOF
