division = {
	name = "133a Divisione Corazzata 'Littorio'"
	leader = 6100 #Bitossi, Gervasio
	location = 4549 # Roma
	regiment = { type = ita_onehundredthirtythird_armored name = "Comando 133a Divisione Corazzata 'Littorio'" historical_model = 0 strength = 0 organisation = 0 }
	regiment = { type = elite_light_infantry_brigade name = "12o Rgt. Bersaglieri" historical_model = 2 strength = 0 organisation = 0 }
	regiment = { type = light_armor_brigade name = "33o Reggimento Carristi" historical_model = 1 strength = 0 organisation = 0 }
	regiment = { type = artillery_brigade name = "133o Rgt Artiglieria Corazzata" historical_model = 1 strength = 0 organisation = 0 }
	regiment = { type = anti_tank_brigade name = "Cie Bersaglieri Cannoni Controcarro da 47/32 mot. 'Littorio'" historical_model = 1 strength = 0 organisation = 0 }
	regiment = { type = motorized_engineer_brigade name = "132a Cia Mista Genio motorizzata" historical_model = 1 strength = 0 organisation = 0 }
	regiment = { type = truck_transport name = "Gruppo Trasporti 133a Div. 'Littorio'" historical_model = 3 strength = 0 organisation = 0 }
}
#EOF
