division = {
	name = "Dai-23 Shidan 'Sunrise'"
	leader = 101290 #Komatsubara, Michitaro
	location = 5544 #Kumamoto
	regiment = { type = jap_twentythird_id name = "Dai-23 Shidan 'Sunrise' shireibu" historical_model = 0 experience = 25 }
	regiment = { type = infantry_brigade name = "64/71/72 Hoheirentai" historical_model = 2 experience = 25 }
	regiment = { type = mixed_support_brigade name = "Dai-23 Konsei ryodan" historical_model = 1 experience = 25 }
	regiment = { type = artillery_brigade name = "Dai-23 Yahohei rentai" historical_model = 2 experience = 25 }
	regiment = { type = engineer_brigade name = "Dai-23 Kohei rentai" historical_model = 2 experience = 25 }
	regiment = { type = Recon_cavalry_brigade name = "Dai-23 Kihei rentai" historical_model = 2 experience = 25 }
	regiment = { type = horse_transport name = "Dai-23 Shichoheitai" historical_model = 3 experience = 25 }
}
