division = {
	name = "Dai-49 Shidan 'Wolf'"
	location = 5315

	regiment = { type = jap_fortyninth_id name = "Dai-49 Shidan 'Wolf' Shireibu" historical_model = 3 experience = 25 }
	regiment = { type = infantry_brigade name = "106/153/168 Hohei Rentai" historical_model = 5 experience = 25 }
	regiment = { type = mixed_support_brigade name = "Dai-49 Konsei Ryodan" historical_model = 4 experience = 25 }
	regiment = { type = Recon_cavalry_brigade name = "Dai-49 Kihei Rentai" historical_model = 5 experience = 25 }
	regiment = { type = pack_artillery_brigade name = "Dai-49 Sampohei Rentai" historical_model = 5 experience = 25 }
	regiment = { type = engineer_brigade name = "Dai-49 Kohei Rentai" historical_model = 4 experience = 25 }
	regiment = { type = horse_transport name = "Dai-49 Shichoheitai" historical_model = 8 experience = 25 }
}
