division = {
	name = "1aya Gvardiya Moskva Motostrelkovoy Div."
	location = 1409 #Moscow
	is_reserve = yes

	regiment = { type = division_hq_guard_veteran name = "HQ 1aya Gvardiya Moskva Motostrelkovoy Div." historical_model = 0 }
	regiment = { type = motorized_brigade name = "2/7/16-iy Gvardiya Motostrelkovoy Polk" historical_model = 0 }
	regiment = { type = artillery_brigade name = "20-iy Gvardiya Mot.-Artileriyskiy Polk" historical_model = 1 }
	regiment = { type = anti_tank_brigade name = "123-iy Mot.-Protivotankoviy Bat." historical_model = 0 }
	regiment = { type = Recon_cavalry_brigade name = "93-iy Razvedovatelniy Bat." historical_model = 0 }
	regiment = { type = motorized_engineer_brigade name = "123-iy Sapernogo Bat." historical_model = 0 }
	regiment = { type = truck_transport name = "" historical_model = 7 }
}
