division = {
	name = "23ya Tankovy Korpus"
	location = 1409 #Moskva
	#leader = 9804  # Ahmanov
	is_reserve = yes
	
	regiment = { type = division_hq_veteran name = "HQ 23rd Tank Corps" historical_model = 0 experience = 45 }
	regiment = { type = armor_brigade name = "3rd/39th/135th Tank Brigades" historical_model = 6 experience = 45 }
	regiment = { type = motorized_infantry_bat name = "56th Motorised Rifle Brigade" historical_model = 3 experience = 45 }
	regiment = { type = assault_gun_brigade name = "Assault Gun Regiment 23rd Tank Corps" historical_model = 4 experience = 45 }
	regiment = { type = sp_artillery_brigade name = "Self-propelled Artillery Reg. 23rd Tank Corps" historical_model = 4 experience = 45 }
	regiment = { type = heavy_anti_tank_brigade name = "AT-Artillery Regiment 23rd Tank Corps" historical_model = 4 experience = 45 }
	regiment = { type = truck_transport name = "Transport-Bat. 23rd Tank Corps" historical_model = 0 experience = 45 }
}
