division = {
	name = "§Y3iy Gvardeyskiy Mechanizirovanniy Korpus§W"
	location = 1409 #Moskva
	is_reserve = yes
	
	regiment = { type = division_hq_veteran name = "HQ 3rd Guards Mechanised Corps" historical_model = 0 experience = 75 }
	regiment = { type = guard_motorized_brigade name = "7/8/35th Guards Mechanised Brigades" historical_model = 3 experience = 75 }
	regiment = { type = guard_heavy_armor_brigade name = "23rd Guards Tank Brigade" historical_model = 6 experience = 75 }
	regiment = { type = guard_sp_rct_artillery_brigade name = "Mortar Reg. 3rd Guards Mechanised Corps" historical_model = 3 experience = 75 }
	regiment = { type = armored_support_brigade name = "Divisional Support 3rd Guards Mechanised Corps" historical_model = 2 experience = 75 }
	regiment = { type = motorcycle_recon_brigade name = "Motorcycle Recon Bat. 3rd Guards Mechanised Corps" historical_model = 3 experience = 75 }
	regiment = { type = truck_transport name = "Transport-Bat. 3rd Guards Mechanised Corps" historical_model = 0 experience = 75 }
}
