division = {
	name = "§Y3ya Tankovy Korpus§W"
	location = 790 # Vologda
	leader = 10306  # M.D. Sinenko
	is_reserve = yes
	
	regiment = { type = division_hq_veteran name = "HQ 3rd Tank Corps" historical_model = 0 experience = 25 }
	regiment = { type = armor_brigade name = "50th/51st/103rd Tank Brigades" historical_model = 4 experience = 25 }
	regiment = { type = motorized_infantry_bat name = "57th Motorised Rifle Brigade" historical_model = 3 experience = 25 }
	regiment = { type = armored_support_brigade name = "Divisional Support 3rd Tank Corps" historical_model = 3 experience = 25 }
	regiment = { type = motorcycle_recon_brigade name = "74th Motorcycle Recon Battalion" historical_model = 3 experience = 25 }
	regiment = { type = truck_transport name = "Transport-Bat. 3rd Tank Corps" historical_model = 0 experience = 25 }
}
