division = {
	name = "§Y3ya Tankovy Korpus§W"
	location = 790 #Vologda
	leader = 10306  # M.D. Sinenko
	is_reserve = yes
	
	regiment = { type = division_hq_veteran name = "HQ 3rd Tank Corps" historical_model = 0 experience = 45 }
	regiment = { type = armor_brigade name = "50th/51st/103rd Tank Brigades" historical_model = 6 experience = 45 }
	regiment = { type = motorized_infantry_bat name = "57th Motorised Rifle Brigade" historical_model = 3 experience = 45 }
	regiment = { type = assault_gun_brigade name = "Assault Gun Regiment 3rd Tank Corps" historical_model = 4 experience = 45 }
	regiment = { type = sp_artillery_brigade name = "Self-propelled Artillery Reg. 3rd Tank Corps" historical_model = 4 experience = 45 }
	regiment = { type = heavy_anti_tank_brigade name = "881st AT-Artillery Regiment" historical_model = 4 experience = 45 }
	regiment = { type = truck_transport name = "Transport-Bat. 3rd Tank Corps" historical_model = 0 experience = 45 }
}
