#59th Separate Tank Division
#Formed from March to June 1941, upon 43rd light tank brigade, 264th rifle regiment, 114th artillery regiment and 31st cavalry division
#Formed in Zavitaya Station, Amour Oblast, Far East Military District
#Transfered to Moscow in mid-July 1941 and used to form 108th and 109th Tank Divisions.
division = {
	name = "§Y59-ya Otd. Tankovaya Diviziya§W"
	location = 8697 #Zavitaya Station
	leader = 10186 #Chernobai, Semion P.
	is_reserve = yes
	regiment = { type = division_hq_standard name = "Shtab-K. 59-y Tankovoy Divizii" historical_model = 0}
	regiment = { type = armor_brigade name = "118-y/119-y Tankovye Polki" historical_model = 3 strength = 90} # mainly T26s and BTs, got T34s
	regiment = { type = motorized_infantry_bat name = "59-y Motostrelkovyy Polk" historical_model = 2 strength = 90}
	regiment = { type = artillery_brigade name = "59-y Mot.-Artilleriyskiy Polk" historical_model = 2 strength = 90}
	regiment = { type = motorized_engineer_brigade name = "59-y Mot.-Sap'ornyy B-n" historical_model = 2 strength = 90}
	regiment = { type = motorized_support_brigade name = "59-y PT/Zen.Art./Raz. Bataliony" historical_model = 1 strength = 90}
	regiment = { type = truck_transport name = "59-y Avtotransportnyy B-n" historical_model = 2 strength = 90}
}
