division = {
	name = "§Y3iy Mechanizirovanniy Korpus§W"
	location = 790 #Vologda
	leader = 10050  # S.M. Krivoshein
	is_reserve = yes
	
	regiment = { type = division_hq_veteran name = "HQ 3rd Mechanised Corps" historical_model = 0 experience = 35 }
	regiment = { type = motorized_brigade name = "1st/3rd/10th Mechanised Brigades" historical_model = 3 experience = 35 }
	regiment = { type = guard_heavy_armor_brigade name = "1st Guards Tank Brigade" historical_model = 3 experience = 35 }
	regiment = { type = guard_sp_rct_artillery_brigade name = "405th Separate Guards Mortar Regiment" historical_model = 3 experience = 35 }
	regiment = { type = armored_engineers_brigade name = "Engineer-Bat. 3rd Mechanised Corps" historical_model = 1 experience = 35 }
	regiment = { type = motorcycle_recon_brigade name = "58th Motorcycle Recon Bat." historical_model = 3 experience = 35 }
	regiment = { type = truck_transport name = "Transport-Bat. 3rd Mechanised Corps" historical_model = 0 experience = 35 }
}
