division = {
	name = "8iy Mechanizirovanniy Korpus"
	location = 2068 #Sarotov
	leader = 10243  # P.A. Rotmistrov    - replacement, no leader available, Rotmistrov was in charge of a tank corps that got replaced earlier on
	is_reserve = yes
	
	regiment = { type = division_hq_veteran name = "HQ 8th Mechanised Corps" historical_model = 0 experience = 35 }
	regiment = { type = mechanized_brigade name = "66/67/68th Mechanised Brigades" historical_model = 3 experience = 35 }
	regiment = { type = armor_bat name = "116th Tank Brigade" historical_model = 6 experience = 35 }
	regiment = { type = assault_gun_brigade name = "Assault Gun Reg. 8th Mechanised Corps" historical_model = 3 experience = 35 }
	regiment = { type = heavy_anti_tank_brigade name = "AT-Artillery Reg. 8th Mechanised Corps" historical_model = 4 experience = 35 }
	regiment = { type = sp_artillery_brigade name = "Self-propelled Artillery Reg. 8th Mechanised Corps" historical_model = 4 experience = 35 }
	regiment = { type = truck_transport name = "Transport-Bat. 8th Mechanised Corps" historical_model = 0 experience = 35 }
}
