division= {
	name = "98th Infantry Division 'Iroquois'"
	location = 6946 # Camp Breckenridge, Kentucky
	is_reserve = yes
	regiment = { type = usa_ninetyeighth_id name = "98th Infantry Division HQ" historical_model = 0 }
	regiment = { type = motorized_brigade name = "389/390/391 Infantry Rgts." historical_model = 3 strength = 10 organisation = 1}
	regiment = { type = motorcycle_recon_brigade name = "98th Recon Troop" historical_model = 3 strength = 10 organisation = 1}
	regiment = { type = anti_tank_brigade name = "98th Anti Tank Battalion" historical_model = 2 strength = 10 organisation = 1}
	regiment = { type = artillery_brigade name = "367/368/399/923 Field Artillery Btns." historical_model = 3 strength = 10 organisation = 1}
	regiment = { type = motorized_engineer_brigade name = "323rd Engineer Combat Btn." historical_model = 1 strength = 10 organisation = 1}
	regiment = { type = USA_truck_transport name = "98th Quartermaster Company" historical_model = 7 strength = 10 organisation = 1}
}
