division= {
	name = "98th Infantry Division 'Iroquois'"
	location = 6946 # Camp Breckenridge, Kentucky
	is_reserve = yes
	regiment = { type = usa_ninetyeighth_id name = "98th Infantry Division HQ" historical_model = 0 }
	regiment = { type = mechanized_brigade name = "389/390/391 Infantry Rgts." historical_model = 4 strength = 25}
	regiment = { type = armored_car_brigade name = "98th Recon Troop" historical_model = 3 strength = 25}
	regiment = { type = medium_tank_destroyer_brigade name = "98th Anti Tank Battalion" historical_model = 3 strength = 25}
	regiment = { type = sp_artillery_brigade name = "367/368/399/923 Field Artillery Btns." historical_model = 3 strength = 25}
	regiment = { type = armored_engineers_brigade name = "323rd Engineer Combat Btn." historical_model = 2 strength = 25}
	regiment = { type = hftrack_transport name = "98th Quartermaster Company" historical_model = 9 strength = 25}
}
