division= {
	name = "96th Infantry Division 'Deadeye'"
	location = 2736 # Camp White, Oregon
	is_reserve = yes
	regiment = { type = usa_ninetysixth_id name = "96th Infantry Division HQ" historical_model = 0 }
	regiment = { type = motorized_brigade name = "381/382/383 Infantry Rgts." historical_model = 3 strength = 10 organisation = 1}
	regiment = { type = motorcycle_recon_brigade name = "96th Recon Troop" historical_model = 3 strength = 10 organisation = 1}
	regiment = { type = anti_tank_brigade name = "96th Anti Tank Battalion" historical_model = 2 strength = 10 organisation = 1}
	regiment = { type = artillery_brigade name = "361/362/363/921 Field Artillery Btns." historical_model = 3 strength = 10 organisation = 1}
	regiment = { type = motorized_engineer_brigade name = "321st Engineer Combat Btn." historical_model = 1 strength = 10 organisation = 1}
	regiment = { type = USA_truck_transport name = "96th Quartermaster Company" historical_model = 7 strength = 10 organisation = 1}
}
