military_construction = {
	country = GER
	
	name = "'Groﬂdeutschland' Inf.-Rgt. (mot.)"
	is_prioritized= yes
	
	division_hq_elite = { name = "Stab 'Groﬂdeutschland'" historical_model = 0 }
	grossdeutschland_brigade = { name = "Inf.-Rgt.'Groﬂdeutschland'" historical_model = 2 experience = 100 }
	armored_car_brigade = { name = "Aufklarung.-Abt.'Groﬂdeutschland'" historical_model = 3 experience = 75 }
	artillery_brigade = { name = "Art.-Rgt.(mot.) 'Groﬂdeutschland'" historical_model = 1 experience = 75 }
	GER_truck_transport = { name = "Gefechtstross-Bat. 'Groﬂdeutschland'" historical_model = 6 }
	
	cost = 21.400
	duration = 148.000
	progress = 37.000
}
#EOF#
