# Historia Events #;;;;;;;;;;;;;;x
EVTNAME88401;Liberation;;;;;;;;;;;;;x
EVTDESC88401;This great nation had been occupied by the Axis. After some years of struggle liberating themselves, and with the Allies' assistance, the fighters for freedom have at last liberated their capital.;;;;;;;;;;;;;x
EVTOPTA88401;Well, we'll be back!;;;;;;;;;;;;;x
EVTNAME99701;The Korean independence movement;;;;;;;;;;;;;x
EVTDESC99701;The Korean independence movement is boiling. We should make a decision. Releasing Korea as a puppet would allow us to incorporate it into our Greater East Asia Co-prosperity Sphere.;;;;;;;;;;;;;x
EVTOPTA99701;Cooperate with the Korean Imperialists;;;;;;;;;;;;;x
EVTOPTB99701;Defend the status quo;;;;;;;;;;;;;x
EVTNAME94505;Yalta conference - Historical Situation;;;;;;;;;;;;;x
EVTDESC94505;In February 1945, Soviet, American and British officials met in Yalta and agreed on the basics on Poland's future borders. In the east, the British agreed to the Curzon Line. In the west, Poland should receive part of East Prussia, Danzig, the eastern tip of Pomerania and Upper Silesia.;;;;;;;;;;;;;x
EVTOPTA94505;Excellent!;;;;;;;;;;;;;x
EVTOPTB94505;The border of 1939 should restored.;;;;;;;;;;;;;x
EVTNAME94506;Yalta conference - the Soviet Union's rush to Germany;;;;;;;;;;;;;x
EVTNAME94507;Yalta conference - the Western Allies' rush to Germany;;;;;;;;;;;;;x
EVTNAME94508;Cairo conference;;;;;;;;;;;;;x
EVTDESC94508;During the on-going Pacific War, the leaders of the United States, the United Kingdom, and the Republic of China met in Cairo, Egypt in November, 1943. They agreed with the following points: (1) Japan be stripped of all the islands in the Pacific which she had seized or occupied since the beginning of the First World War in 1914. (2) All the territories Japan had taken from the Chinese would be also restored to the Republic of China. (3) Korea would become free and independent.;;;;;;;;;;;;;x
EVTOPTA94508;Excellent!;;;;;;;;;;;;;x
EVTNAME94509;Potsdam Declaration;;;;;;;;;;;;;x
EVTDESC94509;The Potsdam Declaration or the Proclamation Defining Terms for Japanese Surrender is a statement that called for the Surrender of the Empire of Japan during World War II. On July 26th, 1945, United States President Harry S. Truman, United Kingdom Prime Minister Winston Churchill (ratified by new Prime Minister Clement Attlee), and Chairman of the Nationalist Government of China Chiang Kai-shek issued the document, which outlined the terms of surrender for the Empire of Japan as agreed upon at the Potsdam Conference. This ultimatum stated that, if Japan did not surrender, it would face "prompt and utter destruction", although the document did not make any mention of atomic weapons.\n\nThe occupying forces of the Allies shall be withdrawn from Japan as soon as these objectives have been accomplished and there has been established, in accordance with the freely expressed will of the Japanese people, a peacefully inclined and responsible government.;;;;;;;;;;;;;x
EVTOPTA94509;Victory is in sight!;;;;;;;;;;;;;x
EVTNAME95152;Division of Germany;;;;;;;;;;;;;x
EVTDESC95152;After Germany's unconditional surrender on 8 May 1945, the Allies divided "Occupation Zone Germany" into four military occupation zones, the French in the southwest, the British in the northwest, the United States in the south, and the Soviets in the east.;;;;;;;;;;;;;x
EVTOPTA95152;OK.;;;;;;;;;;;;;x
EVTNAME95153;Potsdam Declaration;;;;;;;;;;;;;x
EVTDESC95153;The occupying forces of the Allies shall be withdrawn from Japan as soon as these objectives have been accomplished and there has been established, in accordance with the freely expressed will of the Japanese people, a peacefully inclined and responsible government.;;;;;;;;;;;;;x
EVTOPTA95153;OK.;;;;;;;;;;;;;x
EVTNAME95253;Victory Over Japan!;;;;;;;;;;;;;x
EVTDESC95253;Aboard the USS Missouri in Tokyo Bay, Japan formally surrenders to the Allies, bringing an end to the long and bloody struggle in the Pacific theater.\n\nBy the summer of 1945, the defeat of Japan was a foregone conclusion. The Japanese navy and air force were destroyed. The Allied naval blockade of Japan and intensive bombing of Japanese cities had left the country and its economy devastated. At the end of June, the Americans captured Okinawa, a Japanese island from which the Allies could launch an invasion of the main Japanese home islands. U.S. General Douglas MacArthur was put in charge of the invasion, which was code-named "Operation Olympic" and set for November 1945.\n\nHowever, after the dropping of two atomic bombs and the Soviet invasion of Manchuria, the Japanese government surrendered, rendering the planned invasion of the Japanese home islands unnecessary.;;;;;;;;;;;;;x
EVTOPTA95253;It has been a long struggle, indeed.;;;;;;;;;;;;;x
EVTNAME95353;The Sun Sets in the Pacific;;;;;;;;;;;;;x
EVTDESC95353;The Empire of Japan is no more. Unconditional surrender is at hand.\n\nThey shall grow not old, as we that are left grow old:\nAge shall not weary them, nor the years condemn.\nAt the going down of the sun and in the morning,\nWe will remember them.\n\n-- Laurence Binyon;;;;;;;;;;;;;x
EVTOPTA95353;We submit.;;;;;;;;;;;;;x
#EOF#;;;;;;;;;;;;;;x
