# MODEL_TAG;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
##########################################;;;;;;;;;;;;;;x
############### Unit Names ###############;;;;;;;;;;;;;;x
##########################################;;;;;;;;;;;;;;x
### Generic Air HQs ###;;;;;;;;;;;;;;x
eng_air_command_fighter_group;Fighter Group HQ;;;;;;;;;;;;;x
eng_air_command_fighter_group_short;FG HQ;;;;;;;;;;;;;x
eng_air_command_fighter_group_night;Night Fighter Group HQ;;;;;;;;;;;;;x
eng_air_command_fighter_group_night_short;NFG HQ;;;;;;;;;;;;;x
eng_air_command_fighter_group_heavy;Heavy Fighter Group HQ;;;;;;;;;;;;;x
eng_air_command_fighter_group_heavy_short;HFG HQ;;;;;;;;;;;;;x
eng_air_command_transport_group;Transport Group HQ;;;;;;;;;;;;;x
eng_air_command_transport_group_short;TG HQ;;;;;;;;;;;;;x
eng_air_command_transport_group_heavy;Transport Group (H) HQ;;;;;;;;;;;;;x
eng_air_command_transport_group_heavy_short;TG-H HQ;;;;;;;;;;;;;x
eng_air_command_bomber_light;Bomber Group(L) HQ;;;;;;;;;;;;;x
eng_air_command_bomber_light_short;BG-L HQ;;;;;;;;;;;;;x
eng_air_command_bomber_medium;Bomber Group(M) HQ;;;;;;;;;;;;;x
eng_air_command_bomber_medium_short;BG-M HQ;;;;;;;;;;;;;x
eng_air_command_bomber_heavy;Bomber Group(H) HQ;;;;;;;;;;;;;x
eng_air_command_bomber_heavy_short;BG-H HQ;;;;;;;;;;;;;x
eng_air_command_bomber_naval;Bomber Group(N) HQ;;;;;;;;;;;;;x
eng_air_command_bomber_naval_short;BG-N HQ;;;;;;;;;;;;;x
### RAF Bomber Command - Bomber Groups;;;;;;;;;;;;;x
eng_first_bombardment_group_medium;RAF No. 1 Bomber Group;;;;;;;;;;;;;x
eng_first_bombardment_group_medium_short;RAF1BG;;;;;;;;;;;;;x
eng_second_bombardment_group_medium;RAF No. 2 Bomber Group;;;;;;;;;;;;;x
eng_second_bombardment_group_medium_short;RAF2BG;;;;;;;;;;;;;x
eng_third_bombardment_group_medium;RAF No. 3 Bomber Group;;;;;;;;;;;;;x
eng_third_bombardment_group_medium_short;RAF3BG;;;;;;;;;;;;;x
eng_fourth_bombardment_group_medium;RAF No. 4 Bomber Group;;;;;;;;;;;;;x
eng_fourth_bombardment_group_medium_short;RAF4BG;;;;;;;;;;;;;x
eng_fifth_bombardment_group_medium;RAF No. 5 Bomber Group;;;;;;;;;;;;;x
eng_fifth_bombardment_group_medium_short;RAF5BG;;;;;;;;;;;;;x
eng_sixth_bombardment_group_medium;RAF No. 6 Bomber Group;;;;;;;;;;;;;x
eng_sixth_bombardment_group_medium_short;RAF6BG;;;;;;;;;;;;;x
eng_seventh_bombardment_group_medium;RAF No. 7 Bomber Group;;;;;;;;;;;;;x
eng_seventh_bombardment_group_medium_short;RAF7BG;;;;;;;;;;;;;x
eng_eighth_bombardment_group_medium;RAF No. 8 Bomber Group;;;;;;;;;;;;;x
eng_eighth_bombardment_group_medium_short;RAF8BG;;;;;;;;;;;;;x
eng_fifteenth_bombardment_group_naval;RAF No. 15 Bomber Group (N);;;;;;;;;;;;;x
eng_fifteenth_bombardment_group_naval_short;RAF15BG-N;;;;;;;;;;;;;x
eng_sixteenth_bombardment_group_naval;RAF No. 16 Bomber Group (N);;;;;;;;;;;;;x
eng_sixteenth_bombardment_group_naval_short;RAF16BG-N;;;;;;;;;;;;;x
eng_seventeenth_bombardment_group_naval;RAF No. 17 Bomber Group (N);;;;;;;;;;;;;x
eng_seventeenth_bombardment_group_naval_short;RAF17BG-N;;;;;;;;;;;;;x
eng_eighteenth_bombardment_group_naval;RAF No. 18 Bomber Group (N);;;;;;;;;;;;;x
eng_eighteenth_bombardment_group_naval_short;RAF18BG-N;;;;;;;;;;;;;x
eng_nineteenth_bombardment_group_naval;RAF No. 19 Bomber Group (N);;;;;;;;;;;;;x
eng_nineteenth_bombardment_group_naval_short;RAF19BG-N;;;;;;;;;;;;;x
eng_twentieth_bombardment_group_medium;RAF No. 20 Bomber Group;;;;;;;;;;;;;x
eng_twentieth_bombardment_group_medium_short;RAF20BG;;;;;;;;;;;;;x
eng_ninetyfirst_bombardment_group_medium;RAF No. 91 Bomber Group;;;;;;;;;;;;;x
eng_ninetyfirst_bombardment_group_medium_short;RAF91BG;;;;;;;;;;;;;x
eng_ninetysecond_bombardment_group_medium;RAF No. 92 Bomber Group;;;;;;;;;;;;;x
eng_ninetysecond_bombardment_group_medium_short;RAF92BG;;;;;;;;;;;;;x
eng_ninetythird_bombardment_group_medium;RAF No. 93 Bomber Group;;;;;;;;;;;;;x
eng_ninetythird_bombardment_group_medium_short;RAF93BG;;;;;;;;;;;;;x
eng_onehundredth_bombardment_group_medium;RAF No. 100 Bomber Group;;;;;;;;;;;;;x
eng_onehundredth_bombardment_group_medium_short;RAF100BG;;;;;;;;;;;;;x
eng_onehundredsixth_bombardment_group_light;RAF No. 106 Bomber Group;;;;;;;;;;;;;x
eng_onehundredsixth_bombardment_group_light_short;RAF106BG;;;;;;;;;;;;;x
eng_twohundredth_bombardment_group_naval;RAF No. 200 Bomber Group (N);;;;;;;;;;;;;x
eng_twohundredth_bombardment_group_naval_short;RAF200BG-N;;;;;;;;;;;;;x
eng_twohundredfirst_bombardment_group_naval;RAF No. 201 Bomber Group (N);;;;;;;;;;;;;x
eng_twohundredfirst_bombardment_group_naval_short;RAF201BG-N;;;;;;;;;;;;;x
eng_twohundredfifth_bombardment_group_heavy;RAF No. 205 Bomber Group;;;;;;;;;;;;;x
eng_twohundredfifth_bombardment_group_heavy_short;RAF205BG;;;;;;;;;;;;;x
eng_twohundredeleventh_bombardment_group_medium;RAF No. 211 Bomber Group;;;;;;;;;;;;;x
eng_twohundredeleventh_bombardment_group_medium_short;RAF211BG;;;;;;;;;;;;;x
eng_twohundredtwentyfirst_bombardment_group_medium;RAF No. 221 Bomber Group;;;;;;;;;;;;;x
eng_twohundredtwentyfirst_bombardment_group_medium_short;RAF221BG;;;;;;;;;;;;;x
eng_twohundredtwentyfifth_bombardment_group_medium;RAF No. 225 Bomber Group;;;;;;;;;;;;;x
eng_twohundredtwentyfifth_bombardment_group_medium_short;RAF225BG;;;;;;;;;;;;;x
eng_twohundredthirtyfirst_bombardment_group_medium;RAF No. 231 Bomber Group (M);;;;;;;;;;;;;x
eng_twohundredthirtyfirst_bombardment_group_medium_short;RAF231BG;;;;;;;;;;;;;x
eng_twohundredfiftyfourth_bombardment_group_naval;RAF No. 254 Bomber Group (N);;;;;;;;;;;;;x
eng_twohundredfiftyfourth_bombardment_group_naval_short;RAF254BG-N;;;;;;;;;;;;;x
### RAF Fighter Command - Fighter Groups;;;;;;;;;;;;;x
eng_third_fighter_group;RAF No. 3 Group;;;;;;;;;;;;;x
eng_third_fighter_group_short;RAF3GP;;;;;;;;;;;;;x
eng_ninth_fighter_group;RAF No. 9 Group;;;;;;;;;;;;;x
eng_ninth_fighter_group_short;RAF9GP;;;;;;;;;;;;;x
eng_tenth_fighter_group;RAF No. 10 Group;;;;;;;;;;;;;x
eng_tenth_fighter_group_short;RAF10GP;;;;;;;;;;;;;x
eng_eleventh_fighter_group;RAF No. 11 Group;;;;;;;;;;;;;x
eng_eleventh_fighter_group_short;RAF11GP;;;;;;;;;;;;;x
eng_twelfth_fighter_group;RAF No. 12 Group;;;;;;;;;;;;;x
eng_twelfth_fighter_group_short;RAF12GP;;;;;;;;;;;;;x
eng_thirteenth_fighter_group;RAF No. 13 Group;;;;;;;;;;;;;x
eng_thirteenth_fighter_group_short;RAF13GP;;;;;;;;;;;;;x
eng_fourteenth_fighter_group;RAF No. 14 Group;;;;;;;;;;;;;x
eng_fourteenth_fighter_group_short;RAF14GP;;;;;;;;;;;;;x
eng_twentyfirst_fighter_group;RAF No. 21 Group;;;;;;;;;;;;;x
eng_twentyfirst_fighter_group_short;RAF21GP;;;;;;;;;;;;;x
eng_twentysecond_fighter_group;RAF No. 22 Group;;;;;;;;;;;;;x
eng_twentysecond_fighter_group_short;RAF22GP;;;;;;;;;;;;;x
eng_thirtieth_fighter_group;RAF No. 30 Group;;;;;;;;;;;;;x
eng_thirtieth_fighter_group_short;RAF30GP;;;;;;;;;;;;;x
eng_thirtyeighth_fighter_group;RAF No. 38 Group;;;;;;;;;;;;;x
eng_thirtyeighth_fighter_group_short;RAF38GP;;;;;;;;;;;;;x
eng_sixtieth_fighter_group;RAF No. 60 Group;;;;;;;;;;;;;x
eng_sixtieth_fighter_group_short;RAF60GP;;;;;;;;;;;;;x
eng_seventieth_fighter_group;RAF No. 70 Group;;;;;;;;;;;;;x
eng_seventieth_fighter_group_short;RAF70GP;;;;;;;;;;;;;x
