# MODEL_TAG;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
### Generic Air HQs ###;;;;;;;;;;;;;;x
ger_air_command_fighter_group;Jagdgeschwader HQ;;;;;;;;;;;;;x
ger_air_command_fighter_group_short;JG HQ;;;;;;;;;;;;;x
ger_air_command_fighter_group_night;Nachtjagdgeschwader HQ;;;;;;;;;;;;;x
ger_air_command_fighter_group_night_short;NJG HQ;;;;;;;;;;;;;x
ger_air_command_fighter_group_heavy;Zerstörergeschwader HQ;;;;;;;;;;;;;x
ger_air_command_fighter_group_heavy_short;ZG HQ;;;;;;;;;;;;;x
ger_air_command_transport_group;Transportgeschwader HQ;;;;;;;;;;;;;x
ger_air_command_transport_group_short;TG HQ;;;;;;;;;;;;;x
ger_air_command_transport_group_heavy;Transportgeschwader Schwer HQ;;;;;;;;;;;;;x
ger_air_command_transport_group_heavy_short;TG(s) HQ;;;;;;;;;;;;;x
ger_air_command_bomber_light;Schlachtgeschwader HQ;;;;;;;;;;;;;x
ger_air_command_bomber_light_short;SG HQ;;;;;;;;;;;;;x
ger_air_command_bomber_medium;Kampfgeschwader HQ;;;;;;;;;;;;;x
ger_air_command_bomber_medium_short;KG HQ;;;;;;;;;;;;;x
ger_air_command_bomber_heavy;Bomber Group(H) HQ;;;;;;;;;;;;;x
ger_air_command_bomber_heavy_short;BG-H HQ;;;;;;;;;;;;;x
ger_air_command_bomber_naval;Kampf Gruppe See;;;;;;;;;;;;;x
ger_air_command_bomber_naval_short;KGS HQ;;;;;;;;;;;;;x
######################################################;;;;;;;;;;;;;;x
############### Unique Air Command HQs ###############;;;;;;;;;;;;;;x
######################################################;;;;;;;;;;;;;;x
ger_onehundredthirtyfourth_fighter_group;Jagdgeschwader 134;;;;;;;;;;;;;x
ger_onehundredthirtyfourth_fighter_group_short;JG 134;;;;;;;;;;;;;x
ger_twohundredthirtysecond_fighter_group;Jagdgeschwader 232;;;;;;;;;;;;;x
ger_twohundredthirtysecond_fighter_group_short;JG 232;;;;;;;;;;;;;x
ger_onehundredfiftyfourth_bombardment_group_light;Schlachtgeschwader 154;;;;;;;;;;;;;x
ger_onehundredfiftyfourth_bombardment_group_light_short;SG 154;;;;;;;;;;;;;x
ger_onehundredfiftyfifth_bombardment_group_medium;Kampfgeschwader 155;;;;;;;;;;;;;x
ger_onehundredfiftyfifth_bombardment_group_medium_short;KG 155;;;;;;;;;;;;;x
ger_twohundredfiftyfourth_bombardment_group_medium;Kampfgeschwader 254;;;;;;;;;;;;;x
ger_twohundredfiftyfourth_bombardment_group_medium_short;KG 254;;;;;;;;;;;;;x
ger_onehundredthirtyfifth_fighter_group;Jagdgeschwader 135;;;;;;;;;;;;;x
ger_onehundredthirtyfifth_fighter_group_short;JG 135;;;;;;;;;;;;;x
ger_onehundredthirtyfirst_fighter_group;Jagdgeschwader 131;;;;;;;;;;;;;x
ger_onehundredthirtyfirst_fighter_group_short;JG 131;;;;;;;;;;;;;x
ger_twohundredthirtyfourth_fighter_group;Jagdgeschwader 234;;;;;;;;;;;;;x
ger_twohundredthirtyfourth_fighter_group_short;JG 234;;;;;;;;;;;;;x
