# MODEL_TAG;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
##########################################;;;;;;;;;;;;;;x
############### Unit Names ###############;;;;;;;;;;;;;;x
##########################################;;;;;;;;;;;;;;x
ita_comando_regia_aeronautica;Comando Regia Aeronautica Italia;;;;;;;;;;;;;x
ita_comando_regia_aeronautica_short;RA HQ;;;;;;;;;;;;;x
### Generic Air HQs ###;;;;;;;;;;;;;;x
ita_air_command_fighter_group;Caccia Terrestre (F) HQ;;;;;;;;;;;;;x
ita_air_command_fighter_group_short;CT HQ;;;;;;;;;;;;;x
ita_air_command_fighter_group_heavy;Caccia Pesante (F) HQ;;;;;;;;;;;;;x
ita_air_command_fighter_group_heavy_short;CP HQ;;;;;;;;;;;;;x
ita_air_command_fighter_group_night;Caccia Notturna (F) HQ;;;;;;;;;;;;;x
ita_air_command_fighter_group_night_short;CN HQ;;;;;;;;;;;;;x
ita_air_command_transport_group;Trasporto (Trans) HQ;;;;;;;;;;;;;x
ita_air_command_transport_group_short;T HQ;;;;;;;;;;;;;x
ita_air_command_transport_group_heavy;Trasporti Pes. (HTrans) HQ;;;;;;;;;;;;;x
ita_air_command_transport_group_heavy_short;T-H HQ;;;;;;;;;;;;;x
ita_air_command_bomber_light;B'amento Ter. (L) HQ;;;;;;;;;;;;;x
ita_air_command_bomber_light_short;BT-L HQ;;;;;;;;;;;;;x
ita_air_command_bomber_medium;B'amento Ter. (M) HQ;;;;;;;;;;;;;x
ita_air_command_bomber_medium_short;BT-M HQ;;;;;;;;;;;;;x
ita_air_command_bomber_heavy;B'amento Ter. (H) HQ;;;;;;;;;;;;;x
ita_air_command_bomber_heavy_short;BT-H HQ;;;;;;;;;;;;;x
ita_air_command_bomber_naval;B'amento Marittimo (N) HQ;;;;;;;;;;;;;x
ita_air_command_bomber_naval_short;BM HQ;;;;;;;;;;;;;x
### Unique Air HQs ###;;;;;;;;;;;;;;x
ita_first_fighter_group;1a Stormo Caccia Terrestre;;;;;;;;;;;;;x
ita_first_fighter_group_short;1CT;;;;;;;;;;;;;x
