# MODEL_TAG;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
################################################;;;;;;;;;;;;;;x
# Unit names;;;;;;;;;;;;;;x
################################################;;;;;;;;;;;;;;x
ast_first_army;First Australian Army HQ;;;;;;;;;;;;x;
ast_first_army_short;1 AST ARMY HQ;;;;;;;;;;;;x;
ast_second_army;Second Australian Army HQ;;;;;;;;;;;;x;
ast_second_army_short;2 AST ARMY HQ;;;;;;;;;;;;x;
ast_i_corps;1st Australian Corps HQ;;;;;;;;;;;;x;
ast_i_corps_short;AST I Corps HQ;;;;;;;;;;;;x;
ast_ii_corps;2nd Australian Corps HQ;;;;;;;;;;;;x;
ast_ii_corps_short;AST II Corps HQ;;;;;;;;;;;;x;
ast_first_id;1st Australian Division HQ;;;;;;;;;;;;x;
ast_first_id_short;AST 1D HQ;;;;;;;;;;;;x;
ast_second_id;2nd Australian Division HQ;;;;;;;;;;;;x;
ast_second_id_short;AST 2D HQ;;;;;;;;;;;;x;
ast_third_id;AST 3rd Australian Division HQ;;;;;;;;;;;;x;
ast_third_id_short;AST 3D HQ;;;;;;;;;;;;x;
ast_fourth_id;4th Australian Division HQ;;;;;;;;;;;;x;
ast_fourth_id_short;AST 4D HQ;;;;;;;;;;;;x;
ast_fifth_id;5th Australian Division HQ;;;;;;;;;;;;x;
ast_fifth_id_short;AST 5D HQ;;;;;;;;;;;;x;
ast_sixth_id;6th Australian Division HQ;;;;;;;;;;;;x;
ast_sixth_id_short;AST 6D HQ;;;;;;;;;;;;x;
ast_seventh_id;7th Australian Division HQ;;;;;;;;;;;;x;
ast_seventh_id_short;AST 7D HQ;;;;;;;;;;;;x;
ast_eighth_id;8th Australian Division HQ;;;;;;;;;;;;x;
ast_eighth_id_short;AST 8D HQ;;;;;;;;;;;;x;
ast_ninth_id;9th Australian Division HQ;;;;;;;;;;;;x;
ast_ninth_id_short;AST 9D HQ;;;;;;;;;;;;x;
ast_eleventh_id;11th Australian Division HQ;;;;;;;;;;;;x;
ast_eleventh_id_short;AST 11D HQ;;;;;;;;;;;;x;
ast_twelfth_id;12th Australian Division HQ;;;;;;;;;;;;x;
ast_twelfth_id_short;AST 12D HQ;;;;;;;;;;;;x;
ast_first_armored;1st Australian Armored Div HQ;;;;;;;;;;;;x;
ast_first_armored_short;AST 1AD HQ;;;;;;;;;;;;x;
ast_second_armored;2nd Australian Armored Div HQ;;;;;;;;;;;;x;
ast_second_armored_short;AST 2AD HQ;;;;;;;;;;;;x;
ast_third_armored;3rd Australian Armored Div HQ;;;;;;;;;;;;x;
ast_third_armored_short;AST 3AD HQ;;;;;;;;;;;;x;
#EOF;;;;;;;;;;;;;x
