# MODEL_TAG;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
################################################;;;;;;;;;;;;;;x
# Unit names;;;;;;;;;;;;;;x
################################################;;;;;;;;;;;;;;x
can_first_special_service_force;1st Special Service Force;;;;;;;;;;;;;x
can_first_special_service_force_short;1SSF;;;;;;;;;;;;;x
can_first_id;1st Canadian Division HQ;;;;;;;;;;;;x;
can_first_id_short;CAN 1-ID HQ;;;;;;;;;;;;x;
can_second_id;2nd Canadian Division HQ;;;;;;;;;;;;x;
can_second_id_short;CAN 2-ID HQ;;;;;;;;;;;;x;
can_third_id;3rd Canadian Division HQ;;;;;;;;;;;;x;
can_third_id_short;CAN 3-ID HQ;;;;;;;;;;;;x;
can_fourth_armored;4th (Armoured) Division HQ;;;;;;;;;;;;x;
can_fourth_armored_short;CAN 4-ARM HQ;;;;;;;;;;;;x;
can_fifth_armored;5th (Armoured) Division HQ;;;;;;;;;;;;x;
can_fifth_armored_short;CAN 5-ARM HQ;;;;;;;;;;;;x;
can_sixth_id;6th Canadian Division HQ;;;;;;;;;;;;x;
can_sixth_id_short;CAN 6-ID HQ;;;;;;;;;;;;x;
can_seventh_id;7th Canadian Division HQ;;;;;;;;;;;;x;
can_seventh_id_short;CAN 7-ID HQ;;;;;;;;;;;;x;
can_eighth_id;8th Canadian Division HQ;;;;;;;;;;;;x;
can_eighth_id_short;CAN 8-ID HQ;;;;;;;;;;;;x;
################################################;;;;;;;;;;;;;;x
# Canadian Corps/Armies/Army Groups/Theatres;;;;;;;;;;;;;;x
################################################;;;;;;;;;;;;;;x
can_first_army;1st Canadian Army HQ;;;;;;;;;;;;x;
can_first_army_short;CAN 1-A HQ;;;;;;;;;;;;x;
can_i_corps;1st Canadian Corps HQ;;;;;;;;;;;;x;
can_i_corps_short;CAN I-C HQ;;;;;;;;;;;;x;
can_ii_corps;2nd Canadian Corps HQ;;;;;;;;;;;;x;
can_ii_corps_short;CAN 2-C HQ;;;;;;;;;;;;x;
#EOF;;;;;;;;;;;;;x
