# MODEL_TAG;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
################################################;;;;;;;;;;;;;;x
# Unit names;;;;;;;;;;;;;;x
################################################;;;;;;;;;;;;;;x
eng_ghq_Home;Home Command;;;;;;;;;;;;x
eng_ghq_Home_short;GHQ;;;;;;;;;;;;x
eng_shaef;Supreme HQ Allied Exp. Force;;;;;;;;;;;;x
eng_shaef_short;SHAEF;;;;;;;;;;;;x
eng_allied_forces_hq;Allied Forces Headquarters;;;;;;;;;;;;x
eng_allied_forces_hq_short;AFHQ;;;;;;;;;;;;x
eng_raf_training_command;RAF Training Command;;;;;;;;;;;;x
eng_raf_training_command_short;RAFTC;;;;;;;;;;;;x
eng_ghq_middle_east;British GHQ Middle East;;;;;;;;;;;;x
eng_ghq_middle_east_short;UK GHQ-ME;;;;;;;;;;;;x
eng_ghq_far_east;British GHQ Far East;;;;;;;;;;;;x
eng_ghq_far_east_short;UK GHQ-FE;;;;;;;;;;;;x
eng_ghq_india;British GHQ India;;;;;;;;;;;;x
eng_ghq_india_short;UK GHQ-IN;;;;;;;;;;;;x
eng_seac;South East Asia Command;;;;;;;;;;;;x
eng_seac_short;SEAC;;;;;;;;;;;;x
eng_political_warfare_executive;Political Warfare Executive;;;;;;;;;;;;x
eng_political_warfare_executive_short;PWE;;;;;;;;;;;;x
eng_first_burma;Burma Army HQ;;;;;;;;;;;;x
eng_first_burma_short;Burma HQ;;;;;;;;;;;;x
eng_fifteenth_army_group;British 15th Army Group HQ;;;;;;;;;;;;x
eng_fifteenth_army_group_short;UK 15th AG HQ;;;;;;;;;;;;x
eng_twentyfirst_army_group;British 21st Army Group HQ;;;;;;;;;;;;x
eng_twentyfirst_army_group_short;UK 21st AG HQ;;;;;;;;;;;;x
eng_first_allied_airborne_army;1st Allied Airborne Army HQ;;;;;;;;;;;;x;
eng_first_allied_airborne_army_short;FAAA-HQ;;;;;;;;;;;;x;
eng_first_army;British 1st Army Headquarters;;;;;;;;;;;;x
eng_first_army_short;UK 1st Army HQ;;;;;;;;;;;;x
eng_second_army;British 2nd Army Headquarters;;;;;;;;;;;;x
eng_second_army_short;UK 2nd Army HQ;;;;;;;;;;;;x
eng_eighth_army;British 8th Army Headquarters;;;;;;;;;;;;x
eng_eighth_army_short;UK 8th Army HQ;;;;;;;;;;;;x
eng_ninth_army;British 9th Army Headquarters;;;;;;;;;;;;x
eng_ninth_army_short;UK 9th Army HQ;;;;;;;;;;;;x
eng_tenth_army;British 10th Army Headquarters;;;;;;;;;;;;x
eng_tenth_army_short;UK 10th Army HQ;;;;;;;;;;;;x
eng_twelfth_army;British 12th Army Headquarters;;;;;;;;;;;;x
eng_twelfth_army_short;UK 12th Army HQ;;;;;;;;;;;;x
eng_fourteenth_army;British 14th Army Headquarters;;;;;;;;;;;;x
eng_fourteenth_army_short;UK 14th Army HQ;;;;;;;;;;;;x
eng_i_airborne_corps;British I Airborne Corps HQ;;;;;;;;;;;;x
eng_i_airborne_corps_short;UK I ABN HQ;;;;;;;;;;;;x
eng_i_corps;British I Corps Headquarters;;;;;;;;;;;;x
eng_i_corps_short;UK I Corps HQ;;;;;;;;;;;;x
eng_ii_corps;British II Corps Headquarters;;;;;;;;;;;;x
eng_ii_corps_short;UK II Corps HQ;;;;;;;;;;;;x
eng_iii_corps;British III Corps Headquarters;;;;;;;;;;;;x
eng_iii_corps_short;UK III Corps HQ;;;;;;;;;;;;x
eng_iv_corps;British IV Corps Headquarters;;;;;;;;;;;;x
eng_iv_corps_short;UK IV Corps HQ;;;;;;;;;;;;x
eng_v_corps;British V Corps Headquarters;;;;;;;;;;;;x
eng_v_corps_short;UK V Corps HQ;;;;;;;;;;;;x
eng_vi_corps;British VI Corps Headquarters;;;;;;;;;;;;x
eng_vi_corps_short;UK VI Corps HQ;;;;;;;;;;;;x
eng_vii_corps;British VII Corps Headquarters;;;;;;;;;;;;x
eng_vii_corps_short;UK VII Corps HQ;;;;;;;;;;;;x
eng_viii_corps;British VIII Corps Headquarters;;;;;;;;;;;;x
eng_viii_corps_short;UK VIII Corps HQ;;;;;;;;;;;;x
eng_ix_corps;British IX Corps Headquarters;;;;;;;;;;;;x
eng_ix_corps_short;UK IX Corps HQ;;;;;;;;;;;;x
eng_x_corps;British X Corps Headquarters;;;;;;;;;;;;x
eng_x_corps_short;UK X Corps HQ;;;;;;;;;;;;x
eng_xi_corps;British XI Corps Headquarters;;;;;;;;;;;;x
eng_xi_corps_short;UK XI Corps HQ;;;;;;;;;;;;x
eng_xii_corps;British XII Corps Headquarters;;;;;;;;;;;;x
eng_xii_corps_short;UK XII Corps HQ;;;;;;;;;;;;x
eng_xiii_corps;British XIII Corps Headquarters;;;;;;;;;;;;x
eng_xiii_corps_short;UK XIII Corps HQ;;;;;;;;;;;;x
eng_xxv_corps;British XXV Corps Headquarters;;;;;;;;;;;;x
eng_xxv_corps_short;UK XXV Corps HQ;;;;;;;;;;;;x
eng_xxx_corps;British XXX Corps Headquarters;;;;;;;;;;;;x
eng_xxx_corps_short;UK XXX Corps HQ;;;;;;;;;;;;x
eng_first_airborne;UK 1st Airborne Division HQ;;;;;;;;;;;;x
eng_first_airborne_short;UK 1st ABN HQ;;;;;;;;;;;;x
eng_sixth_airborne;UK 6th Airborne Division HQ;;;;;;;;;;;;x
eng_sixth_airborne_short;UK 6th ABN HQ;;;;;;;;;;;;x
eng_first_id;UK 1st Infantry Division HQ;;;;;;;;;;;;x
eng_first_id_short;UK 1st ID HQ;;;;;;;;;;;;x
eng_second_id;UK 2nd Infantry Division HQ;;;;;;;;;;;;x
eng_second_id_short;UK 2nd ID HQ;;;;;;;;;;;;x
eng_third_id;UK 3rd Infantry Division HQ;;;;;;;;;;;;x
eng_third_id_short;UK 3rd ID HQ;;;;;;;;;;;;x
eng_fourth_id;UK 4th Infantry Division HQ;;;;;;;;;;;;x
eng_fourth_id_short;UK 4th ID HQ;;;;;;;;;;;;x
eng_fifth_id;UK 5th Infantry Division HQ;;;;;;;;;;;;x
eng_fifth_id_short;UK 5th ID HQ;;;;;;;;;;;;x
eng_sixth_id;UK 6th Infantry Division HQ;;;;;;;;;;;;x
eng_sixth_id_short;UK 6th ID HQ;;;;;;;;;;;;x
eng_seventh_id;UK 7th Infantry Division HQ;;;;;;;;;;;;x
eng_seventh_id_short;UK 7th LID HQ;;;;;;;;;;;;x
eng_seventh_id_light;7th Infantry Division HQ;;;;;;;;;;;;x
eng_seventh_id_light_short;UK 7th LID HQ;;;;;;;;;;;;x
eng_eighth_id;UK 8th Infantry Division HQ;;;;;;;;;;;;x
eng_eighth_id_short;UK 8th ID HQ;;;;;;;;;;;;x
eng_ninth_id;UK 9th Infantry Division HQ;;;;;;;;;;;;x
eng_ninth_id_short;UK 9th ID HQ;;;;;;;;;;;;x
eng_twelfth_eastern;UK 12th Infantry Division HQ;;;;;;;;;;;;x
eng_twelfth_eastern_short;UK 12th ID HQ;;;;;;;;;;;;x
eng_fifteenth_id;UK 15th Infantry Division HQ;;;;;;;;;;;;x
eng_fifteenth_id_short;UK 15th ID HQ;;;;;;;;;;;;x
eng_eighteenth_id;UK 18th Infantry Division HQ;;;;;;;;;;;;x
eng_eighteenth_id_short;UK 18th ID HQ;;;;;;;;;;;;x
eng_twentythird_id;UK 23rd Infantry Division HQ;;;;;;;;;;;;x
eng_twentythird_id_short;UK 23rd ID HQ;;;;;;;;;;;;x
eng_first_london;UK 1st London Division HQ;;;;;;;;;;;;x
eng_first_london_short;UK 1st London HQ;;;;;;;;;;;;x
eng_second_london;UK 2nd London Division HQ;;;;;;;;;;;;x
eng_second_london_short;UK 2nd London HQ;;;;;;;;;;;;x
eng_thirtysixth_id;38th Infantry Division HQ;;;;;;;;;;;;x
eng_thirtysixth_id_short;UK 38th ID HQ;;;;;;;;;;;;x
eng_thirtyeighth_id;UK 38th Infantry Division HQ;;;;;;;;;;;;x
eng_thirtyeighth_id_short;UK 38th ID HQ;;;;;;;;;;;;x
eng_fortysecond_id;UK 42nd Infantry Division HQ;;;;;;;;;;;;x
eng_fortysecond_id_short;UK 42nd ID HQ;;;;;;;;;;;;x
eng_fortythird_id;UK 43rd Infantry Division HQ;;;;;;;;;;;;x
eng_fortythird_id_short;UK 43rd ID HQ;;;;;;;;;;;;x
eng_fortyfifth_id;UK 45th Infantry Division HQ;;;;;;;;;;;;x
eng_fortyfifth_id_short;UK 45th ID HQ;;;;;;;;;;;;x
eng_fortysixth_id;UK 46th Infantry Division HQ;;;;;;;;;;;;x
eng_fortysixth_id_short;UK 46th ID HQ;;;;;;;;;;;;x
eng_fortyeighth_id;UK 48th Infantry Division HQ;;;;;;;;;;;;x
eng_fortyeighth_id_short;UK 48th ID HQ;;;;;;;;;;;;x
eng_fortyninth_id;UK 49th Infantry Division HQ;;;;;;;;;;;;x
eng_fortyninth_id_short;UK 49th ID HQ;;;;;;;;;;;;x
eng_fiftieth_id;UK 50th Infantry Division HQ;;;;;;;;;;;;x
eng_fiftieth_id_short;UK 50th ID HQ;;;;;;;;;;;;x
eng_fiftyfirst_id;UK 51st Infantry Division HQ;;;;;;;;;;;;x
eng_fiftyfirst_id_short;UK 51st ID HQ;;;;;;;;;;;;x
eng_fiftysecond_lowland;UK 52nd Mountain Division HQ;;;;;;;;;;;;x
