# MODEL_TAG;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
################################################;;;;;;;;;;;;;;x
# Unit names;;;;;;;;;;;;;;x
################################################;;;;;;;;;;;;;;x
### SA ###;;;;;;;;;;;;;;x
ger_sa_militia_brigade;SA Standarten;;;;;;;;;;;;;x
ger_sa_militia_brigade_short;SA-ST;;;;;;;;;;;;;x
ger_sa_militia_detachment;SA-Brigade;;;;;;;;;;;;;x
ger_sa_militia_detachment_short;SA-Brigade;;;;;;;;;;;;;x
ger_sa_cavalry_brigade;SA-Reiterstandarte;;;;;;;;;;;;;x
ger_sa_cavalry_brigade_short;SA-Reiter;;;;;;;;;;;;;x
ger_sa_cavalry_detachment;SA-Reiterstandarte;;;;;;;;;;;;;x
ger_sa_cavalry_detachment_short;SA-Reiter;;;;;;;;;;;;;x
ger_sa_hq_brigade;SA HQ;;;;;;;;;;;;;x
ger_sa_hq_brigade_short;SAHQ;;;;;;;;;;;;;x
### SS ###;;;;;;;;;;;;;;x
fascist_militia_brigade;Fascist-Militia ;Milice-Fascist;Fascist-Miliz;Fascist-Miliz;;;;;;;;;;x
fascist_militia_brigade_short;Fsc Mil;Mil.Fascist;Fascist-Miliz-Rgt.;Fascist-Mil.;;;;;;;;;;x
ss_garrison_brigade;SS Standarten;;;;;;;;;;;;;x
ss_garrison_brigade_short;SS-ST;;;;;;;;;;;;;x
ss_infantry_brigade;SS-Infantry ;Infanterie-SS;SS-Infanterie;SS-Infanterie;;;;;;;;;;x
ss_infantry_brigade_short;SS Inf;Inf-SS.;SS-Inf.Rgt;SS-Inf.;;;;;;;;;;x
ss_infantry_bat;SS-Infantry Btl;Infanterie-SS;SS-Infanterie;SS-Infanterie;;;;;;;;;;x
ss_infantry_bat_short;SS Inf Btl;Inf-SS.;SS-Inf.-Btl;SS-Inf.;;;;;;;;;;x
ss_motorized_brigade;SS-Motorized ;SS Mot.;SS-Schützen;SS-Schützen;;;;;;;;x
ss_motorized_brigade_short;SS Mot;SS Mot. ;SS-Schtz.-Rgt.;SS-Schtz.;;;;;;;;x
ss_mechanized_brigade;SS-PzGrenadier ;PzGrenadier SS Mech.;SS-Panzergrenadiere;SS-Panzergrenadiere;;;;;;;;x
ss_mechanized_brigade_short;SS PzGr;PzGr.SSMech;SS-PzGren.-Rgt.;SS-PzGr.;;;;;;;;x
ss_light_armor_bat;SS-Panzer-Btl(L) ;Panzer SS;SS-Panzer-Btl(L);SS-Panzer;;;;;;;;x
ss_light_armor_bat_short;SS Pz.Btl(L);Pz.SS;SS-Pz.-Btl.(L);SS-Pz;;;;;;;;x
ss_light_armor_brigade;SS-Panzer(L) ;Panzer SS;SS-Panzer(L);SS-Panzer;;;;;;;;x
ss_light_armor_brigade_short;SS Pz(L);Pz.SS;SS-Pz(L);SS-Pz;;;;;;;;x
ss_armor_brigade;SS-Panzer ;Panzer SS;SS-Panzer;SS-Panzer;;;;;;;;x
ss_armor_brigade_short;SS Pz;Pz.SS;SS-Pz.-Rgt.;SS-Pz;;;;;;;;x
ss_cavalry_brigade;SS-Cavalry ;Cavalerie SS;SS-Kavallerie;SS-Kavallerie;;;;;;;;;;x
ss_cavalry_brigade_short;SS Kav;Cav.SS;SS-Kav.-Rgt.;SS-Kav.;;;;;;;;;;x
ss_jager_brigade;SS-Jaeger;Groupe de ChasseurSS;SS-Jaeger;SS-Jaeger;;;;;;;;x
ss_jager_brigade_short;SS Jgr;Chasseur.SS;SS-Jaeg.-Rgt.;SS-Jaeger;;;;;;;;x
ss_bergsjaeger_brigade;SS-Gebirgsjaeger;Gebirgsjaeger-SS;SS-Gebirgsjaeger;SS-Gebirgsjaeger;;;;;;;;;;x
ss_bergsjaeger_brigade_short;SS Gbjgr;Gebirgsj.SS;SS-Geb.-Rgt.;SS-Geb.;;;;;;;;;;x
ss_mixed_support_brigade;SS-Mixed-Support ;;;;;;;;;;;;;x
ss_mixed_support_brigade_short;ssMx-Sup;;;;;;;;;;;;;x
ss_motorized_support_brigade;SS-Mot-Support ;;;;;;;;;;;;;x
ss_motorized_support_brigade_short;ssMot-Sup;;;;;;;;;;;;;x
ss_armored_support_brigade;SS-Unterstutz.-Gruppe (Pz);;;;;;;;;;;;;x
ss_armored_support_brigade_short;ssPz-UtG;;;;;;;;;;;;;x
