# MODEL_TAG;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
### Models ENG Navy ###;;;;;;;;;;;;;;x
### Torpedo Boat ( TB ) ###;;;;;;;;;;;;;;x
ENG_torpedo_boat_0;Flower('15)-class;;;;;;;;;;;;;x
ENG_torpedo_boat_1;Grimsby-class;;;;;;;;;;;;;x
ENG_torpedo_boat_2;S-class;;;;;;;;;;;;;x
ENG_torpedo_boat_3;Hunt 1-class;;;;;;;;;;;;;x
ENG_torpedo_boat_4;Hunt 2-class;;;;;;;;;;;;;x
ENG_torpedo_boat_5;Hunt 3-class;;;;;;;;;;;;;x
ENG_torpedo_boat_6;Hunt 4-class;;;;;;;;;;;;;x
ENG_torpedo_boat_7;Black Swan(mod.)-class;;;;;;;;;;;;;x
ENG_torpedo_boat_8;Torpedo Boat'48;;;;;;;;;;;;;x
### Motor Torpedo Boat ( MTB ) ###;;;;;;;;;;;;;;x
ENG_motor_torpedo_boat_0;Fairmile A;;;;;;;;;;;;;x
ENG_motor_torpedo_boat_1;Fairmile B;;;;;;;;;;;;;x
ENG_motor_torpedo_boat_2;Fairmile C;;;;;;;;;;;;;x
ENG_motor_torpedo_boat_3;Fairmile D;;;;;;;;;;;;;x
ENG_motor_torpedo_boat_4;Fairmile E;;;;;;;;;;;;;x
ENG_motor_torpedo_boat_5;Fairmile F;;;;;;;;;;;;;x
ENG_motor_torpedo_boat_6;Fairmile G;;;;;;;;;;;;;x
### Destroyer ( DD ) ###;;;;;;;;;;;;;;x
ENG_destroyer_actual_0;V & W-class;;;;;;;;;;;;;x
ENG_destroyer_actual_1;A/B/C/D-class;;;;;;;;;;;;;x
ENG_destroyer_actual_2;E/F-class;;;;;;;;;;;;;x
ENG_destroyer_actual_3;G/H-class;;;;;;;;;;;;;x
ENG_destroyer_actual_4;I-class;;;;;;;;;;;;;x
ENG_destroyer_actual_5;Tribal-class;;;;;;;;;;;;;x
ENG_destroyer_actual_6;J/K/N/L/M-class;;;;;;;;;;;;;x
ENG_destroyer_actual_7;O/P/Q/R-class;;;;;;;;;;;;;x
ENG_destroyer_actual_8;Battle-class;;;;;;;;;;;;;x
ENG_destroyer_actual_9;Weapon-class;;;;;;;;;;;;;x
ENG_destroyer_actual_10;Daring-class;;;;;;;;;;;;;x
ENG_super_heavy_battleship_1;N3-class;;;;;;;;;;;;;x
ENG_super_heavy_battleship_2;Vanguard(mod.)-class;;;;;;;;;;;;;x
ENG_super_heavy_battleship_3;N3(mod.)-class;;;;;;;;;;;;;x
### Cruiser ( CA ) ###;;;;;;;;;;;;;;x
