#MODEL_TAG;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
################################################;;;;;;;;;;;;;;x
# Technology model names                       #;;;;;;;;;;;;;;x
################################################;;;;;;;;;;;;;;x
### Surface Fleet ###;;;;;;;;;;;;;;x
### Motor-Torpedo-Boat ###;;;;;;;;;;;;;;x
GER_motor_torpedo_boat_0;Schnellboot;;;;;;;;;;;;;x
GER_motor_torpedo_boat_1;S-1;;;;;;;;;;;;;x
GER_motor_torpedo_boat_2;S-26;;;;;;;;;;;;;x
GER_motor_torpedo_boat_3;S-30;;;;;;;;;;;;;x
GER_motor_torpedo_boat_4;S-38;;;;;;;;;;;;;x
GER_motor_torpedo_boat_5;S-38b;;;;;;;;;;;;;x
GER_motor_torpedo_boat_6;S-100;;;;;;;;;;;;;x
GER_motor_torpedo_boat_7;S-700;;;;;;;;;;;;;x
### Torpedo-Boat ###;;;;;;;;;;;;;;x
GER_torpedo_boat_0;Torpedoboot Typ 1915-Class;;;;;;;;;;;;;x
GER_torpedo_boat_1;Torpedoboot Typ 1916-Class;;;;;;;;;;;;;x
GER_torpedo_boat_2;Torpedoboot Typ 1923/1924-Class;;;;;;;;;;;;;x
GER_torpedo_boat_3;Flottentorpedoboot Typ 1935-Class;;;;;;;;;;;;;x
GER_torpedo_boat_4;Flottentorpedoboot Typ 1937-Class;;;;;;;;;;;;;x
GER_torpedo_boat_5;Flottentorpedoboot Typ 1939 (Elbing)-Class;;;;;;;;;;;;;x
GER_torpedo_boat_6;Flottentorpedoboot Typ 1941-Class;;;;;;;;;;;;;x
GER_torpedo_boat_7;Flottentorpedoboot Typ 1944-Class;;;;;;;;;;;;;x
### Destroyer ###;;;;;;;;;;;;;;x
GER_destroyer_actual_0;Zerstörer Typ 1913-Class;;;;;;;;;;;;;x
GER_destroyer_actual_1;Zerstörer Typ 1913-Class;;;;;;;;;;;;;x
GER_destroyer_actual_2;Zerstörer Typ 1934-Class;;;;;;;;;;;;;x
GER_destroyer_actual_3;Zerstörer Typ 1934A;;;;;;;;;;;;;x
GER_destroyer_actual_4;Zerstörer Typ 1936A(mob)-Class;;;;;;;;;;;;;x
