#MODEL_TAG;ENGLISH;;;;;;;;;;;;;x
################################################;;;;;;;;;;;;;;x
# Models names;;;;;;;;;;;;;;x
################################################;;;;;;;;;;;;;;x
ITA_battleship_0;Dante Alighieri-class;;;;;;;;;;;;;x
ITA_battleship_1;Conte di Cavour-class;;;;;;;;;;;;;x
ITA_battleship_2;Andrea Doria-class;;;;;;;;;;;;;x
ITA_battleship_3;Caracciolo-class;;;;;;;;;;;;;x
ITA_battleship_4;Littorio-class;;;;;;;;;;;;;x
ITA_battleship_5;UP 41-class;;;;;;;;;;;;;x
ITA_battleship_6;UP 43-class;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
ITA_command_battleship_0;Dante Alighieri-class;;;;;;;;;;;;;x
ITA_command_battleship_1;Conte di Cavour-class;;;;;;;;;;;;;x
ITA_command_battleship_2;Andrea Doria-class;;;;;;;;;;;;;x
ITA_command_battleship_3;Caracciolo-class;;;;;;;;;;;;;x
ITA_command_battleship_4;Littorio-class;;;;;;;;;;;;;x
ITA_command_battleship_5;UP 41-class;;;;;;;;;;;;;x
ITA_command_battleship_6;UP 43-class;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
ITA_battlecruiser_2;Design 1928-class;;;;;;;;;;;;;x
ITA_battlecruiser_3;Design 1930-class;;;;;;;;;;;;;x
ITA_battlecruiser_4;Design 1933-class;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
ITA_heavy_cruiser_1;Trento I-class;;;;;;;;;;;;;x
ITA_heavy_cruiser_2;Trento II-class;;;;;;;;;;;;;x
ITA_heavy_cruiser_3;Zara-class;;;;;;;;;;;;;x
ITA_heavy_cruiser_4;Bolzano-class;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
ITA_light_cruiser_0;Taranto-class;;;;;;;;;;;;;x
ITA_light_cruiser_1;Giussano-class;;;;;;;;;;;;;x
ITA_light_cruiser_2;Cadorna-class;;;;;;;;;;;;;x
ITA_light_cruiser_3;Montecuccoli-class;;;;;;;;;;;;;x
ITA_light_cruiser_4;Duca degli Abruzzi-class;;;;;;;;;;;;;x
ITA_light_cruiser_5;Capitani Romani-class;;;;;;;;;;;;;x
ITA_light_cruiser_6;Etna-class;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
ITA_anti_air_cruiser_1;Etna-class;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
ITA_destroyer_actual_0;Sella-class;;;;;;;;;;;;;x
ITA_destroyer_actual_1;Navigatori-class;;;;;;;;;;;;;x
ITA_destroyer_actual_2;Folgore-class;;;;;;;;;;;;;x
ITA_destroyer_actual_3;Maestrale-class;;;;;;;;;;;;;x
ITA_destroyer_actual_4;Oriani-class;;;;;;;;;;;;;x
ITA_destroyer_actual_5;Soldati I-class;;;;;;;;;;;;;x
ITA_destroyer_actual_6;Soldati II-class;;;;;;;;;;;;;x
ITA_destroyer_actual_7;Commandanti Hedaglie D'Oro-class;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
ITA_torpedo_boat_0;Generali-class;;;;;;;;;;;;;x
ITA_torpedo_boat_1;Generali-class;;;;;;;;;;;;;x
ITA_torpedo_boat_2;Curtatone-class;;;;;;;;;;;;;x
ITA_torpedo_boat_3;Spica-class;;;;;;;;;;;;;x
ITA_torpedo_boat_4;Orsa-class;;;;;;;;;;;;;x
ITA_torpedo_boat_5;Ciclone-class;;;;;;;;;;;;;x
ITA_torpedo_boat_6;Ariete-class;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
ITA_motor_torpedo_boat_0;Generali-class;;;;;;;;;;;;;x
ITA_motor_torpedo_boat_1;S.V.A.N. 14t-class;;;;;;;;;;;;;x
ITA_motor_torpedo_boat_2;MAS Baglietto (mod.1931)-class;;;;;;;;;;;;;x
ITA_motor_torpedo_boat_3;Albatros (mod. 1935)-class;;;;;;;;;;;;;x
ITA_motor_torpedo_boat_4;MAS 500 I serie-class;;;;;;;;;;;;;x
ITA_motor_torpedo_boat_5;MAS 500 II serie-class;;;;;;;;;;;;;x
ITA_motor_torpedo_boat_6;MAS 500 III serie-class;;;;;;;;;;;;;x
ITA_motor_torpedo_boat_7;CRDA 60t I serie-class;;;;;;;;;;;;;x
ITA_motor_torpedo_boat_8;CRDA 60t II serie-class;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
ITA_frigate_0;Eritrea-class;;;;;;;;;;;;;x
ITA_frigate_1;Diana-class;;;;;;;;;;;;;x
ITA_frigate_2;Gabbiano-class;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
ITA_carrier_1;Rota-class;;;;;;;;;;;;;x
ITA_carrier_2;Sparviero-class;;;;;;;;;;;;;x
ITA_carrier_3;Aquila-class;;;;;;;;;;;;;x
ITA_carrier_4;Gagnotto-class;;;;;;;;;;;;;x
ITA_carrier_5;Bonfiglietti-class;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
ITA_coastal_battleship_2;San Giorgio/Pisa-class;;;;;;;;;;;;;x
### Submarine Fleet ###;;;;;;;;;;;;;;x
### Coastal Submarine ###;;;;;;;;;;;;;;x
ITA_coastal_submarine_0;H-class;;;;;;;;;;;;;x
ITA_coastal_submarine_1;Argonauta-class;;;;;;;;;;;;;x
ITA_coastal_submarine_2;Sirena-class;;;;;;;;;;;;;x
ITA_coastal_submarine_3;Perla-class;;;;;;;;;;;;;x
ITA_coastal_submarine_4;Adua-class;;;;;;;;;;;;;x
ITA_coastal_submarine_5;Accaiao-class;;;;;;;;;;;;;x
### Submarine ###;;;;;;;;;;;;;;x
ITA_submarine_0;H-class;;;;;;;;;;;;;x
ITA_submarine_1;H-class;;;;;;;;;;;;;x
ITA_submarine_2;Squalo-class;;;;;;;;;;;;;x
ITA_submarine_3;Calvi-class;;;;;;;;;;;;;x
ITA_submarine_4;Foca-class;;;;;;;;;;;;;x
ITA_submarine_5;Marcello-class;;;;;;;;;;;;;x
ITA_submarine_6;Flutto-class Type 1;;;;;;;;;;;;;x
ITA_submarine_7;Flutto-class Type 2;;;;;;;;;;;;;x
ITA_submarine_8;Flutto-class Type 3;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
ITA_long_range_submarine_0;Balilla-class;;;;;;;;;;;;;x
ITA_long_range_submarine_1;Archimede-class;;;;;;;;;;;;;x
ITA_long_range_submarine_2;Glauco-class;;;;;;;;;;;;;x
ITA_long_range_submarine_3;Brin-class;;;;;;;;;;;;;x
ITA_long_range_submarine_4;Cagni-class;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
ITA_super_heavy_battleship_armament_1;12 x 40,6cm L/52 Mod.1940;;;;;;;;;;;;;x
ITA_super_heavy_battleship_engine_1;150.000 hp turbines;;;;;;;;;;;;;x
ITA_super_heavy_battleship_armour_1;D.200mm/B.385mm/T.415mm Schott;;;;;;;;;;;;;x
# Capitalship Armament #;;;;;;;;;;;;;;x
ITA_capitalship_armament_0;12inch/46;;;;;;;;;;;;;x
ITA_capitalship_armament_1;320mm L/44.6('34);;;;;;;;;;;;;x
ITA_capitalship_armament_2;320mm L/44.6('36);;;;;;;;;;;;;x
ITA_capitalship_armament_3;381mm L/40 Modello 1914;;;;;;;;;;;;;x
ITA_capitalship_armament_4;381mm L/50 Modello 1934;;;;;;;;;;;;;x
# Capitalship Engine #;;;;;;;;;;;;;;x
ITA_battleship_engine_0;85,000hp turbines;;;;;;;;;;;;;x
ITA_battleship_engine_1;100,000hp turbines;;;;;;;;;;;;;x
ITA_battleship_engine_3;140,000hp turbines;;;;;;;;;;;;;x
# Capitalship Armour #;;;;;;;;;;;;;;x
ITA_battleship_armour_0;250mm Main Belt;;;;;;;;;;;;;x
ITA_battleship_armour_1;300mm Main Belt;;;;;;;;;;;;;x
ITA_battleship_armour_2;350mm Main Belt;;;;;;;;;;;;;x
# All ship light, medium and heavy AAA #;;;;;;;;;;;;;;x
ITA_battleship_antiaircraft_0;76/40 Modello 1917;;;;;;;;;;;;;x
ITA_battleship_antiaircraft_1;40/39 autocannon;;;;;;;;;;;;;x
ITA_battleship_antiaircraft_2;90/50 Modello 1939;;;;;;;;;;;;;x
ITA_battleship_antiaircraft_3;37/54 autocannon;;;;;;;;;;;;;x
ITA_battleship_antiaircraft_4;20/65 autocannon;;;;;;;;;;;;;x
ITA_battlecruiser_antiaircraft_0;76/40 Modello 1917;;;;;;;;;;;;;x
ITA_battlecruiser_antiaircraft_1;40/39 autocannon;;;;;;;;;;;;;x
ITA_battlecruiser_antiaircraft_2;90/50 Modello 1939;;;;;;;;;;;;;x
ITA_battlecruiser_antiaircraft_3;37/54 autocannon;;;;;;;;;;;;;x
ITA_battlecruiser_antiaircraft_4;20/65 autocannon;;;;;;;;;;;;;x
#EOF;;;;;;;;;;;;;;x
