###########################################################;;;;;;;;;;;;;x
GER_destroyer_technology_0;WWI Blueprint;;;;;;;;;;;;;x
GER_destroyer_technology_1;Marinebauamt 1918 Destroyer Blueprint;;;;;;;;;;;;;x
GER_destroyer_technology_2;Marinebauamt 1930 Destroyer Blueprint;;;;;;;;;;;;;x
GER_destroyer_technology_3;Marinebauamt 1932 Destroyer Blueprint;;;;;;;;;;;;;x
GER_destroyer_technology_4;Marinebauamt 1934 Destroyer Blueprint;;;;;;;;;;;;;x
GER_destroyer_class_0;;;;;;;;;;;;;;x
GER_destroyer_class_1;Marinebauamt 1936 Destroyer Blueprint;;;;;;;;;;;;;x
GER_destroyer_class_2;Marinebauamt 1938 Destroyer Blueprint;;;;;;;;;;;;;x
GER_destroyer_class_3;Marinebauamt 1940 Destroyer Blueprint;;;;;;;;;;;;;x
GER_destroyer_class_4;Marinebauamt 1942 Destroyer Blueprint;;;;;;;;;;;;;x
GER_destroyer_class_5;Marinebauamt 1944 Destroyer Blueprint;;;;;;;;;;;;;x
GER_destroyer_class_6;Marinebauamt 1946 Destroyer Blueprint;;;;;;;;;;;;;x
GER_destroyer_class_7;Marinebauamt 1948 Destroyer Blueprint;;;;;;;;;;;;;x
GER_destroyer_class_8;Marinebauamt 1950 Destroyer Blueprint;;;;;;;;;;;;;x
GER_frigate_class_0;;;;;;;;;;;;;;x
GER_frigate_class_1;Marinebauamt 1939 Frigate Blueprint;;;;;;;;;;;;;x
GER_frigate_class_2;Marinebauamt 1940 Frigate Blueprint;;;;;;;;;;;;;x
GER_frigate_class_3;Marinebauamt 1942 Frigate Blueprint;;;;;;;;;;;;;x
GER_frigate_class_4;Marinebauamt 1944 Frigate Blueprint;;;;;;;;;;;;;x
GER_frigate_class_5;Marinebauamt 1946 Frigate Blueprint;;;;;;;;;;;;;x
GER_frigate_class_6;Marinebauamt 1948 Frigate Blueprint;;;;;;;;;;;;;x
GER_frigate_class_7;Marinebauamt 1950 Frigate Blueprint;;;;;;;;;;;;;x
GER_torpedo_boat_class_0;;;;;;;;;;;;;;x
GER_torpedo_boat_class_1;Marinebauamt 1918 Torpedo Boat Blueprint;;;;;;;;;;;;;x
GER_torpedo_boat_class_2;Marinebauamt 1932 Torpedo Boat Blueprint;;;;;;;;;;;;;x
GER_torpedo_boat_class_3;Marinebauamt 1934 Torpedo Boat Blueprint;;;;;;;;;;;;;x
GER_torpedo_boat_class_4;Marinebauamt 1936 Torpedo Boat Blueprint;;;;;;;;;;;;;x
GER_torpedo_boat_class_5;Marinebauamt 1938 Torpedo Boat Blueprint;;;;;;;;;;;;;x
GER_torpedo_boat_class_6;Marinebauamt 1940 Torpedo Boat Blueprint;;;;;;;;;;;;;x
GER_torpedo_boat_class_7;Marinebauamt 1942 Torpedo Boat Blueprint;;;;;;;;;;;;;x
GER_torpedo_boat_class_8;Marinebauamt 1944 Torpedo Boat Blueprint;;;;;;;;;;;;;x
GER_torpedo_boat_class_9;Marinebauamt 1946 Torpedo Boat Blueprint;;;;;;;;;;;;;x
GER_torpedo_boat_class_10;Marinebauamt 1948 Torpedo Boat Blueprint;;;;;;;;;;;;;x
GER_torpedo_boat_class_11;Marinebauamt 1950 Torpedo Boat Blueprint;;;;;;;;;;;;;x
GER_motor_torpedo_boat_class_0;;;;;;;;;;;;;;x
GER_motor_torpedo_boat_class_1;Marinebauamt 1918 MTB Blueprint;;;;;;;;;;;;;x
GER_motor_torpedo_boat_class_2;Marinebauamt 1932 MTB Blueprint;;;;;;;;;;;;;x
GER_motor_torpedo_boat_class_3;Marinebauamt 1934 MTB Blueprint;;;;;;;;;;;;;x
GER_motor_torpedo_boat_class_4;Marinebauamt 1936 MTB Blueprint;;;;;;;;;;;;;x
GER_motor_torpedo_boat_class_5;Marinebauamt 1938 MTB Blueprint;;;;;;;;;;;;;x
GER_motor_torpedo_boat_class_6;Marinebauamt 1940 MTB Blueprint;;;;;;;;;;;;;x
GER_motor_torpedo_boat_class_7;Marinebauamt 1942 MTB Blueprint;;;;;;;;;;;;;x
GER_motor_torpedo_boat_class_8;Marinebauamt 1944 MTB Blueprint;;;;;;;;;;;;;x
GER_motor_torpedo_boat_class_9;Marinebauamt 1946 MTB Blueprint;;;;;;;;;;;;;x
GER_motor_torpedo_boat_class_10;Marinebauamt 1948 MTB Blueprint;;;;;;;;;;;;;x
GER_motor_torpedo_boat_class_11;Marinebauamt 1950 MTB Blueprint;;;;;;;;;;;;;x
GER_light_naval_guns_0;;;;;;;;;;;;;;x
GER_light_naval_guns_1;10.5 cm SK L/45;;;;;;;;;;;;;x
GER_light_naval_guns_2;12.7 cm SK C/34;;;;;;;;;;;;;x
GER_light_naval_guns_3;12.7 cm SK C/34;;;;;;;;;;;;;x
GER_light_naval_guns_4;15 cm SK C/28;;;;;;;;;;;;;x
GER_light_naval_guns_5;12.7 cm SK C/34;;;;;;;;;;;;;x
GER_light_naval_guns_6;15 cm SK C/28;;;;;;;;;;;;;x
GER_light_naval_guns_7;10.5 cm SK C/32;;;;;;;;;;;;;x
GER_light_naval_guns_8;12.7 cm SK C/41;;;;;;;;;;;;;x
GER_light_naval_guns_9;12.7 cm SK C/44;;;;;;;;;;;;;x
GER_light_naval_guns_10;12.7 cm SK C/46;;;;;;;;;;;;;x
GER_light_naval_guns_11;12.7 cm SK C/50;;;;;;;;;;;;;x
GER_light_warship_engine_0;;;;;;;;;;;;;;x
GER_light_warship_engine_1;24.000 shp;;;;;;;;;;;;;x
GER_light_warship_engine_2;70.000 shp;;;;;;;;;;;;;x
GER_light_warship_engine_3;70.000 shp;;;;;;;;;;;;;x
GER_light_warship_engine_4;72.000 shp;;;;;;;;;;;;;x
GER_light_warship_engine_5;72.000 shp;;;;;;;;;;;;;x
GER_light_warship_engine_6;75.000 shp;;;;;;;;;;;;;x
GER_light_warship_engine_7;80.000 shp;;;;;;;;;;;;;x
GER_light_warship_engine_8;83.000 shp;;;;;;;;;;;;;x
GER_light_warship_engine_9;85.000 shp;;;;;;;;;;;;;x
GER_light_warship_engine_10;90.000 shp;;;;;;;;;;;;;x
GER_light_warship_engine_11;93.000 shp;;;;;;;;;;;;;x
GER_light_warship_engine_12;95.000 shp;;;;;;;;;;;;;x
GER_light_warship_screws_rudder_optimisation_0;;;;;;;;;;;;;;x
GER_light_warship_screws_rudder_optimisation_1;3-Blade Bronze, 3.3m / Semi-Bal Steel 12.5m2;;;;;;;;;;;;;x
GER_light_warship_screws_rudder_optimisation_2;3-Blade Bronze, 3.3m / Semi-Bal Steel 13m2;;;;;;;;;;;;;x
GER_light_warship_screws_rudder_optimisation_3;3-Blade Bronze, 3.4m / Semi-Bal Steel 14m2;;;;;;;;;;;;;x
GER_light_warship_screws_rudder_optimisation_4;3-Blade Bronze, 3.5m / Semi-Bal Steel 15m2;;;;;;;;;;;;;x
GER_light_warship_screws_rudder_optimisation_5;3-Blade Bronze, 3.6m / Semi-Bal Steel 16.5m2;;;;;;;;;;;;;x
GER_light_warship_screws_rudder_optimisation_6;3-Blade Bronze, 3.8m / Semi-Bal Steel 17m2;;;;;;;;;;;;;x
GER_light_warship_screws_rudder_optimisation_7;3-Blade Bronze, 4.0m / Semi-Bal Steel 17m2;;;;;;;;;;;;;x
GER_light_warship_screws_rudder_optimisation_8;3-Blade Bronze, 4.1m / Semi-Bal Steel 17.5m2;;;;;;;;;;;;;x
GER_hydrophone_dev_0;;;;;;;;;;;;;;x
GER_hydrophone_dev_1;GHG;;;;;;;;;;;;;x
GER_hydrophone_dev_2;GHG, S-Gerät Model 1932;;;;;;;;;;;;;x
GER_hydrophone_dev_3;GHG, S-Gerät Model 1934;;;;;;;;;;;;;x
GER_hydrophone_dev_4;GHG, S-Gerät Model 1936;;;;;;;;;;;;;x
GER_hydrophone_dev_5;GHG, S-Gerät Model 1938;;;;;;;;;;;;;x
GER_hydrophone_dev_6;GHG, S-Gerät Model 1940;;;;;;;;;;;;;x
GER_hydrophone_dev_7;GHG, S-Gerät Model 1942;;;;;;;;;;;;;x
GER_hydrophone_dev_8;GHG, S-Gerät Model 1944;;;;;;;;;;;;;x
GER_hydrophone_dev_9;GHG, S-Gerät Model 1946;;;;;;;;;;;;;x
GER_hydrophone_dev_10;GHG, S-Gerät Model 1948;;;;;;;;;;;;;x
GER_hydrophone_dev_11;GHG, S-Gerät Model 1950;;;;;;;;;;;;;x
GER_small_warship_surface_radar_0;;;;;;;;;;;;;;x
GER_small_warship_surface_radar_1;FuMO 21;;;;;;;;;;;;;x
GER_small_warship_surface_radar_2;FuMO 21 / FuMO 24;;;;;;;;;;;;;x
GER_small_warship_surface_radar_3;FuMO 21 / FuMO 24;;;;;;;;;;;;;x
GER_small_warship_surface_radar_4;FuMO 24 / FuMO 25;;;;;;;;;;;;;x
GER_small_warship_surface_radar_5;FuMO 25;;;;;;;;;;;;;x 
GER_small_warship_surface_radar_6;FuMO 26;;;;;;;;;;;;;x
GER_small_warship_surface_radar_7;FuMO 27;;;;;;;;;;;;;x
GER_small_warship_surface_radar_8;FuMO 28;;;;;;;;;;;;;x
GER_small_warship_surface_radar_9;FuMO 29;;;;;;;;;;;;;x
GER_small_warship_surface_radar_10;FuMO 30;;;;;;;;;;;;;x
GER_small_warship_surface_radar_11;FuMO 31;;;;;;;;;;;;;x
GER_small_warship_airsearch_radar_0;;;;;;;;;;;;;;x
GER_small_warship_airsearch_radar_1;FuMG 22;;;;;;;;;;;;;x
GER_small_warship_airsearch_radar_2;FuMG 30;;;;;;;;;;;;;x
GER_small_warship_airsearch_radar_3;FuMG 34;;;;;;;;;;;;;x
GER_small_warship_airsearch_radar_4;FuMG 39;;;;;;;;;;;;;x
GER_small_warship_airsearch_radar_5;FuMG 42;;;;;;;;;;;;;x
GER_small_warship_airsearch_radar_6;FuMG 43;;;;;;;;;;;;;x
