###########################################################;;;;;;;;;;;;;x
SOV_destroyer_technology_0;WWI Blueprint;;;;;;;;;;;;;x
SOV_destroyer_technology_1;TsKB-17 1918 Destroyer Blueprint;;;;;;;;;;;;;x
SOV_destroyer_technology_2;TsKB-17 1930 Destroyer Blueprint;;;;;;;;;;;;;x
SOV_destroyer_technology_3;TsKB-17 1932 Destroyer Blueprint;;;;;;;;;;;;;x
SOV_destroyer_technology_4;TsKB-17 1934 Destroyer Blueprint;;;;;;;;;;;;;x
SOV_destroyer_class_0;;;;;;;;;;;;;;x
SOV_destroyer_class_1;TsKB-17 1936 Destroyer Blueprint;;;;;;;;;;;;;x
SOV_destroyer_class_2;TsKB-17 1938 Destroyer Blueprint;;;;;;;;;;;;;x
SOV_destroyer_class_3;TsKB-17 1940 Destroyer Blueprint;;;;;;;;;;;;;x
SOV_destroyer_class_4;TsKB-17 1942 Destroyer Blueprint;;;;;;;;;;;;;x
SOV_destroyer_class_5;TsKB-17 1944 Destroyer Blueprint;;;;;;;;;;;;;x
SOV_destroyer_class_6;TsKB-17 1946 Destroyer Blueprint;;;;;;;;;;;;;x
SOV_destroyer_class_7;TsKB-17 1948 Destroyer Blueprint;;;;;;;;;;;;;x
SOV_destroyer_class_8;TsKB-17 1950 Destroyer Blueprint;;;;;;;;;;;;;x
SOV_frigate_class_0;;;;;;;;;;;;;;x
SOV_frigate_class_1;TsKB-17 1939 Frigate Blueprint;;;;;;;;;;;;;x
SOV_frigate_class_2;TsKB-17 1940 Frigate Blueprint;;;;;;;;;;;;;x
SOV_frigate_class_3;TsKB-17 1942 Frigate Blueprint;;;;;;;;;;;;;x
SOV_frigate_class_4;TsKB-17 1944 Frigate Blueprint;;;;;;;;;;;;;x
SOV_frigate_class_5;TsKB-17 1946 Frigate Blueprint;;;;;;;;;;;;;x
SOV_frigate_class_6;TsKB-17 1948 Frigate Blueprint;;;;;;;;;;;;;x
SOV_frigate_class_7;TsKB-17 1950 Frigate Blueprint;;;;;;;;;;;;;x
SOV_torpedo_boat_class_0;;;;;;;;;;;;;;x
SOV_torpedo_boat_class_1;TsKB-17 1918 Torpedo Boat Blueprint;;;;;;;;;;;;;x
SOV_torpedo_boat_class_2;TsKB-17 1932 Torpedo Boat Blueprint;;;;;;;;;;;;;x
SOV_torpedo_boat_class_3;TsKB-17 1934 Torpedo Boat Blueprint;;;;;;;;;;;;;x
SOV_torpedo_boat_class_4;TsKB-17 1936 Torpedo Boat Blueprint;;;;;;;;;;;;;x
SOV_torpedo_boat_class_5;TsKB-17 1938 Torpedo Boat Blueprint;;;;;;;;;;;;;x
SOV_torpedo_boat_class_6;TsKB-17 1940 Torpedo Boat Blueprint;;;;;;;;;;;;;x
SOV_torpedo_boat_class_7;TsKB-17 1942 Torpedo Boat Blueprint;;;;;;;;;;;;;x
SOV_torpedo_boat_class_8;TsKB-17 1944 Torpedo Boat Blueprint;;;;;;;;;;;;;x
SOV_torpedo_boat_class_9;TsKB-17 1946 Torpedo Boat Blueprint;;;;;;;;;;;;;x
SOV_torpedo_boat_class_10;TsKB-17 1948 Torpedo Boat Blueprint;;;;;;;;;;;;;x
SOV_torpedo_boat_class_11;TsKB-17 1950 Torpedo Boat Blueprint;;;;;;;;;;;;;x
SOV_motor_torpedo_boat_class_0;;;;;;;;;;;;;;x
SOV_motor_torpedo_boat_class_1;TsKB-17 1918 MTB Blueprint;;;;;;;;;;;;;x
SOV_motor_torpedo_boat_class_2;TsKB-17 1932 MTB Blueprint;;;;;;;;;;;;;x
SOV_motor_torpedo_boat_class_3;TsKB-17 1934 MTB Blueprint;;;;;;;;;;;;;x
SOV_motor_torpedo_boat_class_4;TsKB-17 1936 MTB Blueprint;;;;;;;;;;;;;x
SOV_motor_torpedo_boat_class_5;TsKB-17 1938 MTB Blueprint;;;;;;;;;;;;;x
SOV_motor_torpedo_boat_class_6;TsKB-17 1940 MTB Blueprint;;;;;;;;;;;;;x
SOV_motor_torpedo_boat_class_7;TsKB-17 1942 MTB Blueprint;;;;;;;;;;;;;x
SOV_motor_torpedo_boat_class_8;TsKB-17 1944 MTB Blueprint;;;;;;;;;;;;;x
SOV_motor_torpedo_boat_class_9;TsKB-17 1946 MTB Blueprint;;;;;;;;;;;;;x
SOV_motor_torpedo_boat_class_10;TsKB-17 1948 MTB Blueprint;;;;;;;;;;;;;x
SOV_motor_torpedo_boat_class_11;TsKB-17 1950 MTB Blueprint;;;;;;;;;;;;;x
SOV_light_naval_guns_0;;;;;;;;;;;;;;;x
SOV_light_naval_guns_1;102mm Pattern 1911;;;;;;;;;;;;;;x
SOV_light_naval_guns_2;102mm Pattern 1911;;;;;;;;;;;;;;x
SOV_light_naval_guns_3;130 mm/50 B-13 Pattern 1930;;;;;;;;;;;;;;x
SOV_light_naval_guns_4;130 mm/50 B-13 Pattern 1932;;;;;;;;;;;;;;x
SOV_light_naval_guns_5;130 mm/50 B-13 Pattern 1934;;;;;;;;;;;;;;x
SOV_light_naval_guns_6;130 mm/50 B-13 Pattern 1936;;;;;;;;;;;;;;x
SOV_light_naval_guns_7;130 mm/50 B-13 Pattern 1938;;;;;;;;;;;;;;x
SOV_light_naval_guns_8;130 mm/58 SM-2-1;;;;;;;;;;;;;;x
SOV_light_naval_guns_9;130 mm/58 SM-3;;;;;;;;;;;;;;x
SOV_light_naval_guns_10;130 mm/58 SM-4;;;;;;;;;;;;;;x
SOV_light_naval_guns_11;130 mm/58 SM-5;;;;;;;;;;;;;;x
SOV_light_warship_engine_0;;;;;;;;;;;;;;;x
SOV_light_warship_engine_1;29,000-30,000 shp;;;;;;;;;;;;;;x
SOV_light_warship_engine_2;48,000 shp;;;;;;;;;;;;;;x
SOV_light_warship_engine_3;54,000 shp;;;;;;;;;;;;;;x
SOV_light_warship_engine_4;54,000 shp;;;;;;;;;;;;;;x
SOV_light_warship_engine_5;60,000 shp;;;;;;;;;;;;;;x
SOV_light_warship_engine_6;66,000 shp;;;;;;;;;;;;;;x
SOV_light_warship_engine_7;70,000 shp;;;;;;;;;;;;;;x
SOV_light_warship_engine_8;71,000 shp;;;;;;;;;;;;;;x
SOV_light_warship_engine_9;72,000 shp;;;;;;;;;;;;;;x
SOV_light_warship_engine_10;73,000 shp;;;;;;;;;;;;;;x
SOV_light_warship_engine_11;75,000 shp;;;;;;;;;;;;;;x
SOV_light_warship_engine_12;75,000 shp;;;;;;;;;;;;;;x
SOV_light_warship_screws_rudder_optimisation_0;;;;;;;;;;;;;;;x
SOV_light_warship_screws_rudder_optimisation_1;3-Blade Bronze/Semi-Bal 10m2;;;;;;;;;;;;;;x
SOV_light_warship_screws_rudder_optimisation_2;3-Blade Bronze/Balanced 11m2;;;;;;;;;;;;;;x
SOV_light_warship_screws_rudder_optimisation_3;3-Blade Bronze/Balanced 11.5m2;;;;;;;;;;;;;;x
SOV_light_warship_screws_rudder_optimisation_4;3-Blade Bronze/Balanced 12m2;;;;;;;;;;;;;;x
SOV_light_warship_screws_rudder_optimisation_5;3-Blade Ni-Al bronze/Balanced 12.5m2;;;;;;;;;;;;;;x
SOV_light_warship_screws_rudder_optimisation_6;4-Blade Bronze/Balanced 12.5m2;;;;;;;;;;;;;;x
SOV_light_warship_screws_rudder_optimisation_7;4-Blade Bronze/Balanced 13m2;;;;;;;;;;;;;;x
SOV_light_warship_screws_rudder_optimisation_8;4-Blade Bronze/Balanced 13.5m2;;;;;;;;;;;;;;x
SOV_hydrophone_dev_0;;;;;;;;;;;;;;;x
SOV_hydrophone_dev_1;MG-10;;;;;;;;;;;;;;x
SOV_hydrophone_dev_2;MG-11;;;;;;;;;;;;;;x
SOV_hydrophone_dev_3;MG-13;;;;;;;;;;;;;;x
SOV_hydrophone_dev_4;MG-14;;;;;;;;;;;;;;x
SOV_hydrophone_dev_5;MG-26;;;;;;;;;;;;;;x
SOV_hydrophone_dev_6;MG-30;;;;;;;;;;;;;;x
SOV_hydrophone_dev_7;MG-31/MG-32;;;;;;;;;;;;;;x
SOV_hydrophone_dev_8;MG-35/MG-44;;;;;;;;;;;;;;x
SOV_hydrophone_dev_9;MG-45/MG-46;;;;;;;;;;;;;;x
SOV_hydrophone_dev_10;MG-48;;;;;;;;;;;;;;x
SOV_hydrophone_dev_11;MG-50/MG-51;;;;;;;;;;;;;;x
SOV_small_warship_surface_radar_0;;;;;;;;;;;;;;;x
SOV_small_warship_surface_radar_1;Rif;;;;;;;;;;;;;;x
SOV_small_warship_surface_radar_2;Redut-K;;;;;;;;;;;;;;x
SOV_small_warship_surface_radar_3;Redut-3K;;;;;;;;;;;;;;x
SOV_small_warship_surface_radar_4;Giuis-1;;;;;;;;;;;;;;x
SOV_small_warship_surface_radar_5;Zalp;;;;;;;;;;;;;;x
SOV_small_warship_surface_radar_6;Redut-5K;;;;;;;;;;;;;;x
SOV_small_warship_surface_radar_7;Giuis-3;;;;;;;;;;;;;;x
SOV_small_warship_surface_radar_8;Redut-7K;;;;;;;;;;;;;;x
SOV_small_warship_surface_radar_9;Redut-8K;;;;;;;;;;;;;;x
SOV_small_warship_surface_radar_10;Giuis-4;;;;;;;;;;;;;;x
SOV_small_warship_surface_radar_11;Fut-N;;;;;;;;;;;;;;x
SOV_small_warship_airsearch_radar_0;;;;;;;;;;;;;;;x
SOV_small_warship_airsearch_radar_1;Rif;;;;;;;;;;;;;;x
SOV_small_warship_airsearch_radar_2;Rif-2;;;;;;;;;;;;;;x
SOV_small_warship_airsearch_radar_3;Rif-3;;;;;;;;;;;;;;x
SOV_small_warship_airsearch_radar_4;Giuis-1;;;;;;;;;;;;;;x
SOV_small_warship_airsearch_radar_5;Giuis-2;;;;;;;;;;;;;;x
SOV_small_warship_airsearch_radar_6;Giuis-3;;;;;;;;;;;;;;x
SOV_small_warship_airsearch_radar_7;Rif-4;;;;;;;;;;;;;;x
SOV_small_warship_airsearch_radar_8;Rif-5;;;;;;;;;;;;;;x
SOV_small_warship_airsearch_radar_9;Redan;;;;;;;;;;;;;;x
SOV_small_warship_airsearch_radar_10;Reya;;;;;;;;;;;;;;x
SOV_smallwarship_asw_0;;;;;;;;;;;;;;;x
SOV_smallwarship_asw_1;;;;;;;;;;;;;;;x
SOV_smallwarship_asw_2;;;;;;;;;;;;;;;x
SOV_smallwarship_asw_3;;;;;;;;;;;;;;;x
SOV_smallwarship_asw_4;;;;;;;;;;;;;;;x
SOV_smallwarship_asw_5;;;;;;;;;;;;;;;x
SOV_smallwarship_asw_6;;;;;;;;;;;;;;;x
SOV_smallwarship_asw_7;;;;;;;;;;;;;;;x
SOV_smallwarship_damage_control_0;;;;;;;;;;;;;;;x
SOV_smallwarship_damage_control_1;;;;;;;;;;;;;;;x
SOV_smallwarship_damage_control_2;;;;;;;;;;;;;;;x
SOV_smallwarship_damage_control_3;;;;;;;;;;;;;;;x
SOV_smallwarship_damage_control_4;;;;;;;;;;;;;;;x
SOV_smallwarship_damage_control_5;;;;;;;;;;;;;;;x
SOV_smallwarship_damage_control_6;;;;;;;;;;;;;;;x
SOV_smallwarship_damage_control_7;;;;;;;;;;;;;;;x
SOV_smallwarship_fire_control_computer_0;;;;;;;;;;;;;;;x
SOV_smallwarship_fire_control_computer_1;1.5-2m Barr&Stroud. Mina-1;;;;;;;;;;;;;;x
SOV_smallwarship_fire_control_computer_2;3m B&Stroud. Mina-1/2;;;;;;;;;;;;;;x
SOV_smallwarship_fire_control_computer_3;3-4m KDP-2-4/2-6, Mina-7;;;;;;;;;;;;;;x
SOV_smallwarship_fire_control_computer_4;3-4m KDP-2-4/2-6, Mina-7M, Redut-K radar;;;;;;;;;;;;;;x
SOV_smallwarship_fire_control_computer_5;3-4m KDP-2-4/2-6, Mina-7M/8, Redut-K/Mars-1 radar;;;;;;;;;;;;;;x
SOV_smallwarship_fire_control_computer_6;4m KDP-2-4/2-6, Mina-8, Redut-K/Mars-1 radar;;;;;;;;;;;;;;x
SOV_smallwarship_AAA_control_computer_0;;;;;;;;;;;;;;;x
SOV_smallwarship_AAA_control_computer_1;SPN-1;;;;;;;;;;;;;;x
SOV_smallwarship_AAA_control_computer_2;SPN-1/2;;;;;;;;;;;;;;x
SOV_smallwarship_AAA_control_computer_3;SPN-2, Giuis-1 radar;;;;;;;;;;;;;;x
SOV_smallwarship_AAA_control_computer_4;SPN-2, Giuis-3 radar;;;;;;;;;;;;;;x
SOV_smallwarship_AAA_control_computer_5;SPN-4, Mars-1 radar;;;;;;;;;;;;;;x
SOV_smallwarship_AAA_control_computer_6;SPN-5, Mars-1 radar;;;;;;;;;;;;;;x
SOV_hdfd_radio_dev_0;;;;;;;;;;;;;;;x
SOV_hdfd_radio_dev_1;GAS-type;;;;;;;;;;;;;;x
SOV_hdfd_radio_dev_2;UP-1;;;;;;;;;;;;;;x
SOV_hdfd_radio_dev_3;UP-2;;;;;;;;;;;;;;x
SOV_hdfd_radio_dev_4;SP-1;;;;;;;;;;;;;;x
SOV_hdfd_radio_dev_5;SP-2;;;;;;;;;;;;;;x
SOV_hdfd_radio_dev_6;Redut-R;;;;;;;;;;;;;;x
SOV_hdfd_radio_dev_7;RUS-type;;;;;;;;;;;;;;x
SOV_depth_charge_0;;;;;;;;;;;;;;;x
SOV_depth_charge_1;DM-1;;;;;;;;;;;;;;x
SOV_depth_charge_2;DM-2;;;;;;;;;;;;;;x
SOV_depth_charge_3;RMB-1/DM-4;;;;;;;;;;;;;;x
SOV_depth_charge_4;RBU-300 Strela;;;;;;;;;;;;;;x
SOV_depth_charge_5;RBU-6000;;;;;;;;;;;;;;x
SOV_depth_charge_6;RBU-250 / RBU-300;;;;;;;;;;;;;;x
SOV_depth_charge_7;DM-5 / DM-6;;;;;;;;;;;;;;x
SOV_hedgehog_dev_0;;;;;;;;;;;;;;;x
SOV_hedgehog_dev_1;RBU-300;;;;;;;;;;;;;;x
SOV_hedgehog_dev_2;RBU-250;;;;;;;;;;;;;;x
SOV_hedgehog_dev_3;RBU-1200;;;;;;;;;;;;;;x
SOV_hedgehog_dev_4;RBU-1400;;;;;;;;;;;;;;x
SOV_asw_counter_measures_1;;;;;;;;;;;;;;x
SOV_heavy_antiaircraft_light_ships_0;;;;;;;;;;;;;;;x
SOV_heavy_antiaircraft_light_ships_1;76.2mm 34-K;;;;;;;;;;;;;;x
SOV_heavy_antiaircraft_light_ships_2;76.2mm 36-K;;;;;;;;;;;;;;x
SOV_heavy_antiaircraft_light_ships_3;76.2mm 39-K;;;;;;;;;;;;;;x
SOV_heavy_antiaircraft_light_ships_4;85mm 90-K;;;;;;;;;;;;;;x
SOV_heavy_antiaircraft_light_ships_5;85mm 100-K;;;;;;;;;;;;;;x
SOV_heavy_antiaircraft_light_ships_6;85mm 110-K;;;;;;;;;;;;;;x
SOV_light_antiaircraft_light_ships_0;;;;;;;;;;;;;;;x
SOV_light_antiaircraft_light_ships_1;45mm 21-K, 7.62mm Maxim / DShK;;;;;;;;;;;;;;x
SOV_light_antiaircraft_light_ships_2;45mm 21-K, 12.7mm DShK, 37mm 70-K;;;;;;;;;;;;;;x
SOV_light_antiaircraft_light_ships_3;37mm 70-K, 12.7mm DShK, 45mm 21-K;;;;;;;;;;;;;;x
SOV_light_antiaircraft_light_ships_4;37mm 70-K, 12.7mm DShK;;;;;;;;;;;;;;x
SOV_light_antiaircraft_light_ships_5;37mm 80-K, 12.7mm DShK;;;;;;;;;;;;;;x
SOV_light_antiaircraft_light_ships_6;37mm 86-K;;;;;;;;;;;;;;x
SOV##################################################;;;;;;;;;;;;;x
SOV_lightcruiser_technology_0;TsKB-17 WWI Light Cruiser Blueprint;;;;;;;;;;;;;x
SOV_lightcruiser_technology_1;TsKB-17 1918 Light Cruiser Blueprint;;;;;;;;;;;;;x
SOV_lightcruiser_technology_2;TsKB-17 1929 Light Cruiser Blueprint;;;;;;;;;;;;;x
SOV_lightcruiser_technology_3;TsKB-17 1932 Light Cruiser Blueprint;;;;;;;;;;;;;x
SOV_lightcruiser_class_1;TsKB-17 1936 Light Cruiser Blueprint;;;;;;;;;;;;;x
SOV_lightcruiser_class_2;TsKB-17 1939 Light Cruiser Blueprint;;;;;;;;;;;;;x
SOV_lightcruiser_class_3;TsKB-17 1942 Light Cruiser Blueprint;;;;;;;;;;;;;x
SOV_lightcruiser_class_4;TsKB-17 1945 Light Cruiser Blueprint;;;;;;;;;;;;;x
SOV_lightcruiser_class_5;TsKB-17 1948 Light Cruiser Blueprint;;;;;;;;;;;;;x
SOV_lightcruiser_class_6;TsKB-17 1951 Light Cruiser Blueprint;;;;;;;;;;;;;x
SOV_anti_air_cruiser_activation_1;;;;;;;;;;;;;;;x
SOV_heavycruiser_technology_0;;;;;;;;;;;;;;x
SOV_heavycruiser_technology_1;TsKB-17 1918 Heavy Cruiser Blueprint;;;;;;;;;;;;;x
SOV_heavycruiser_technology_2;TsKB-17 1930 Heavy Cruiser Blueprint;;;;;;;;;;;;;x
SOV_heavycruiser_technology_3;TsKB-17 1933 Heavy Cruiser Blueprint;;;;;;;;;;;;;x
SOV_heavycruiser_class_0;;;;;;;;;;;;;;x
SOV_heavycruiser_class_1;TsKB-17 1936 Heavy Cruiser Blueprint;;;;;;;;;;;;;x
SOV_heavycruiser_class_2;TsKB-17 1939 Heavy Cruiser Blueprint;;;;;;;;;;;;;x
