###########################################################;;;;;;;;;;;;;x
USA_destroyer_technology_0;WWI Blueprint;;;;;;;;;;;;;x
USA_destroyer_technology_1;BuShips 1918 Destroyer Blueprint;;;;;;;;;;;;;x
USA_destroyer_technology_2;BuShips 1930 Destroyer Blueprint;;;;;;;;;;;;;x
USA_destroyer_technology_3;BuShips 1932 Destroyer Blueprint;;;;;;;;;;;;;x
USA_destroyer_technology_4;BuShips 1934 Destroyer Blueprint;;;;;;;;;;;;;x
USA_destroyer_class_0;;;;;;;;;;;;;;x
USA_destroyer_class_1;BuShips 1936 Destroyer Blueprint;;;;;;;;;;;;;x
USA_destroyer_class_2;BuShips 1938 Destroyer Blueprint;;;;;;;;;;;;;x
USA_destroyer_class_3;BuShips 1940 Destroyer Blueprint;;;;;;;;;;;;;x
USA_destroyer_class_4;BuShips 1942 Destroyer Blueprint;;;;;;;;;;;;;x
USA_destroyer_class_5;BuShips 1944 Destroyer Blueprint;;;;;;;;;;;;;x
USA_destroyer_class_6;BuShips 1946 Destroyer Blueprint;;;;;;;;;;;;;x
USA_destroyer_class_7;BuShips 1948 Destroyer Blueprint;;;;;;;;;;;;;x
USA_destroyer_class_8;BuShips 1950 Destroyer Blueprint;;;;;;;;;;;;;x
USA_frigate_class_0;;;;;;;;;;;;;;x
USA_frigate_class_1;BuShips 1939 Frigate Blueprint;;;;;;;;;;;;;x
USA_frigate_class_2;BuShips 1940 Frigate Blueprint;;;;;;;;;;;;;x
USA_frigate_class_3;BuShips 1942 Frigate Blueprint;;;;;;;;;;;;;x
USA_frigate_class_4;BuShips 1944 Frigate Blueprint;;;;;;;;;;;;;x
USA_frigate_class_5;BuShips 1946 Frigate Blueprint;;;;;;;;;;;;;x
USA_frigate_class_6;BuShips 1948 Frigate Blueprint;;;;;;;;;;;;;x
USA_frigate_class_7;BuShips 1950 Frigate Blueprint;;;;;;;;;;;;;x
USA_torpedo_boat_class_0;;;;;;;;;;;;;;x
USA_torpedo_boat_class_1;BuShips 1918 Torpedo Boat Blueprint;;;;;;;;;;;;;x
USA_torpedo_boat_class_2;BuShips 1932 Torpedo Boat Blueprint;;;;;;;;;;;;;x
USA_torpedo_boat_class_3;BuShips 1934 Torpedo Boat Blueprint;;;;;;;;;;;;;x
USA_torpedo_boat_class_4;BuShips 1936 Torpedo Boat Blueprint;;;;;;;;;;;;;x
USA_torpedo_boat_class_5;BuShips 1938 Torpedo Boat Blueprint;;;;;;;;;;;;;x
USA_torpedo_boat_class_6;BuShips 1940 Torpedo Boat Blueprint;;;;;;;;;;;;;x
USA_torpedo_boat_class_7;BuShips 1942 Torpedo Boat Blueprint;;;;;;;;;;;;;x
USA_torpedo_boat_class_8;BuShips 1944 Torpedo Boat Blueprint;;;;;;;;;;;;;x
USA_torpedo_boat_class_9;BuShips 1946 Torpedo Boat Blueprint;;;;;;;;;;;;;x
USA_torpedo_boat_class_10;BuShips 1948 Torpedo Boat Blueprint;;;;;;;;;;;;;x
USA_torpedo_boat_class_11;BuShips 1950 Torpedo Boat Blueprint;;;;;;;;;;;;;x
USA_motor_torpedo_boat_class_0;;;;;;;;;;;;;;x
USA_motor_torpedo_boat_class_1;BuShips 1918 MTB Blueprint;;;;;;;;;;;;;x
USA_motor_torpedo_boat_class_2;BuShips 1932 MTB Blueprint;;;;;;;;;;;;;x
USA_motor_torpedo_boat_class_3;BuShips 1934 MTB Blueprint;;;;;;;;;;;;;x
USA_motor_torpedo_boat_class_4;BuShips 1936 MTB Blueprint;;;;;;;;;;;;;x
USA_motor_torpedo_boat_class_5;BuShips 1938 MTB Blueprint;;;;;;;;;;;;;x
USA_motor_torpedo_boat_class_6;BuShips 1940 MTB Blueprint;;;;;;;;;;;;;x
USA_motor_torpedo_boat_class_7;BuShips 1942 MTB Blueprint;;;;;;;;;;;;;x
USA_motor_torpedo_boat_class_8;BuShips 1944 MTB Blueprint;;;;;;;;;;;;;x
USA_motor_torpedo_boat_class_9;BuShips 1946 MTB Blueprint;;;;;;;;;;;;;x
USA_motor_torpedo_boat_class_10;BuShips 1948 MTB Blueprint;;;;;;;;;;;;;x
USA_motor_torpedo_boat_class_11;BuShips 1950 MTB Blueprint;;;;;;;;;;;;;x
USA_light_naval_guns_0;;;;;;;;;;;;;;;x
USA_light_naval_guns_1;4x 4-inch/50 Mk 9, single open pedestal;;;;;;;;;;;;;;x
USA_light_naval_guns_2;5x 5-inch/38 Mk 12, single open pedestal;;;;;;;;;;;;;;x
USA_light_naval_guns_3;8x 5-inch/38 Mk 12, Mk 22 mounts;;;;;;;;;;;;;;x
USA_light_naval_guns_4;5x 5-inch/38 Mk 12, single open pedestal;;;;;;;;;;;;;;x
USA_light_naval_guns_5;4x 5-inch/38 Mk 12, single open pedestal;;;;;;;;;;;;;;x
USA_light_naval_guns_6;5x 5-inch/38 Mk 12, single open pedestal;;;;;;;;;;;;;;x
USA_light_naval_guns_7;5x 5-inch/38 Mk 12, single open pedestal;;;;;;;;;;;;;;x
USA_light_naval_guns_8;5x 5-inch/38 Mk 12, single open pedestal;;;;;;;;;;;;;;x
USA_light_naval_guns_9;6x 5-inch/38 Mk 12, Mk 38 mounts;;;;;;;;;;;;;;x
USA_light_naval_guns_10;6x 5-inch/38 Mk 12, Mk 38 mounts;;;;;;;;;;;;;;x
USA_light_naval_guns_11;2x 5-inch/54 Mk 42, Mk 42 mounts;;;;;;;;;;;;;;x
USA_light_naval_guns_12;2x 5-inch/54 Mk 44, Mk 42 mounts;;;;;;;;;;;;;;x
USA_light_warship_engine_0;;;;;;;;;;;;;;;x
USA_light_warship_engine_1;27.000 shp;;;;;;;;;;;;;;x
USA_light_warship_engine_2;42.800 shp;;;;;;;;;;;;;;x
USA_light_warship_engine_3;49.000 shp;;;;;;;;;;;;;;x
USA_light_warship_engine_4;50.000 shp;;;;;;;;;;;;;;x
USA_light_warship_engine_5;52.000 shp;;;;;;;;;;;;;;x
USA_light_warship_engine_6;54.000 shp;;;;;;;;;;;;;;x
USA_light_warship_engine_7;55.000 shp;;;;;;;;;;;;;;x
USA_light_warship_engine_8;60.000 shp;;;;;;;;;;;;;;x
USA_light_warship_engine_9;62.000 shp;;;;;;;;;;;;;;x
USA_light_warship_engine_10;65.000 shp;;;;;;;;;;;;;;x
USA_light_warship_engine_11;100.000 shp;;;;;;;;;;;;;;x
USA_light_warship_engine_12;110.000 shp;;;;;;;;;;;;;;x
USA_light_warship_screws_rudder_optimisation_0;;;;;;;;;;;;;;;x
USA_light_warship_screws_rudder_optimisation_1;4-Blade Bronze, 3.2m/Balanced Steel 3.2m;;;;;;;;;;;;;;x
USA_light_warship_screws_rudder_optimisation_2;4-Blade Bronze, 3.3m/Balanced Steel 3.3m;;;;;;;;;;;;;;x
USA_light_warship_screws_rudder_optimisation_3;4-Blade Bronze, 3.4m/Balanced Steel 3.4m;;;;;;;;;;;;;;x
USA_light_warship_screws_rudder_optimisation_4;4-Blade Bronze, 3.5m/Balanced Steel 3.5m;;;;;;;;;;;;;;x
USA_light_warship_screws_rudder_optimisation_5;4-Blade Bronze, 3.6m/Balanced Steel 3.6m;;;;;;;;;;;;;;x
USA_light_warship_screws_rudder_optimisation_6;4-Blade Bronze, 3.66m/Balanced Steel 3.66m;;;;;;;;;;;;;;x
USA_light_warship_screws_rudder_optimisation_7;5-Blade Bronze, 3.81m/Balanced Steel 4.57m;;;;;;;;;;;;;;x
USA_light_warship_screws_rudder_optimisation_8;5-Blade Bronze, 4.57m/Balanced Steel 4.57m;;;;;;;;;;;;;;x
USA_hydrophone_dev_0;;;;;;;;;;;;;;;x
USA_hydrophone_dev_1;C-tube;;;;;;;;;;;;;;x
USA_hydrophone_dev_2;QC sonar;;;;;;;;;;;;;;x
USA_hydrophone_dev_3;QB sonar;;;;;;;;;;;;;;x
USA_hydrophone_dev_4;JK sonar;;;;;;;;;;;;;;x
USA_hydrophone_dev_5;JK-1 / QGB;;;;;;;;;;;;;;x
USA_hydrophone_dev_6;QCJ;;;;;;;;;;;;;;x
USA_hydrophone_dev_7;QHB;;;;;;;;;;;;;;x
USA_hydrophone_dev_8;QHB-A;;;;;;;;;;;;;;x
USA_hydrophone_dev_9;QHB-B;;;;;;;;;;;;;;x
USA_hydrophone_dev_10;QHB-C;;;;;;;;;;;;;;x
USA_hydrophone_dev_11;QHB-D;;;;;;;;;;;;;;x
