# Models;;;;;;;;;;;;;;x
USA_super_heavy_battleship_0;Montana-Class;;;;;;;;;;;;;x
USA_super_heavy_battleship_1;Montana-Class;;;;;;;;;;;;;x
USA_super_heavy_battleship_2;Montana-Class;;;;;;;;;;;;;x
USA_super_heavy_battleship_3;Montana-Class;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
USA_battleship_0;Nevada-Class;;;;;;;;;;;;;x
USA_battleship_1;New Mexico-Class;;;;;;;;;;;;;x
USA_battleship_2;Tennessee-Class;;;;;;;;;;;;;x
USA_battleship_3;Colorado-Class;;;;;;;;;;;;;x
USA_battleship_4;North Carolina/South Dakota-Class;;;;;;;;;;;;;x
USA_battleship_5;Iowa-Class;;;;;;;;;;;;;x
USA_battleship_6;Iowa II-Class;;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
USA_command_battleship_0;Nevada-Class;;;;;;;;;;;;;x
USA_command_battleship_1;New Mexico-Class;;;;;;;;;;;;;x
USA_command_battleship_2;Tennessee-Class;;;;;;;;;;;;;x
USA_command_battleship_3;Colorado-Class;;;;;;;;;;;;;x
USA_command_battleship_4;North Carolina/South Dakota-Class;;;;;;;;;;;;;x
USA_command_battleship_5;Iowa-Class;;;;;;;;;;;;;x
USA_command_battleship_6;Iowa II-Class;;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
USA_battlecruiser_0;Lexington-Class;;;;;;;;;;;;;x
USA_battlecruiser_1;Lexington-Class;;;;;;;;;;;;;x
USA_battlecruiser_2;Lexington-Class;;;;;;;;;;;;;x
USA_battlecruiser_3;Lexington-Class;;;;;;;;;;;;;x
USA_battlecruiser_4;Alaska-Class;;;;;;;;;;;;;x
USA_battlecruiser_5;Alaska-Class;;;;;;;;;;;;;x
USA_battlecruiser_6;Alaska-Class;;;;;;;;;;;;;x
USA_battlecruiser_7;Alaska-Class;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
USA_heavy_cruiser_0;Pensacola-Class;;;;;;;;;;;;;x
USA_heavy_cruiser_1;Northampton-Class;;;;;;;;;;;;;x
USA_heavy_cruiser_2;Portland-Class;;;;;;;;;;;;;x
USA_heavy_cruiser_3;New Orleans-Class;;;;;;;;;;;;;x
USA_heavy_cruiser_4;Wichita-Class;;;;;;;;;;;;;x
USA_heavy_cruiser_5;Baltimore-Class;;;;;;;;;;;;;x
USA_heavy_cruiser_6;Oregon City-Class;;;;;;;;;;;;;x
USA_heavy_cruiser_7;Des Moines-Class;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
USA_light_cruiser_0;Omaha-Class;;;;;;;;;;;;;x
USA_light_cruiser_1;Omaha-Class;;;;;;;;;;;;;x
USA_light_cruiser_2;Brooklyn-Class;;;;;;;;;;;;;x
USA_light_cruiser_3;St. Louis-Class;;;;;;;;;;;;;x
USA_light_cruiser_4;Cleveland-Class;;;;;;;;;;;;;x
USA_light_cruiser_5;Fargo-Class;;;;;;;;;;;;;x
USA_light_cruiser_6;Worcester-Class;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
USA_anti_air_cruiser_1;Atlanta-Class;;;;;;;;;;;;;x
USA_anti_air_cruiser_2;Oakland-Class;;;;;;;;;;;;;x
USA_anti_air_cruiser_3;Juneau-Class;;;;;;;;;;;;;x
USA_anti_air_cruiser_4;Worcester-Class;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
USA_destroyer_0;Caldwell-class;;;;;;;;;;;;;x
USA_destroyer_1;Clemson-Class;;;;;;;;;;;;;x
USA_destroyer_2;Farragut-Class;;;;;;;;;;;;x
USA_destroyer_3;Porter-Class;;;;;;;;;;;;;x
USA_destroyer_4;Mahan-Class;;;;;;;;;;;;;x
USA_destroyer_5;Benham-Class;;;;;;;;;;;;;x
USA_destroyer_6;Sims-Class;;;;;;;;;;;;;x
USA_destroyer_7;Gleaves-Class;;;;;;;;;;;;;x
USA_destroyer_8;Fletcher-Class;;;;;;;;;;;;;x
USA_destroyer_9;Sumner-Class;;;;;;;;;;;;;x
USA_destroyer_10;Gearing-Class;;;;;;;;;;;;;x
USA_destroyer_11;Mitsher-Class;;;;;;;;;;;;;x
USA_destroyer_actual_0;Caldwell-class;;;;;;;;;;;;;x
USA_destroyer_actual_1;Clemson-Class;;;;;;;;;;;;;x
USA_destroyer_actual_2;Farragut-Class;;;;;;;;;;;;x
USA_destroyer_actual_3;Porter-Class;;;;;;;;;;;;;x
USA_destroyer_actual_4;Mahan-Class;;;;;;;;;;;;;x
USA_destroyer_actual_5;Benham-Class;;;;;;;;;;;;;x
USA_destroyer_actual_6;Sims-Class;;;;;;;;;;;;;x
USA_destroyer_actual_7;Gleaves-Class;;;;;;;;;;;;;x
USA_destroyer_actual_8;Fletcher-Class;;;;;;;;;;;;;x
USA_destroyer_actual_9;Sumner-Class;;;;;;;;;;;;;x
USA_destroyer_actual_10;Gearing-Class;;;;;;;;;;;;;x
USA_destroyer_actual_11;Mitsher-Class;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
USA_frigate_0;Evarts-Class;;;;;;;;;;;;;x
USA_frigate_1;Buckley-Class;;;;;;;;;;;;;x
USA_frigate_2;Tacoma-Class;;;;;;;;;;;;;x
USA_frigate_3;Rudderow-Class;;;;;;;;;;;;;x
USA_frigate_4;J.C.Butler-Class;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
USA_super_carrier_0;United States-Class;;;;;;;;;;;;;x
USA_super_carrier_1;United States-Class;;;;;;;;;;;;;x
USA_super_carrier_2;Forrestal-Class;;;;;;;;;;;;;x
USA_super_carrier_3;Forrestal-Class;;;;;;;;;;;;;x
USA_super_carrier_4;Forrestal-Class;;;;;;;;;;;;;x
USA_super_carrier_5;Forrestal-Class;;;;;;;;;;;;;x
USA_super_carrier_6;Forrestal-Class;;;;;;;;;;;;;x
USA_super_carrier_7;Forrestal-Class;;;;;;;;;;;;;x
USA_super_carrier_8;Forrestal-Class;;;;;;;;;;;;;x
