######## SS ########;;;;;;;;;;;;;;x
EVTNAME94060;SS-Standarte 'Der Fuhrer';;;;;;;;;;;;;x
EVTDESC94060;SS-Standarte Der Fuhrer was formed March 1938 in Vienna as SS-Standarte 3 following the German annexation of Austria. It was made up of Austrian volunteers around a cadre from SS-Standarte Deutschland.  It was renamed SS-Standarte Der Führer at the Parteitag in Nuremberg 1938 when it also received its Deutschland Erwache standard.\n\nThe regiment took part in the occupation of Czechoslovakia and later served as a guard regiment in Prague, as Wach-Regiment des Reichsprotektors von Boehmen und Mähren.;;;;;;;;;;;;;x
GER_SS_Der_Fuhrer.txt; SS-Standarte 'Der Fuhrer'.\n ;;;;;;;;;;;;;x
GER_SS_Div_Reich.txt; SS-Division Das Reich (mot) \n ;;;;;;;;;;;;;x
GER_SS_PzG_DasReich.txt; SS-Panzergrenadier-Division Das Reich \n ;;;;;;;;;;;;;x
## SS Kirkenes Division ###;;;;;;;;;;;;;x
SSKirkenes_decision_title;SS Kirkenes ;;;;;;;;;;;;;x
SSKirkenes_decision_desc;This Decision will trigger an event with a choice to activate a historical unit OOB.;;;;;;;;;;;;;x
GER_SS_Kirkenes.txt;Forming the SS Kampfgruppe Nord\n CO = Standartenführer W. Sacks ;;;;;;;;;;;;;x
## SS Kampfgruppe Nord ###;;;;;;;;;;;;;x
SSKGNord_decision_title;KG Nord ;;;;;;;;;;;;;x
SSKGNord_decision_desc;This Decision will trigger an event with a choice to activate a historical unit OOB.;;;;;;;;;;;;;x
GER_SS_Kampfgruppe_Nord.txt; Forming the SS Kampfgruppe Nord\n CO = SS-Brigadeführer + Generalmajor der Waffen-SS Richard Herrmann \n;;;;;;;;;;;;;x
## SS Division Nord ###;;;;;;;;;;;;;x
SS_Division_Nord_title;Upgrade to the SS Nord Division ! ;;;;;;;;;;;;;x
SS_Division_Nord_desc;The current division will be removed from the map and replaced with the upgraded version either in Berlin or a historical location. ;;;;;;;;;;;;;x
GER_SS_Division_Nord.txt; Forming the SS Division Nord\n CO = SS-Gruppenführer + Generalleutnant der Waffen-SS Karl Demelhuber \n;;;;;;;;;;;;;x
## SS Gebirgs Division Nord ###;;;;;;;;;;;;;x
SS_Gebirgs_Nord_title; Upgrade the SS Nord Division to Gebirgs Division Nord ! ;;;;;;;;;;;;;x
SS_Gebirgs_Nord_desc;The current division will be removed from the map and replaced with the upgraded version either in Berlin or a historical location. ;;;;;;;;;;;;;x
### SS 6. Gebirgsdivision Nord ###;;;;;;;;;;;;;x
SS_6th_Gebirgs_Nord_title;Upgrade the SS Gebigsivision Nord to 6. SS Gebirgsdivision Nord !;;;;;;;;;;;;;x
SS_6th_Gebirgs_Nord_desc;The current division will be removed from the map and replaced with the upgraded version either in Berlin or a historical location. ;;;;;;;;;;;;;x
GER_6_SS_Gebirgs_Div_Nord.txt; Forming the 6. SS Gebirgsdivision Nord\n CO = SS-Brigadeführer + Generalmajor der Waffen-SS Matthias Kleinheisterkamp \n;;;;;;;;;;;;;x
######## additional HQ templates########;;;;;;;;;;;;;;x
Ger_ss_HQ_I.txt; Forming 2x SS-standarte Korps HQ in Bad Tölz \n;;;;;;;;;;;;;x
Ger_ss_HQ_II.txt; Forming 1x SS-standarte Armee HQ and 2 SS-standarte Korps HQ in Braunschweig and Bad Tölz \n;;;;;;;;;;;;;x
Ger_ss_HQ_III.txt; Forming 2x SS-standarte Korps HQ in Braunschweig and Bad Tölz \n;;;;;;;;;;;;;x
Ger_ss_HQ_IV.txt; - 1x SS-standarte Armee HQ and 2x SS-standarte Korps HQ will be formed in Bad Tölz -\n;;;;;;;;;;;;;x
Ger_ss_HQ_V.txt; - 2 SS-standarte Korps HQ will be formed in Braunschweig and Bad Tölz -\n;;;;;;;;;;;;;x
Ger_ss_HQ_VI.txt; - 1 SS-standarte Armee HQ and 2 SS-standarte Korps HQ will be formed in Braunschweig -\n;;;;;;;;;;;;;x
Ger_ss_HQ_VII.txt; - 2 SS-standarte Korps HQ will be formed in Braunschweig and Bad Tölz -\n;;;;;;;;;;;;;x
Ger_ss_HQ_VIII.txt; - 1 SS-standarte Armee HQ and 2 SS-standarte Korps HQ will be formed in Bad Tölz -\n;;;;;;;;;;;;;x
Ger_ss_HQ_IX.txt; - 2 SS-standarte Korps HQ will be formed in Braunschweig and Bad Tölz -\n;;;;;;;;;;;;;x
Ger_ss_HQ_X.txt; - 1 SS-standarte Armee HQ and 2 SS-standarte Korps HQ will be formed in Braunschweig -\n;;;;;;;;;;;;;x
SS_Heimwehr_Danzig.txt; SS-Heimwehr 'Danzig'.\n ;;;;;;;;;;;;;x
SS-Verfugungstruppe.txt; SS-VT Division.\n ;;;;;;;;;;;;;x
zDDPolizei.txt; Polizei Division.\n ;;;;;;;;;;;;;x
zDD-SS-totenkopf-Standarte_7.txt;SS-totenkopf-Standarte 7.;;;;;;;;;;;;;x
zDD-SS-Totenkopf-Standarte_13.txt; SS-Totenkopf-Standarte 13.\n ;;;;;;;;;;;;;x
##############################################;;;;;;;;;;;;;x
####  SS-Panzer-Generalkommando Creation  ####;;;;;;;;;;;;;x
##############################################;;;;;;;;;;;;;x
EVTNAME94063;Himmler Demands a Panzer Force!;;;;;;;;;;;;;x
EVTDESC94063;With the success of the Wehrmacht Panzer formations, Himmler has realised the strategic and propaganda value of having Panzer units in the SS. July 1942 in Bergen, Netherlands the 'SS-Panzer-Generalkommando' was created. The corps served as a skeletal formation, overseeing the reorganization and restructure of Waffen SS combat divisions in the area of Toulon, France. In early February 1943, the corps was ordered to join Generalfeldmarschall Manstein's Army Group South in Ukraine where it was to become known very simply as the "SS Panzer Corps". SS-Gruppenführer Paul Hausser, the ex-commander of the Das Reich Division, was placed in charge of the corps, and was tasked with defending the strategic city of Kharkov.\n\nThis event will trigger an activation event for building SS panzer brigades. There will also be Panzer upgrades of the LSSAH, Das Reich, Totenkopf, and Wiking Divisions.;;;;;;;;;;;;;x
EVTOPTA94063;Gut!;;;;;;;;;;;;;x
EVTDESC48910;SS tank destroyer is a support brigade for the SS Pz and SS PzG divisions. Typically a mix of tank destroyers and assault guns.;;;;;;;;;;;;;x
EVTDESC48944;SS tank destroyer (L) is a support brigade for the early SS Pz and the SS Inf divisions. Only available with the ahistorical choice.;;;;;;;;;;;;;x
GER_SS_panzer_creation.txt;Himmler's Panzers.;;;;;;;;;;;;;x
#EOF#;;;;;;;;;;;;;;x
