######## SOVIET templates########;;;;;;;;;;;;;;x
##############################################;;;;;;;;;;;;;;x
######## HQ ##################################;;;;;;;;;;;;;;x
##############################################;;;;;;;;;;;;;;x
##############################################;;;;;;;;;;;;;;x
######## RED ARMY ########;;;;;;;;;;;;;;x
##############################################;;;;;;;;;;;;;;x
#1aya Moskva Motostrelkovoy Div.;;;;;;;;;;;;;;x
moskva_prol_strelk_div_decision_title;Motorize the Moskva Proletarian Strelk. Div.;;;;;;;;;;;;;x
moskva_prol_strelk_div_decision_desc;This Decision will trigger an event with a choice to activate a historical unit OOB.;;;;;;;;;;;;;x
SOV_1_Moscow_MRD.txt; * Motorize the Moskva Proletarian Strelk. Div.;;;;;;;;;;;;;x
EVTDESC1004;The Division was first formed at Petrograd, November 1918. Fought around Olonets with the 6th and 7th Armies from November 1918 into 1920. Defended the Aleksandrovsk-Melitopol railroad line on the Southern Front in August 1920. Awarded the Order of the Red Banner in October 1920. Reorganized as a brigade of the 15th Rifle Division in November 1920. It was then re-formed either in December 1924 or at the beginning of 1927 in the Moscow Military District, gaining the title of the 1st Moscow Proletariat Red Banner Rifle Division. Pavel Batov was a battalion and then regiment commander in the Division in the late 1920s. In August 1939 it raised cadres for 115th and 126th Rifle Divisions. It was re-raised from its single remaining regiment in Sept 1939 (2nd formation), but in January 1940 formed the 1st Moscow Motor Rifle Division. On 22 June 1941 it was part of 7th Mechanised Corps, alongside 14th and 18th Tank Divisions in the Moscow Military District, assigned to 20th Army.[2] It was the first Soviet formation to use T-34 tanks at Borisov on June 30, 1941. Fought at Orsha, between Minsk and Moscow, and at Yartsevo in Sep 1941.;;;;;;;;;;;;;x
#1aya Gvardiya Moskva Motostrelkovoy Div.;;;;;;;;;;;;;;x
moskva_gds_mot_rifle_div_decision_title;Rename and reorganize the 1aya Moskva Motostrelkovoy Div.;;;;;;;;;;;;;x
moskva_gds_mot_rifle_div_decision_desc;This Decision will trigger an event with a choice to activate a historical unit OOB.;;;;;;;;;;;;;x
SOV_1_Gds_MRD.txt; * Renaming to the 1aya Gvardiya Moskva Motostrelkovoy Div.;;;;;;;;;;;;;x
EVTDESC1005;The Division was first formed at Petrograd, November 1918. Fought around Olonets with the 6th and 7th Armies from November 1918 into 1920. Defended the Aleksandrovsk-Melitopol railroad line on the Southern Front in August 1920. Awarded the Order of the Red Banner in October 1920. Reorganized as a brigade of the 15th Rifle Division in November 1920. It was then re-formed either in December 1924 or at the beginning of 1927 in the Moscow Military District, gaining the title of the 1st Moscow Proletariat Red Banner Rifle Division. Pavel Batov was a battalion and then regiment commander in the Division in the late 1920s. In August 1939 it raised cadres for 115th and 126th Rifle Divisions. It was re-raised from its single remaining regiment in Sept 1939 (2nd formation), but in January 1940 formed the 1st Moscow Motor Rifle Division. On 22 June 1941 it was part of 7th Mechanised Corps, alongside 14th and 18th Tank Divisions in the Moscow Military District, assigned to 20th Army.[2] It was the first Soviet formation to use T-34 tanks at Borisov on June 30, 1941. Fought at Orsha, between Minsk and Moscow, and at Yartsevo in Sep 1941.\nOn September 21, 1941 it was renamed to the 1st Guards Moscow Motor Rifle Division. Fought at Vyazma, Bryansk, and Rzhev. On November 1, 1942 it was part of 20th Army, Western Front. After the Rzhev-Sychevka offensive operation in 1942 it was renamed (again) as the 1st Guards Rifle Division in January 1943. In 1943 the division saw action in the Oryol, Bryansk and Gorodok offensives. Later it fought in Byelorussia, Gumbinnen, East Prussia, and Kurland. Awarded 'Minsk' honorific in July 1944. It was part of the 11th Guards Army of the 3rd ssian Front in May 1945.;;;;;;;;;;;;;x
#36aya Strelk. Div. 'Transbaikalskaya';;;;;;;;;;;;;;x
36_rifle_div_decision_title;Motorize the 36aya Strelk. Div. 'Transbaikalskaya';;;;;;;;;;;;;x
36_rifle_div_decision_desc;This Decision will trigger an event with a choice to activate a historical unit OOB.;;;;;;;;;;;;;x
SOV_36_MRD.txt; * Motorize to the 36aya Motostrelkovoy Div. 'Transbaikalskaya';;;;;;;;;;;;;x
EVTDESC1006;Motorization of the 36aya Strelk. Div. 'Transbaikalskaya' into the 36aya Motostrelkovoy Div. 'Transbaikalskaya'. Stationed near the town Chita in the Far Eastern region.;;;;;;;;;;;;;x
EVTDESC49015;The first T-35s formed the 5th Separate Heavy Tank Brigade in Moscow, and paraded on May, 1st, 1936 on the Red Square. They apparently did not participate in the border wars in Mongolia, the invasion of Poland or the Winter War. By June 1940, they were seen as nearly obsolete and costly to operate, and the question was raised of their demobilization, conversion, or assignation to military academies. They were eventually transferred to the 8th Mechanized Corp in the Kiev district (Ukraine), into the 67th and 68th Tank Regiments of the 34th Tank Division. In the summer of 1941, 90% of these tanks were lost due to mechanical breakdowns, lack of maintenance, fuel, and #often sabotaged by their crews abandoning them. These figures can be explained by its sheer size and the fact it was overweight for its engine and transmission (similar to the T-28). A few surviving vehicles were recorded during the battle of Moscow during the winter 1941-42.;;;;;;;;;;;;;x
### 1st Mechanised Corps ###;;;;;;;;;;;;;x
1stMechold_decision_title;Form the 1st Mechanised Corps;;;;;;;;;;;;;x
1stMechold_decision_desc;This Decision will trigger an event with a choice to activate a historical unit OOB.;;;;;;;;;;;;;x
EVTDESC500301;After the success of German armor formations in France, the People's Commissariat of Defence (NKO) ordered the formation of new mechanised corps. The first nine of these were formed from summer 1940 to January 1941.\n\nHistorically, the 1st Mechanised Corps was stationed in Pskov as part of the Northwestern Front at the outbreak of the Soviet-German war, it suffered heavy losses and was disbanded in early August.;;;;;;;;;;;;;x
### 2nd Mechanised Corps ###;;;;;;;;;;;;;x
2ndMechold_decision_title;Form the 2nd Mechanised Corps;;;;;;;;;;;;;x
2ndMechold_decision_desc;This Decision will trigger an event with a choice to activate a historical unit OOB.;;;;;;;;;;;;;x
