## Soviet Decisions and Events Descriptions ##;;;;;;;;;;;;;;x
##############################################;;;;;;;;;;;;;;x
##############################################;;;;;;;;;;;;;;x
#Red Army Upgrades before GPW.;;;;;;;;;;;;;;x
Historical_upgrades_decision_title;Red Army historical formations and upgrades.;;;;;;;;;;;;;;x
Historical_upgrades_decision_desc;This decision will give you access to historical units for the Red Army.;;;;;;;;;;;;;;x
EVTDESC11000;This decision will give you access to historical units for the Red Army. Events will spawn motorized, mechanized and armored units, including Guards formations after September 1941.\n\n§REach event will spawn an OOB on the map at a lower cost in IC and resources, especially if it's involved in an upgrade process.\nKeep in mind that not taking some events could compromise a later upgrade.§W;;;;;;;;;;;;;x
strategic_command_decision_title;Forming the Longe Range Air Command.;;;;;;;;;;;;;x
strategic_command_decision_desc;This decision will give access to some Red Airforce units.;;;;;;;;;;;;;x
EVTDESC11001;The first three Air Armies, designated 'Air Armies of Special Purpose' were created between 1936 and 1938. The 1st was created on March 1st 1936, the 2nd Air Army was created on March 15th 1937 in the Far East. Somewhat later, the 3rd Air Army was created in the North Caucasus Military District. However, air armies were excluded from the organisational reform of the air forces approved on July 25th 1940. On November 5th 1940, the three existing air armies were reformed as the long range bombardment aviation of the Stavka of the Red Army due to poor combat performance during the conflict with Finland.\nYou can manually attach this Command to the Moscow MD theatre, as this is the closest to the Stavka.\n\nFrom May - November 1942, seventeen Air Armies were created from the air forces of the Fronts and Combined Arms Armies, and in December 1944 a long-range aviation Air Army was created as the 18th Air Army. The 1st Air Army was the first created, on May 5th 1942, as part of the Western Front. The next to form during 1942 were the 2nd, 3rd, 4th (May 22nd 1942), 5th, 6th 8th Air Armies (June 1942), 9th/10th/11th/12th (August 1942), 7th and 13th Air Army (November 1942), 14th, 15th, 16th, and 17th Air Armies.;;;;;;;;;;;;;x
#Other Red Army events before GPW.;;;;;;;;;;;;;x
T-35_decision_title;Form the 5th Separate Heavy Tank Brigade.;;;;;;;;;;;;;;x
T-35_decision_desc;This decision will give access to a Red Army unit.;;;;;;;;;;;;;;x
EVTDESC11002;The first T-35s formed the 5th Separate Heavy Tank Brigade in Moscow, and paraded on May 1st 1936 on the Red Square. They apparently did not participate in the border wars in Mongolia, the invasion of Poland or the Winter War. By June 1940, they were seen as nearly obsolete and costly to operate, and the question was raised of their demobilization, conversion, or assignation to military academies. They were eventually transferred to the 8th Mechanized Corps in the Kiev district (Ukraine), into the 67th and 68th Tank Regiments of the 34th Tank Division. In the summer of 1941, 90% of these tanks were lost due to mechanical breakdowns, lack of maintenance, fuel, and often sabotaged by their crews, abandoning them. These figures can be explained by the tank's sheer size and the fact it was overweight for its engine and transmission (similar to the T-28). A few surviving vehicles were recorded during the battle of Moscow during the winter of 1941-42.;;;;;;;;;;;;;x
1938_Railway_guns_decision_title;Build Railway Artillery.;;;;;;;;;;;;;;x
1938_Railway_guns_decision_desc;This decision will give access to a Red Army unit.;;;;;;;;;;;;;;x
EVTDESC11003;The Obukhovskii 12"/52 Pattern 1907 gun was a 12-inch (305 mm), 52-caliber naval gun. Mounted aboard battleships of the Imperial Russian Navy and later the Soviet Navy during both world wars, it was later modified by the Soviets and employed as coastal artillery and as a railway gun. \n\nThree railway guns were built, using guns from the sunken battleship Imperatritsa Mariya, which had been lost to a magazine explosion in Sevastopol harbor in October 1916. They were used in the Soviet-Finnish war in 1939-1940.;;;;;;;;;;;;;;x
109RD_decision_title;Form the 109th Rifle Division.;;;;;;;;;;;;;x
109RD_decision_desc;This decision will give you access to a Red Army unit.;;;;;;;;;;;;;;x
EVTDESC11004;109th Rifle Division was raised in Tatarsk (Siberian Military District) in April 1939. The division was motorized in 1940 and used to build the 5th Mechanized Corps, stationed in Chiita.;;;;;;;;;;;;;x
Rifle_Divisions_1939_decision_title;Rifle Divisions raised in September 1939.;;;;;;;;;;;;;x
Rifle_Divisions_1939_decision_desc;This decision will give you access to some Rifle Divisions.;;;;;;;;;;;;;;x
EVTDESC11005;In early September 1939, the Soviet Union raised new Rifle Divisions in accordance with the developing war situation. §RThis decision will give you access to some divisions that were later used to form Mechanized Corps so don't skip them if you want to get these formations§b.\n\nThe 103rd Rifle Division was raised in Voroshilovsk and was converted into a motorized division within the 26th Mechanized Corps.\nThe 131st Rifle Division was raised in Nezhin (Siberian Military District) in September 1939. The division was engaged in Poland, Finland and Bessarabia before being used to form K. Rokossovsky's 9th Mechanized Corps.\nThe 146th Rifle Division was raised in August 1939 in the Kiev Military District (KVO). It took part in the invasion of Poland and Bessarabia. In March 1941, it was used to make the 9th Tank Division from the 27th Mechanized Corps (1941). \nThe 163rd Rifle Division was raised in August 1939 in Tula. It took part in the Winter War as a reinforced rifle division and was almost destroyed during the battle of Suomussalmi. Remnants of the units were removed to Novgorod and used to make a motorized division, assigned to the 1st Mechanized Corps (1940).\nThe 173rd Rifle Division was raised in Balashov (Volga Military District) in September 1939. The division was motorized in December and participated in the Winter War, before being transferred to Odessa and used to build the 2nd Mechanized Corps.\nThe 185th Rifle Division was raised in Orel in September 1939. It participated in the invasion of Lithuania before being converted to a motorized division, assigned to the 21st Mechanized Corps.;;;;;;;;;;;;;x
Baltics_Annexation_decision_title;Incorporate Baltic Armies.;;;;;;;;;;;;;;x
Baltics_Annexation_decision_desc;This decision will give access to Red Army corps.;;;;;;;;;;;;;;x
EVTDESC11006;With the annexation of the Baltic States in summer 1940, the Red Army incorporated Baltic troops into 3 Territorial Rifle Corps:\n\nThe 22nd Estonian Rifle Territorial Corps was formed on August 17th 1940 in Tallinn.\nThe 24th Latvian Rifle Territorial Corps was formed in July 1940 in Riga.\nThe 29th Lithuanian Rifle Territorial Corps, was formed on August 17th 1940 in Vilnius.\n\nInitially, these units kept part of their equipment and officers, but in the autumn, arrests of soldiers and officers started, as part of the replacement of Baltic people by Russians. Units were not trusted and deployed in the close vicinity of other Soviet units, to avoid desertion. These 3 corps suffered heavy losses and were disbanded after the German invasion of the Baltics. Only the 180th Rifle Division of the 22nd Estonian Territorial Corps perfomed well and became later, in May 1942, the 28th Guards Rifle Division.;;;;;;;;;;;;;;x
Prezidentas_Smetona_decision_title;Presidentas Smetona.;;;;;;;;;;;;;;x
Prezidentas_Smetona_decision_desc;This decision will give access to a Red Fleet unit..;;;;;;;;;;;;;;x
EVTDESC11007;Germany marched into Klaipeda (Memel), Lithuania. The Lithuanian warship Prezidentas Smetona was left without a harbor. The ship soon settled at Latvia's port of Liepaja. In December Ltn. P. Labanauskas was named captain.\n\nIn 1940 Soviet occupiers called for the ship to raise the Soviet flag, but Captain Labanauskas sailed the ship out of Soviet territory. The ship was later handed over to the Soviet Baltic Fleet. On Jan 11th 1945, it hit a mine and sank off the coast of Finland.;;;;;;;;;;;;;x
Hanko_Garrison_decision_title;Form a garrison in Hanko.;;;;;;;;;;;;;;x
Hanko_Garrison_decision_desc;This decision will give access to a Red Army garrison.;;;;;;;;;;;;;;x
