####################################;;;;;;;;;;;;;x
#FRA OOB EVENTS;;;;;;;;;;;;;x
####################################;;;;;;;;;;;;;x
EVTNAME33301;Formation of the 1ère Division d'Infanterie Marocaine;;;;;;;;;;;;;x
EVTDESC33301;1ère Division d'Infanterie Marocaine (colonial infantry from Morocco) was set up at the end of October 1939 upon active regiments stationned in Morocco. It was then transfered to the Metroplitan area and assigned under the 4ème Corps d'Armée (1ère Armée). Its initial commander was general Sylvestre Audet, rapidly replaced by general Albert Mellier when Audet took command of the expeditionary force sent in Norway.1ère DM participated in the action against german advanding armored forces at Gembloux and Lille before withdrawing to Dunkerque.;;;;;;;;;;;;;x
EVTNAME33302;Formation of the 9ème Division d'Infanterie Coloniale;;;;;;;;;;;;;x
EVTDESC33302;9ème Division d'Infanterie Coloniale (colonial infantry) was set up in June 1940 and put under command of general Marcel Pellet when the Battle of France ended. It was then reformed in July 1943 by Free France and belonged to the First French Army of general Jean de Lattre de Tassigny.;;;;;;;;;;;;;x
EVTNAME33303;Formation of the 40ème Division d'Infanterie;;;;;;;;;;;;;x
EVTDESC33303;40ème Division d'Infanterie was set up on May 30th, 1940 by assembling the remnants of two light infantry brigades sent to Norway (1ère DLCh, 2ème DLCh). Despite its name, it was a mountain infantry division. It was placed under the command of general Maurice Durand, former commander of the 2ème DLCh, and assigned to the General High Command as a reserve unit.;;;;;;;;;;;;;x
EVTNAME33304;Formation of the 44ème Division d'Infanterie;;;;;;;;;;;;;x
EVTDESC33304;44ème Division d'Infanterie was set up on March 1st, 1940. Despite its name, most of its regiments were moutain infantry. It was placed under the command of general Robert Boissau and assigned to the 5ème Armée.;;;;;;;;;;;;;x
EVTNAME33305;French Mobilisation - Type B reserve divisions;;;;;;;;;;;;;x
EVTDESC33305;French Army started its mobilisation from August 21st to September 3rd, 1939. From 20 active divisions, it rose to 86 divisions, including new formations and reserve units. Mobilisation happened in three times:\n\nFirst, active divisions were sent to the frontier to counter a possible attack, allowing the reserve divisions to be set up.\nThen, mobilisation centers started to form Type A reserve divisions, by duplication of active divisions. These units have half their strength formed by reservists aged from 20 to 40 years old. Equipments were very similar to active divisions.\nLast, mobilisation centers started to form Type B reserve divisions.\nType B reserve divisions were created from scratch with reservists from 40 to 48 years old. They had a very low percentage of officers from the active army, equiped with outdated armament, lacking of AT-guns. These divisions were not at full strenght (80-85%) and were assigned to garrison, building of farming duties. Although they were not designed to fight on first line, Type B reserve divisions were finally thrown to combat because of the lack of troops to stop german penetrations.\n\n\n§RNote for player: Type A reserve divisions are already in the starting OOB. This event will fire Type B reserve divisions in 2 times.§R;;;;;;;;;;;;;x
EVTNAME33306;French Type-B reserve divisions for TONE;;;;;;;;;;;;;x
EVTDESC33306;16 Type-B reserve divisions were assigned to Théâtre d'Opérations du Nord-Est (TONE - North Est Theatre of Operations) against Germany. All were infantry divisions with a standard metropolitan composition.\n\n §RNote for player: you will receive these divisions on map, at 20% strength, no organisation and will have to reinforce and attached them to HQs.§B\n 51ème DI > 24ème Corps d'Armée (3ème Armée)\n 52ème DI > 30ème Corps d'Armée (4ème Armée)\n 53ème DI > 9ème Armée\n 54ème DI > 13ème Corps d'Armée (8ème Armée)\n 55ème DI > 10ème Corps d'Armée (2ème Armée)\n 56ème DI > Corps d'Armée colonial (3ème Armée)\n 57ème DI > 45ème CAF (6ème Armée)\n 58ème DI > 42ème CAF (3ème Armée)\n 60ème DI > 7ème Armée\n 61ème DI > 41ème CAF (9ème Armée)\n 62ème DI > 45ème CAF (6ème Armée)\n 67ème DI > 44ème CAF (8ème Armée)\n 68ème DI > attached to Amiral Nord (Marine HQ in Dunkerque)\n 70ème DI > 12ème Corps d'Armée (5ème Armée)\n 71ème DI > 2ème Armée;;;;;;;;;;;;;x
EVTNAME33307;French Type-B reserve divisions for TOSE;;;;;;;;;;;;;x
EVTDESC33307;Type-B reserve divisions were assigned to Théâtre d'Opérations du Sud-Est (TOSE - South Est Theatre of Operations) against a possible italian attack through the Alps. All were mountain divisions with a standard metropolitan composition.\n\n§RNote for player: you will receive these divisions on map, at 20% strength, no organisation and will have to reinforce and attached them to HQs.§B\n64ème DIAlp > 14th Army Corps (Army of the Alps)\n65ème DIAlp > 15th Army Corps (Army of the Alps)\n66ème DIAlp > 14th Army Corps (Army of the Alps);;;;;;;;;;;;;x
EVTNAME33308;Formation of Divisions Légères de Cavalerie (DLC - Cavalry Light Divisions);;;;;;;;;;;;;x
EVTDESC33308;In November 1939, French High Command decide to transform its three remaining Cavalry Divisions into five lighter divisions (Divisions Légères de Cavalerie) in order to delay ennemy advancing troops. Former Cavalry Divisions from type 1932, partially motorised, consisted in two cavalry brigades each with two regiments, and were supported by motorized troops: one artillery regiment, one motorized infantry battalion, one armored car regiment.\nResulting from this composition, different manoeuvre speeds (8 km/h and 30 km/h respectively) and supply requirements made the 'Divisions de Cavalerie' unwieldy units, derisively nicknamed 'pétrole-picotin' (oil and oats) or 'crottin et cambouis' (horse dung and dirty grease) divisions.\nThe newly formed DLC (early February 1940) were supposed to be more efficient, organized into two different parts grouping cavalry elements on one side and motorized troops on the other. Each division had a theoric total of 16 Panhard 178 armored cars, 22 Renault 35-ZT armored cars and 16 H35 light support tanks.\n\n1ère Division de Cavalerie was transformed into 1ère DLC and 1ère Brigade de Cavalerie\n2ème Division de Cavalerie was transformed into 2ème DLC and 4ème DLC\n3ème Division de Cavalerie was transformed into 3ème DLC and 5ème DLC\nOn March 1940, remaining cavalry regiments stationned in Africa were merged to form the 6ème DLC.;;;;;;;;;;;;;x
EVTNAME33309;Formation of the 1ère Division Légère de Cavalerie (DLC);;;;;;;;;;;;;x
EVTDESC33309;1ère DLC was formed form the structure of 1ère Division de Cavalerie (DC) on February 10th, 1940. It was assigned to 9ème Armée in Saint-Mihiel and placed under the command of general Jacques Marie Toussaint d'Arras, commander of the former division.\nRemaining troops were used to build the 1ère Brigade de Cavalerie assigned to the 2ème Armée.\nIn May 1940, 1ère DLC participated in the delaying actions in the Ardenne. After 10 days of combat, the division was almost destroyed and its remnants are used to form the 4ème DLM.;;;;;;;;;;;;;x
EVTNAME33310;Formation of 2ème DLC and 4ème DLC;;;;;;;;;;;;;x
EVTDESC33310;Both divisions were set up from the former 2ème Division de Cavalerie on February 10th, 1940. 2ème DLC was formed in Montmédy, under the command of general André Berniquet and assigned to the 2ème Armée. The division also participated in the delaying manoeuver in the Ardenne, fighting in Sedan. Then it was involved in De Gaulle’s counterattack on Abbeville. Placed in defensive stance along the Somme, the division was trapped and destroyed near Saint-Valéry-de-Caux.\n4ème DLC was formed in Vitry-le-François and assigned to the 9ème Armée, like the 1ère DLC. Its commander was general Paul Louis Arthur Barbe, KIA on May 15th, 1940. In June, as the division was almost destroyed, its remnants were used to form the 7ème DLM.;;;;;;;;;;;;;x
EVTNAME33311;Formation of 3ème DLC and 5ème DLC;;;;;;;;;;;;;x
EVTDESC33311;Both divisions were set up from the former 3ème Division de Cavalerie on February 10th, 1940. 3ème DLC was formed in Longwy under the command of general Robert Petiet and assigned to 3ème Armée. The division was assigned delaying actions in Luxembourg and set up defenses along the Somme and the Seine.\n5ème DLC was formed in Saint Menehould on February 25th, 1940 and attached to the 2ème Armée. Its commander was general Marie Jacques Henri Chanoine and fought alongside 2ème DLC and 1ère Brigade de Cavalerie until its complete destruction near Saint-Valéry-de-Caux.;;;;;;;;;;;;;x
EVTNAME33312;Formation of 6ème Division Legere de Cavalerie in North Africa;;;;;;;;;;;;;x
EVTDESC33312;6ème DLC was created on March 1st, 1940 in Algeria by assembling various cavalry regiments stationned there. This division was commanded by general Denis Marie Joseph Félix Clouet de Pesruches and assigned in June to South Tunisian Front to prevent a attack from Italian forces stationned in Libya.;;;;;;;;;;;;;x
EVTNAME33313;Formation of Divisions Légères Mécaniques (DLM);;;;;;;;;;;;;x
