###############################;;;;;;;;;;;;;x
#ITA NEW EVENTS by Herve75;;;;;;;;;;;;;x
###############################;;;;;;;;;;;;;x
EVTNAME33401;Send the 7a Divisione CC. NN. "Cirene" in Africa.;;;;;;;;;;;;;x
EVTDESC33401;The Blackshirts division ‘Cirene’ was created in April 1936 to be sent in Abyssinia. It was the seventh division sized unit raised by the MSVN to conduct military operations. The division was above 14.000 men strength, including 8 regiments of ''Camicie Nere' and various support units. Its commander war general Guido Scandolara, a mountain fighter and highly decorated officier of the Great War. Finally, the division was kept in reserve in Libya in the event of a conflict with United Kingdom in Egypt.;;;;;;;;;;;;;x
EVTNAME33402;Milizia Volontaria per la Sicurezza Nazionale (MVSN).;;;;;;;;;;;;;x
EVTDESC33402;MVSN or "Camicie Nere" was created on in February 1923. It was the military organised police corps of the fascist State, based upon the former "Squadre d'Azione", the paramilitary force that brought Mussolini to power. Its first commander was Italo Balbo (1924) and rapidly the force was put under the direct control of Benito Mussolini (1926-1943).\nThe MVSN rose up to 111 "Legioni" (Regiment sized units), using 17 to 50 years old men and was divided in various and specialized branches:\n- "Milizia Ordinaria", including "Milizia Coloniale", "Milizia Confinaria" (Border Guards) and "Milizia Universitaria"\n- "Milizia Forestale" (Forest Guards)\n- "Milizia Stradale" (Urban Police)\n- "Milizia Ferroviaria" (protecting railway stations)\n- "Milizia Portularia" (protecting harbours)\n\nIn 1930 was created the "Milizia per la Difesa Controaerea" (DICat), protecting essential cities of Italy with AA guns. Another branch from the DICat the "Milizia Maritima" (MilMart) was created in 1935 and put in charge of the coastal defense, the Regio Esercito being relieved of this task. From 1934 to the war, the MSVN also raised combat divisions that fought in  Balkans, Russia, Libya, Tunisia and Italy…;;;;;;;;;;;;;x
EVTNAME33403;Comando Truppe di Zara.;;;;;;;;;;;;;x
EVTDESC33403;"Comando Truppe del Presidio di Zara" was created on Janary, 1st 1936. This garrison force was set up to defend the city and port of Zara, an italian enclave in the Yougoslavian territory.\n\nThe originality of this unit was to merge various types of italian troops: Guardia alla Frontiera, Milizia Voluntaria per la Sicurezza Nazionale, and three different forces from the Regio Esercito – Carabinieri Reali, Bersaglieri and armored troops, including L 5/21 tanks and Lanzia 1ZM armored cars.\nAt the outbreak of hostilities with Yougoslavia in april 1942, the division enter in combat actions, occupying cities of Zaravecchia, Nona, Obrovazzo, Bencovazzo, Scardona and finally Tenin were it made junction with the 2a Armata , especially the 133rd Armored Division "Littorio", capturing 2,200 prisonners. In 1942, this garrison force was reorganised into and occupation force division: 158a Divisione Fanteria "Zara".;;;;;;;;;;;;;x
EVTNAME33404;Form the 158a Divisione Fanteria "Zara".;;;;;;;;;;;;;x
EVTDESC33404;On September 1st 1942, the Zara garrison force was renamed 158a Divisione Fanteria "Zara" and set up as an occupation division for the Italian province of Dalmatia. Its iniatial commander was Carlo Viale, replaced later by Emilio Giglioli. This division is also known to have committed various attrocities and war crimes against Yougoslavian partisans and civilians.;;;;;;;;;;;;;x
EVTNAME33405;65a Divisione Fanteria "Granatieri di Savoia".;;;;;;;;;;;;;x
EVTDESC33405;65a Divisione Fanteria "Granatieri di Savoia" was set up in Ethiopia on October 12th, 1936 and garrisoned in Addis Abeba. Its first commander was general Luigi Perego. The division was assigned to anti-guerilla operations in Ethiopia, before being involved in combat actions against allied troops, particulary in the defensive battle of Cheren. It was finally destroyed on April 20th 1941.;;;;;;;;;;;;;x
EVTNAME33406;Ordinamento Baistrocchi.;;;;;;;;;;;;;x
EVTDESC33406;Federico Baistrocchi (1871-1947) was appointed as Chief of the Army General Staff in October 1st 1934. Highly decorated artillery officer of the Great War, Baistrocchi supported the fascist movement in Naples and assured Mussolini his troops won't intervene against him. He was elected three times (in 1924, 1929 and 1934) as Deputy for the PNF. Supporter of the fascist power, he made a rapid military ascension, becoming in July 1933 Undersecretary of State for the Ministry of War, held by Mussolini himself, before becoming Chief of Staff of the Royal Army from October 1st, 1934 to October 7th, 1936. \nBaistrocchi issued on November 14th, 1933 the so-called "Ordinamento Baistrocchi" (Baistrocchi's reform), a deep reform of the Italian Army. This reform focused on modernisation of weapons, motorisation and mechanization of troops, dividing forces between standing and defensive ones like the Guardia alla Frontiera. Baistrocchi organized the logistical warfare in Ethiopia and favorise the constitution of MVSN divisions for the war.\n\nBaistrocchi's program, perhaps too ambitious, was only partially implemented.;;;;;;;;;;;;;x
EVTNAME33407;Appoint Alberto Pariani as Chief of General Staff.;;;;;;;;;;;;;x
EVTDESC33407;In october 1936, germanophile Alberto Pariani (1876-1955) replaced Federico Baistrocchi as Chief of the Army General Staff and Undersecretary of War, after Baistrocchi's "promotion", motivated by a conflict with Marshall Pietro Badoglio and different political views in the involvment of Italian troops in the Spanish Civil War. Pariani fought WW1 and occupied various fonctions as military attaché in Albania, general commander of the 18a Divisione 'Brennero' and Deputy Chief of General Staff from 1934 to 1936. He was defending the concept of "Guerra di rapido corso" (war of mobility) like other generals from different countires: Basil Liddell-Hart, Heinz Guderian, Mikhaïl Toukhatchevky or Charles de Gaulle... Pariani led a deep reform of the Italian Army, based on the field experiences in Ethiopia and Spain.;;;;;;;;;;;;;x
EVTNAME33408;Ordinamento Pariani.;;;;;;;;;;;;;x
EVTDESC33408;By Decreto n° 2095 of December 22nd, 1938 (called "Ordinamento Pariani") all infantry divisions of the Regio Esercito were set on a new standard: one of the three infantry regiment was removed and replaced by one 81 mm mortar battalion, one At-company and one anti-aircraft battery. These binary divisions, thought to be more able to act rapidly were tested during the greats manœuvers of summer 1937 and 1938. Mussolini was not convincted by this reform but finally accept Pariani's proposal, which was increasing the total number of divisions of the Army from 31 to 51 Infantry Divisions along the new semi-motorized, motorized and armored divisions created. To compensate the lack of power, each division was assigned a battalion and then a brigade of MVSN Blackshirts.\n\n§RNote for player: this event will lock the technology that allows increasing brigade size.§B;;;;;;;;;;;;x
EVTNAME33409;Pietro Badoglio's warning.;;;;;;;;;;;;;x
EVTDESC33409;Alberto Pariani was suddenly removed as Undersercretary of War on November 13th, 1939 by Mussolini for not being equal to the challenge. He was replaced by Rodolfo Graziani, one of Mussolini favorite maschalls. Pariani's reform is frequently used to explain the Italian defeats in WW2, turning all divisions to something unfitted for a long fight. In fact, the main issue remained the lack of  motor vehicules, updated tanks, anti-aircraft and antitank weapons because italian industry was unable to produce the required equipments. Removing Pariani's couldn't change the global situation and in early 1940, the Regio Esercito was not ready for war. Field Marshall Pietro Badoglio send a letter to Mussolini on April, 9th 1940 to warn him about the risks of entering in war alongside Germany. He underlined the lack of available artillery, anti-aicraft guns and effective antitank guns as the Army was using the 47/32 AT gun, only effective at close range. A significant amount of equipment had been lost in Ethiopia and Spain. Badoglio estimated that the global efficiency of the army was at 40%.;;;;;;;;;;;;;x
EVTNAME33410;Creation of the "Guardia alla Frontiera".;;;;;;;;;;;;;x
EVTDESC33410;The "Guardia alla Frontiera" (G.A.F.), was an Italian Army Border Guard created in 1937 who defended the 1.851 km of northern Italian frontiers with the so-called "Vallo Alpino Occidentale" (487 km with France), "Vallo Alpino Settentrionale" (724 km with Switzerland and 420 km with Austria) and "Vallo Alpino Orientale" (220 km with Yugoslavia).\nIn 1940 the G.A.F. had 21,000 military personnel, deployed in eight commands, 27 sectors and equipped with 7 artillery regiments. It manned 1,000 fortifications, 6,000 machine guns, 1,000 mortars, 100 Cannone da 47/32 M35, and another thousand other heavy, medium and small-caliber guns (from 149 to 75mm). By 10 June 1940 - Italy's entry into the war - the G.A.F. contained 23 sectors, 50,000 men, 28 battalions "Vallo Alpino", 22 battalions of fascist militia.\nDespite the G.A.F. was a body predominantly static type, its dependencies were also made of five light tank companies, equipped with Fiat 3000 that over time, due to their age and lack of spare parts, ended largely abandoned in Sector armories or buried in order to use the turrets as a fort.;;;;;;;;;;;;;x
EVTNAME33411;Additional troops of the Guardia alla Frontiera – "A.S.I";;;;;;;;;;;;;x
EVTDESC33411;In late 1937, the Guardia alla Frontiera extended its forces in Libya to protect the italian colony from attacks initiated from French Tunisia and British Egypt. Two new divisions were created and the key cities of Tobruch and Tripoli also receive some troops and armaments. These troops were later attached to the 5a Armata "Tripolitana" and the 10a Armata "Cirenaica".;;;;;;;;;;;;;x
EVTNAME33412;Italian occupation of Albania.;;;;;;;;;;;;;x
EVTDESC33412;Occupation of Albania was led by the "Corpo di Spedizione Oltra Mare Tirana" (OMT) composed of 23a Divisione Fanteria "Murge", Reggimento di Marina "San Marco", 4 Bersaglieri and 1 Granatieri regiments. This corps receive reinforcements and became lately the XXVI Corpo d'Armata, in charge of the occupation. It was under the command of General Alfredo Guzzoni and later, Sebastiano Visconti Prasca. Alongside Regio Esercito's divisions – 3a Divisione Alpina "Julia", 19a Divisione Fanteria da Montagna "Venezia", 23a Divisione Fanteria "Ferrara", newly formed 53a Divisione Fanteria "Arezzo" and 131a Divisione Corazzata "Centauro" – this occupation corps was composed of cavalry, Frontier Guards, Albanian volunteers and Camicie Nere, to face local resistance and potential ennemies like Yougoslavia and Greece. Italy started recruiting troops from Albania for the MVSN but also for the Army...\n\n§RNote for player: Former 19a Divisione Fanteria 'Gavinana' will be removed. You'll have to attach manually "Julia" and "Centauro" divisions to this corps...§B;;;;;;;;;;;;;x
EVTNAME33413;Start formation of the 101a Divisione Motorizzata "Trieste".;;;;;;;;;;;;;x
EVTDESC33413;Formation of the 101st Motorized Division "Trieste" started in the mid-1930's, by the convertion of the 8th Infantry Division "Po" into a motorized division. The 8th Infantry Division left in 1935 some of its regiments to form the Motorized Division "Trento" and was converted into a motorized unit, Divisione Motorizzata "Po", composed of the 66º Reggimento Fanteria "Valtellina", 65° Reggimento Fanteria and 21° Reggimento Artiglieria Motorizzata.;;;;;;;;;;;;;x
EVTNAME33414;Achieve formation of 101a Divisione Motorizzata "Trieste".;;;;;;;;;;;;;x
EVTDESC33414;The Motorized Division "Po" was upgrade in 1938 and 1939, including some new attached brigades like the 9º Reggimento Bersaglieri and various support units like engineers and anti-tank. On April 4th, the division was renamed 101a  Divisione Motorizzata "Trieste". It was attached to the newly formed Armored Corps (Corpo d'Armata Corazzato), stationed in Piacenza and its commander was Generale Vito Ferroni. \n\nThe division fought in France and Greece and was then send to North Africa were it participated to the major battles of the Desert War. It finally retreat to Tunisia were it surrendered to the Anglo-American forces in May 1943.;;;;;;;;;;;;;x
EVTNAME33415;Formation of the 102a Divisione Motorizzata "Trento".;;;;;;;;;;;;;x
EVTDESC33415;102a Divisione Motorizzata "Trento" was created upon the basis of the former 1a Divisione Motorizzata "Trento", stationned in Libya during the Ethiopian war. In August 1936, it was  rapatriated in Italy and some of its regiments were used to create semi-motorized divisions like the 62a Divisione "Marmarica" (Type AS). In January 1939 the Division get its final organisation including the 7° Reggimento Bersaglieri. Generale Luigi Nuvolini was its commander.\nAt he outbreak of hostilities with the Allies, 102a Divisione "Trento" was attached to the Corpo d'Armata Corazzato (6a Armata del Po), a reserve unit, and did not took part in combat actions. In 1941, the division was sent to Libya, assigned to the XXI Corpo d'Armata in Nort Africa, and settled in Misurata. Then it participated to all the German-Italian operations until its last fight during the Second Battle of El Alamein were the divsion was almost destroyed. On November 4th, 1942, only 200 Bersaglieri from the 7° Reggimento could disengage.\n\nActions of the Bersaglieri from the 7, 8, 9 and 12° Reggimenti inspired these words to general Rommel: "Il soldato tedesco ha stupito il mondo. Il bersagliere italiano ha stupito il soldato tedesco" (The German soldier has amazed the world, the Italian Bersagliere amazed the German soldier).;;;;;;;;;;;;;x
EVTNAME33416;Form the 131a Divisione Corazzata "Centauro".;;;;;;;;;;;;;x 
EVTDESC33416;The 131a Divisione Corazzata "Centauro" was set as an armored division in February 1939 and based upon the 1a Brigata Corazzata formed in April 1938. It was attached to the Corpo d'Armata Corazzato and did large scale manoeuvers in the Po Valley during the late 1930's. Division was put under the command of general Giovanni Magli and rapidly sent to Tirana, attached to the XXVI Corpo d'Armata in Albania, in the perspective of a conflict with Greece.\nInitially equiped with the L3/33 and L3/35 tankettes, it received its first M13/40 tanks in December 1940. The divison took part in the Italian-Greek conflict and then in the invasion of Yougoslavia, before being sent back in Italy to be reequiped with better armor in early 1942. Its final destination was North Africa were the division fought successivly in the battles of El Agheila and Kasserine Pass. It surrendered to the allied forces in may 1943 with the fall of Tunisia.;;;;;;;;;;;;;x
EVTNAME33417;Form the 132a Divisione Corazzata "Ariete".;;;;;;;;;;;;;x 
EVTDESC33417;The 132a Divisione Corazzata "Ariete" was set at the same time of its sister division "Centauro", on the basis of the 2a Brigata Corazzata. It was attached to the Corpo d'Armata Corazzato belonging to the 6a Armata del Po, a strategic reserve unit.\nThe division did not took part in the battle of the Alps againts France and only saw action in the winter 1940-1941 when four of its tank battalions were sent in Africa in two formations: Gruppo Maletti (Battalions I and II) and Brigata Corrazata Speciale (Battalions III and IV). The complete destruction of the 10a Armata forced the Italian High Command to send the whole division "Ariete" in Africa in January 1941 where it fought alongside the Deutsche Afrika Korps. The "Ariete" was destroyed during the battle of El Alamein.\nIts successive commanders were generals Carlo Vecchiarelli, Ettore Baldassarre, Giuseppe de Stefanis and Francesco Antonio Arena.;;;;;;;;;;;;;x
EVTNAME33418;Form the 133a Divisione Corazzata "Littorio".;;;;;;;;;;;;;x 
EVTDESC33418;The 133a Divisione Corazzata "Littorio" was the third armored division of the italian forces during the war. It was created in Parma on November 6th, 1939 in Parma on the basis of the former volunteers division "Littorio" sent to the Spanish Civil War so that's why it kept its fascist-inspired name. It was a reserve unit during the invasion of France when it attacked through the Little St Bernard Pass, which was halted by the French defenders.\nIt then took part in the Invasion of Yugoslavia, fighting at Mostar and Trebinje. It was reequipped and sent to North Africa in the spring of 1942 where it fought until it was destroyed at the Second battle of El Alamein in November 1942. Its commander was general Gervasio Bitossi.;;;;;;;;;;;;;x 
EVTNAME33419;Form the Comando Superiore dell'Africa Settentrionale Italiana.;;;;;;;;;;;;;x
EVTDESC33419;The Comando Superiore FF. AA. "Africa Settentrionale Italiana" was created in april 1937 to take the command of all the italian forces in Libya, replacing the former "Regio Corpo Truppe Coloniali della Libia". 2 armies were transfered under its command: the 5a Armata "Tripolitana" and the 10a Armata "Cirenaica", respectivly covering the Tunisian and Egyptian borders. Air Mashall Italo Balbo was its commander before being killed accidentaly in june 1940 and be replaced by Field Marshall Rodolfo Graziani.;;;;;;;;;;;;;x
EVTNAME33420;Form the XX Corpo d'Armata.;;;;;;;;;;;;;
EVTDESC33420;Already existing during WW1, the italian XX Corpo d'Armata was reconstruct on May 9th of 1937 in Tripoli to be a mobile ("autotrasportabile") unit commanding the two semi-motorized divisions created in the previous month, the 60a Divisione Fanteria autotrasportabile "Sabratha" and the 61a Divisione Fanteria autotrasportabile "Sirte".\nThis corps received later the semi-motorized 17a Divisione "Pavia" and was appoint to the 5a Armata "Tripolitana". In June 1940, its commander was Ferdinando Cona.\n\n§RNote for player: You will receive this HQ unit already set up but the 2 semi-motorized divisions will be placed in the production queue.§B;;;;;;;;;;;;;x
EVTNAME33421;Form the XXI Corpo d'Armata.;;;;;;;;;;;;;x
EVTDESC33421;The XXI Corpo d'Armata was an italian "autotrasportabile" corps created in Bengasi in october 1937 to command two semi-motorized divisions: the 62a Divisione Fanteria autotrasportabile "Marmarica", created in may and the 63a Divisione Fanteria autotrasportabile "Cirene", also formed in october 1937.\nThis corps successivly took command of other divisions: 1a Divisione Libica, 64a Divisione "Catanzaro", 2ª Divisione CC.NN. "28 ottobre" and the Raggupamento libico “Maletti”. At the begining of the war, the XXI Corpo d’Armata was under the command of general Lorenzo Dalmazzo and attached to the 10a Armata. It suffered heavy losses against the british troops in the battle of Sidi Barrani and was almost destroyed in December 1940.\n\n§RNote for player: You will receive this HQ unit already set up but the 2 semi-motorized divisions will be placed in the production queue.§B;;;;;;;;;;;;;x
EVTNAME33422;Form the 7a Division Fanteria "Lupi di Toscana".;;;;;;;;;;;;;x
EVTDESC33422;7a Divisione "Lupi di Toscana" ("Wolfes of Tuscany") was formed in Brescia in december 1937 as a binary division with addition of Camicie Nere brigade. The unit was command by General Edmondo Rossi and assigned to the 1a Armata in 1939, as a reserve division. It briefly took part in the occupation of Albania before fighting in the short campaign against France in june 1940.\nThe division then was involved in the invasion of Greece were it suffered heavy losses in landing in ennemy  without support weapons. The 15th Greek Infantry Division found a new nickname for its opponents: "Hares of Tuscany". Returning back in Italy in 1942, the unit served for coastal defence and participate to the Vichy State occupation in november 1942. It finally surrender to german troops in september 1943.;;;;;;;;;;;;;x
