Tag;English;;;;;;;;;;;;;x
STRAT_RESOURCE_EXPLANATION;Major faction members can share strategic resources from the faction if they have presence on same parts of the world. A faction leader can get resources from closely aligned nations the same way.;;;;;;;;;;;;;x
CONFIRM_REMOVEAll_TITLE;Unassign All Leaders;;;;;;;;;;;;;x
CONFIRM_REMOVEALL_DESC;This will remove all leader assignments from your country. Please be aware that this is not reversible.;;;;;;;;;;;;;x
REMOVE_ALL_LEADER;Unassign All;;;;;;;;;;;;;x
GIESWAPOTHER_SETUP;When another nation replaces a government in exile with their puppet.;;;;;;;;;;;;;x
GIESWAPOTHER_HEADER;$minister_of_security$ reports;;;;;;;;;;;;;x
GIESWAPOTHER_1;Regime Change;;;;;;;;;;;;;x
GIESWAPOTHER_2;$VICTIM$ is now a puppet of the $FACTION$.;;;;;;;;;;;;;x
GIESWAPOTHER_3;$BOSS$ have installed a loyal $GOVERNMENT$ government in $CAPITAL$.;;;;;;;;;;;;;x
GIESWAPOTHER_4;*;;;;;;;;;;;;;x
GIESWAPOTHER_5;*;;;;;;;;;;;;;x
GIESWAPOTHER_6;*;;;;;;;;;;;;;x
GIESWAPOTHER_LOG;$BOSS$ has made $VICTIM$ into a new $FACTION$ puppet.;;;;;;;;;;;;;x
GIESWAPOTHER_BTN1;OK;;;;;;;;;;;;;x
GIESWAPOTHER_BTN2;OK;;;;;;;;;;;;;x
GIESWAPOTHER_BTN3;GOTO;;;;;;;;;;;;;x
GIESWAPOTHER_MAP;Puppet Created!;;;;;;;;;;;;;x
GIESWAP_SETUP;When we replace a government in exile to be our puppet.;;;;;;;;;;;;;x
GIESWAP_HEADER;$minister_of_security$ reports;;;;;;;;;;;;;x
GIESWAP_1;Regime Change;;;;;;;;;;;;;x
GIESWAP_2;$VICTIM$ is now a puppet of the $FACTION$.;;;;;;;;;;;;;x
GIESWAP_3;We have installed a loyal $GOVERNMENT$ government in $CAPITAL$.;;;;;;;;;;;;;x
GIESWAP_4;*;;;;;;;;;;;;;x
GIESWAP_5;*;;;;;;;;;;;;;x
GIESWAP_6;*;;;;;;;;;;;;;x
GIESWAP_LOG;We have made $VICTIM$ into a new $FACTION$ puppet.;;;;;;;;;;;;;x
GIESWAP_BTN1;OK;;;;;;;;;;;;;x
GIESWAP_BTN2;OK;;;;;;;;;;;;;x
GIESWAP_BTN3;GOTO;;;;;;;;;;;;;x
GIESWAP_MAP;Puppet Created!;;;;;;;;;;;;;x
GIESWAPFORUS_SETUP;When our government in exile is replaced to become a puppet.;;;;;;;;;;;;;x
GIESWAPFORUS_HEADER;$minister_of_security$ reports;;;;;;;;;;;;;x
GIESWAPFORUS_1;Regime Change;;;;;;;;;;;;;x
GIESWAPFORUS_2;We are now a puppet of the $FACTION$.;;;;;;;;;;;;;x
GIESWAPFORUS_3;$BOSS$ have installed a loyal $GOVERNMENT$ government in $CAPITAL$.;;;;;;;;;;;;;x
GIESWAPFORUS_4;*;;;;;;;;;;;;;x
GIESWAPFORUS_5;*;;;;;;;;;;;;;x
GIESWAPFORUS_6;*;;;;;;;;;;;;;x
GIESWAPFORUS_LOG;$BOSS$ have made us into a new $FACTION$ puppet.;;;;;;;;;;;;;x
GIESWAPFORUS_BTN1;OK;;;;;;;;;;;;;x
GIESWAPFORUS_BTN2;OK;;;;;;;;;;;;;x
GIESWAPFORUS_BTN3;GOTO;;;;;;;;;;;;;x
GIESWAPFORUS_MAP;Puppet Created!;;;;;;;;;;;;;x
support_attack_eff;Support Attack Efficiency;;;;;;;;;;;;;x
