national_socialist_AFG;Afghan Nationalist Party;;;;;;;;;;;;;;;
fascistic_AFG;Afghan Fascist League;;;;;;;;;;;;;;;
paternal_autocrat_AFG;National Revolutionary Party;;;;;;;;;;;;;;;
social_conservative_AFG;Afghan Conservative Party;;;;;;;;;;;;;;;
market_liberal_AFG;Afghan Liberal Party;;;;;;;;;;;;;;;
social_liberal_AFG;NCPA;;;;;;;;;;;;;;;
social_democrat_AFG;Afghan Social Democratic Party;;;;;;;;;;;;;;;
left_wing_radical_AFG;RGPA;;;;;;;;;;;;;;;
leninist_AFG;PDPA;;;;;;;;;;;;;;;
stalinist_AFG;Communist Party of Afghanistan;;;;;;;;;;;;;;;
national_socialist_ALB;PNSh;;;;;;;;;;;;;;;
fascistic_ALB;PFSh;;;;;;;;;;;;;;;
paternal_autocrat_ALB;PMSh;;;;;;;;;;;;;;;
social_conservative_ALB;PBKSh;;;;;;;;;;;;;;;
market_liberal_ALB;PRSh;;;;;;;;;;;;;;;
social_liberal_ALB;PDSh;;;;;;;;;;;;;;;
social_democrat_ALB;PSSh;;;;;;;;;;;;;;;
left_wing_radical_ALB;PLPSh;;;;;;;;;;;;;;;
leninist_ALB;PKSh;;;;;;;;;;;;;;;
stalinist_ALB;PPSh;;;;;;;;;;;;;;;
national_socialist_ARG;Movimiento Nacional Socialista;;;;;;;;;;;;;;;
fascistic_ARG;Frente Justicialista;;;;;;;;;;;;;;;
paternal_autocrat_ARG;Partido Justicialista;;;;;;;;;;;;;;;
social_conservative_ARG;Partido DemÛcrata Cristiano;;;;;;;;;;;;;;;
market_liberal_ARG;Partido Nacional;;;;;;;;;;;;;;;
social_liberal_ARG;Frente para la Victoria;;;;;;;;;;;;;;;
social_democrat_ARG;Partido Socialista;;;;;;;;;;;;;;;
left_wing_radical_ARG;UniÛn CÌvica Radical;;;;;;;;;;;;;;;
leninist_ARG;Partido Obrero;;;;;;;;;;;;;;;
stalinist_ARG;Partido Comunista de la Argentina;;;;;;;;;;;;;;;
national_socialist_AUS;NSDAP;;;;;;;;;;;;;;;
fascistic_AUS;VF;;;;;;;;;;;;;;;
paternal_autocrat_AUS;GDVP;;;;;;;;;;;;;;;
social_conservative_AUS;CSP;;;;;;;;;;;;;;;
market_liberal_AUS;Landbund;;;;;;;;;;;;;;;
social_liberal_AUS;÷SLP;;;;;;;;;;;;;;;
social_democrat_AUS;SDAP÷;;;;;;;;;;;;;;;
left_wing_radical_AUS;Schutzbund;;;;;;;;;;;;;;;
leninist_AUS;MLP÷;;;;;;;;;;;;;;;
stalinist_AUS;KPD÷;;;;;;;;;;;;;;;
national_socialist_BEL;Verdinaso;;;;;;;;;;;;;;;
fascistic_BEL;Rex;;;;;;;;;;;;;;;
paternal_autocrat_BEL;VNV;;;;;;;;;;;;;;;
social_conservative_BEL;Katholieke Unie-Union Catholique;;;;;;;;;;;;;;;
market_liberal_BEL;Liberale Partij-Parti LibÈral;;;;;;;;;;;;;;;
social_liberal_BEL;Afgescheurde Liberalen-LibÈraux DÈchirÈs;;;;;;;;;;;;;;;
social_democrat_BEL;BWP-BOP;;;;;;;;;;;;;;;
left_wing_radical_BEL;Rev.Soc.Actie-Action Soc.Rev.;;;;;;;;;;;;;;;
leninist_BEL;Lijst Van Overstraeten-Liste Van Overstraeten;;;;;;;;;;;;;;;
stalinist_BEL;KPB-PCB;;;;;;;;;;;;;;;
national_socialist_BHU;Bhutan National Socialist Party;;;;;;;;;;;;;;;
fascistic_BHU;Bhutan Fascist League;;;;;;;;;;;;;;;
paternal_autocrat_BHU;Bhutan Peace and Prosperity Party;;;;;;;;;;;;;;;
social_conservative_BHU;Bhutan Conservative Party;;;;;;;;;;;;;;;
market_liberal_BHU;Bhutan National Democratic Party ;;;;;;;;;;;;;;;
social_liberal_BHU;Bhutan National Congress Party;;;;;;;;;;;;;;;
social_democrat_BHU;People's Democratic Party;;;;;;;;;;;;;;;
left_wing_radical_BHU;Bhutan Peoples' Party;;;;;;;;;;;;;;;
leninist_BHU;Bhutan Communist Party;;;;;;;;;;;;;;;
stalinist_BHU;Communist Party of Bhutan;;;;;;;;;;;;;;;
national_socialist_BOL;Movimiento Nacional Socialista;;;;;;;;;;;;;;;
fascistic_BOL;Falange Socialista Boliviana;;;;;;;;;;;;;;;
paternal_autocrat_BOL;Nueva Fuerza Republicana;;;;;;;;;;;;;;;
social_conservative_BOL;Unidad CÌvica Solidaridad;;;;;;;;;;;;;;;
market_liberal_BOL;Partido Liberal;;;;;;;;;;;;;;;
social_liberal_BOL;Movimiento Nacionalista Revolucionario;;;;;;;;;;;;;;;
social_democrat_BOL;Partido Socialista;;;;;;;;;;;;;;;
left_wing_radical_BOL;Partido Obrero Revolucionario;;;;;;;;;;;;;;;
leninist_BOL;Partido de la Izquierda Revolucionaria;;;;;;;;;;;;;;;
stalinist_BOL;Partido Comunista de Bolivia;;;;;;;;;;;;;;;
