# Leader Ranks;;;;;;;;;;;;;;x
INACTIVE;(inactive);(inactif);(inaktiv);;(inactivo);;;;;;;;;x
LAND_RANK1;Maj. General;General de division;Generalmajor;;Capitán General;;;;;;;;;x
LAND_RANK2;Lt. General;General de corps d'armee;Generalleutnant;;Teniente General;;;;;;;;;x
LAND_RANK3;General;General d'armee;General;;General;;;;;;;;;x
LAND_RANK4;Field Marshal;Marechal;Feldmarschall;;Mariscal campo;;;;;;;;;x
SEA_RANK1;Commander;Commandant;Kommandant;;Comandante;;;;;;;;;x
SEA_RANK2;Rear Admiral;Contre-amiral;Konteradmiral;;Contralmirante;;;;;;;;;x
SEA_RANK3;Vice Admiral;Vice amiral;Vizeadmiral;;Vicealmirante;;;;;;;;;x
SEA_RANK4;Admiral;Amiral;Admiral;;Almirante;;;;;;;;;x
AIR_RANK1;Maj. General;General de division aerienne;Generalmajor;;Capitán General;;;;;;;;;x
AIR_RANK2;Lt. General;General de corps d'armee aerien;Generalleutnant;;Teniente General;;;;;;;;;x
AIR_RANK3;Air General;General d'armee aerienne;Luftwaffengeneral;;General aire;;;;;;;;;x
AIR_RANK4;Air Marshal;Marechal de l'armee de l'air;Luftmarschall;;Mariscal del aire;;;;;;;;;x
LEADER_SKILL;Skill;Competence;Fähigkeit;;Hab.;;;;;;;;;x
LEADER_XP;Experience;Experience;Erfahrung;;Experiencia;;;;;;;;;x
#EOF#;;;;;;;;;;;;;;x
