liberate_europe;Liberate Europe;;;;;;;;;;;;;x
liberate_europe_setup;Liberating Europe from the Nazis is most important and must be achieved.;;;;;;;;;;;;;x
oder_neisse_line;Oder-Neisse Line;;;;;;;;;;;;;x
oder_neisse_line_setup;In February 1945, Soviet, American and British officials met in Yalta and agreed on the basics of Poland's future borders. In the east, the British agreed to the Curzon line. In the west, Poland should receive part of East Prussia, Danzig, the eastern tip of Pomerania and Upper Silesia.;;;;;;;;;;;;;x
division_germany;Division of Germany;;;;;;;;;;;;;x
division_germany_setup;After Germany's unconditional surrender on 8 May 1945, the Allies divided "Occupation Zone Germany" into four military occupation zones, the French in the southwest, the British in the northwest, the United States in the south, and the Soviets in the east.;;;;;;;;;;;;;x
liberate_asia;Liberate Asia;;;;;;;;;;;;;x
liberate_asia_setup;During the on-going pacific war, the leaders of the United States, the United Kingdom, and the Republic of China met in Cairo, Egypt in November, 1943. They agreed to the following points: (1) Japan be stripped of all the islands in the Pacific which she had seized or occupied since the beginning of the First World War in 1914. (2) All the territories Japan had taken from the Chinese would be also restored to the Republic of China. (3) Korea would become free and independent.;;;;;;;;;;;;;x
occupation_japan;Occupation of Japan;;;;;;;;;;;;;x
occupation_japan_setup;The occupying forces of the Allies shall be withdrawn from Japan as soon as these objectives have been accomplished and there has been established, in accordance with the freely expressed will of the Japanese people, a peacefully inclined and responsible government.;;;;;;;;;;;;;x
