##################################################;;;;;;;;;;;;;;x
# Events ;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
EVTNAME9001;The Cession of Hatay;La cession de Hatay;Die Abtretung von Hatay;;La cesión de Hatay;;;;;;;;;x
EVTDESC9001;The Turks are poised to annex Hatay, part of our Mandate of Syria. Shall we let them, or will we make a stand after all?;Les Turques s'emploient à vouloir annexer Hatay, qui de fait est sous notre mandat en Syrie. Devons-nous les laisser faire, ou allons-nous nous y opposer?;Die Türkei verstärkt ihre Bemühungen die Provinz Hatay einzugliedern. Wir haben andere Pläne mit diesen Mandatsgebiet. Dennoch könnte ein Nachgeben sie zu unseren Gunsten beeinflussen. Wie wollen wir vorgehen?;;Los turcos están a punto de anexar Hatay, parte de nuestro protectorado de Siria. ¿Debemos permitirlo o adoptaremos otra posición?;;;;;;;;;x
EVTOPTA9001;We can do without Hatay;On peut se passer de Hatay;Geben wir Ihnen was sie wollen;;Podemos prescindir de Hatay;;;;;;;;;x
EVTOPTB9001;Hatay is part of Syria!;Hatay fait partie intégrante de la Syrie!;Hatay bleibt ein Teil von Syrien;;Hatay forma parte de Siria;;;;;;;;;x
EVTNAME9002;The Cession of Hatay;La cession de Hatay;Die Abtretung von Hatay;;La cesión de Hatay;;;;;;;;;x
EVTDESC9002;France has acceded to our demands and Hatay is Turkish once more!;La France a accédé à nos exigences, et Hatay est de nouveau turque.;Frankreich hat unseren Forderungen zugestimmt. Hatay ist endlich wieder eine türkische Provinz!;;Francia ha accedido a nuestras demandas y Hatay pertenece a Turquía de nuevo.;;;;;;;;;x
EVTOPTA9002;Excellent!;Excellent!;Exzellent!;;Excelente;;;;;;;;;x
EVTNAME9003;The Cession of Hatay;La cession de Hatay;Die Abtretung von Hatay;;La cesión de Hatay;;;;;;;;;x
EVTDESC9003;At the last instant, France has thwarted our plans in Hatay!;Au dernier moment, la France a contrecarré nos plans concernant Hatay!;Im letzten Moment hat Frankeich unsere Pläne durchkreuzt!;;En el último momento, Francia ha frustrado nuestros planes para Hatay.;;;;;;;;;x
EVTOPTA9003;This is bad...;C'est mauvais signe... ;Das ist schlimm...;;Ésto es malo...;;;;;;;;;x
EVTNAME9004;Control of Greenland and Iceland;Le contrôle du Groenland et de l'Islande;Kontrolle Grönlands und Islands;;Control de Groenlandia e Islandia;;;;;;;;;x
EVTDESC9004;After the German occupation of Denmark in April 1940, British forces swiftly took possession of Iceland and the Faroe Islands to counter a possible threat of a German invasion.;À la suite de l'occupation du Danemark par les Allemands en avril 1940, les troupes britanniques prennent position en Islande et les Îsles Féroés afin d'empêcher une éventuelle invasion germanique.;Nach dem deutschen Einmarsch in Dänemark im April 1940 besetzten britische Streitkräfte umgehend Island und die Färöer, um einer möglichen deutschen Invasion entgegenwirken zu können.;;Tras la ocupación de Dinamarca por Alemania en abril de 1940, las fuerzas británicas invadieron Islandia y las Islas Feroes para contrarrestar la posible amenaza de una invasión alemana.;;;;;;;;;x
EVTOPTA9004;OK;OK;OK;;OK;;;;;;;;;x
EVTNAME2805;Hu Hanmin, governor of Guandong dies;Hu Hanmin, governor of Guandong dies;Hu Hanmin, Gouverneur von Guandong stirbt.;Hu Hanmin, governor of Guandong dies;;Hu Hanmin, governor of Guandong dies;;;;;;;;x
