MESSAGE_HEAD_GOV;The Minister of Security reports;Le ministre de la sécurité rapporte que;Der Minister für innere Sicherheit meldet;;El Ministro de Seguridad informa;;;;;;;;;x
MESSAGE_HEAD_MARS;The General Staff reports;L'état-major rapporte que;Der Generalstab meldet;;El General del Estado Mayor informa;;;;;;;;;x
MESSAGE_HEAD_CHAN;The Foreign Office reports;Le ministère des Affaires étrangères rapporte que;Der Außenminister meldet;;El Ministerio de Asuntos Exteriores informa;;;;;;;;;x
MESS_BADWORDS1;the fools;les idiots;die Narren;;los necios;;;;;;;;;x
MESS_BADWORDS2;the traitors;les traîtres;die Verräter;;esos traidores;;;;;;;;;x
MESS_BADWORDS3;the warmongers;les belligérants;die Kriegstreiber;;los belicistas;;;;;;;;;x
MESS_BADWORDS4;the imbeciles;Les imbéciles;die Idioten;;los imbéciles;;;;;;;;;x
DECLWAR_GUARACANCELNTEE;You cannot declare war on a nation you guarantee;Vous ne pouvez pas déclarer la guerre à une nation pour laquelle vous vous portez garant;Sie können keiner Nation den Krieg erklären, der Sie Garantien gewährt haben;;No puedes declarar la guerra a una nación que garantizas;;;;;;;;;x
DECLWAR_SETUP;When a nation declares war upon you;Quand une nation vous déclare la guerre;Wenn Ihnen ein anderes Land den Krieg erklärt;Kiedy inny kraj wypowiada ci wojnê;Cuando una nación te declare la guerra.;Quando una nazione ti dichiara guerra;Mikor egy nemzet hadat üzen nekünk.;Když vám národ vyhlásí válku;;;;;;x
DECLWAR_HEADER;$foreign_minister$ reports;$foreign_minister$ rapporte que;$foreign_minister$ berichtet:;;$foreign_minister$ informa que;;;;;;;;;x
DECLWAR_1;WAR!;DÉCLARATION DE GUERRE!;KRIEG!;WOJNA!;¡GUERRA!;GUERRA!;HÁBORÚ!;VÁLKA!;;;;;;x
DECLWAR_2;$MONARCHTITLE$, $BADWORD$ in;$MONARCHTITLE$, $BADWORD$ dans;$MONARCHTITLE$;$BADWORD$ z;$MONARCHTITLE$, $BADWORD$ en;$MONARCHTITLE$, $BADWORD$ di;Vezérünk, ;$MONARCHTITLE$, $BADWORD$ v;;;;;;x
DECLWAR_3;$AGRESSOR$ declared war;$AGRESSOR$ nous ont déclaré la;$AGRESSOR$ hat uns den Krieg erklärt!;$AGRESSOR$ wypowiadaj¹ nam wojnê!;$AGRESSOR$ ha declarado la guerra;$AGRESSOR$ ci hanno dichiarato;$AGRESSOR$ nemzete hadat üzent nekünk!;$AGRESSOR$ vyhlásil válku;;;;;;x
DECLWAR_4;upon us! Prepare for battle...;guerre! Préparons-nous au combat...;Bereiten Sie sich auf den Kampf vor...;Gotujmy siê do bitwy...;contra nosotros! Preparad la batalla...;guerra! Preparati a combattere...;Fel kell készülnünk a háborúra…;nám! Pøipravte se na boj...;;;;;;x
DECLWAR_5;$LIM$;$LIM$;$LIM$;$LIM$;$LIM$;$LIM$;$LIM$;;;;;;;x
DECLWAR_6;*;*;*;*;*;*;*;;;;;;;x
DECLWAR_LOG;$AGRESSOR$ declared war on us!;$AGRESSOR$ nous a déclaré la guerre!;$AGRESSOR$ hat uns den Krieg erklärt!;$AGRESSOR$ wypowiada nam wojnê!;¡$AGRESSOR$ nos ha declarado la guerra!;$AGRESSOR$ ci ha dichiarato guerra!;$AGRESSOR$ hadat üzent nekünk!;$AGRESSOR$ nám vyhlásil válku!;;;;;;x
DECLWAR_BTN1;OK;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x
DECLWAR_BTN2;OK;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x
DECLWAR_BTN3;Go to;Aller à;Gehe zu;IdŸ do;Ir allí;Andare;Menj ide:;Pøejít na;;;;;;x
DECLWAR_MAP;WAR!;DÉCLARATION DE GUERRE!;KRIEG!;WOJNA!;¡GUERRA!;GUERRA!;HÁBORÚ!;VÁLKA!;;;;;;x
