ACTIVE_SPIES;Active Spies;;;;;;;;;;;;;x
SPYMISSION_NONE_TITLE;None;;;;;;;;;;;;;x
SPYMISSION_NONE_DESC;No mission set;;;;;;;;;;;;;x
SPYMISSION_COUNTER_ESPIONAGE_TITLE;Counterespionage;;;;;;;;;;;;;x
SPYMISSION_COUNTER_ESPIONAGE_DESC;Find and neutralize enemy spies;;;;;;;;;;;;;x
SPYMISSION_MILITARY_TITLE;Military Espionage;;;;;;;;;;;;;x
SPYMISSION_MILITARY_DESC;Focus on the enemy's military;;;;;;;;;;;;;x
SPYMISSION_TECH_TITLE;Tech Espionage;;;;;;;;;;;;;x
SPYMISSION_POLITICAL_TITLE;Political Espionage;;;;;;;;;;;;;x
SPYMISSION_POLITICAL_DESC;Focus on the enemy's politics;;;;;;;;;;;;;x
SPYMISSION_BOOST_RULING_PARTY_TITLE;Support the Ruling Party;;;;;;;;;;;;;x
SPYMISSION_BOOST_RULING_PARTY_DESC;Through a combination of arrests, bribes, blackmail and even some subtle persuasion, we should be able to improve the organisation of our ruling party.;;;;;;;;;;;;;x
SPYMISSION_BOOST_OUR_PARTY_TITLE;Support Our Party;;;;;;;;;;;;;x
SPYMISSION_BOOST_OUR_PARTY_DESC;By identifying and influencing key opinion-makers in this country, we should be able to strengthen the organisation of the political party closest to ours.;;;;;;;;;;;;;x,
SPYMISSION_LOWER_NATIONAL_UNITY_TITLE;Disrupt National Unity;;;;;;;;;;;;;x
SPYMISSION_LOWER_NATIONAL_UNITY_DESC;By means of a cunning combination of both truth and falsehoods, circulated via rumour, overseas broadcasting and placement of disinformation in the local media, we should be able to subvert the unity of this country.;;;;;;;;;;;;;x
SPYMISSION_SUPPORT_RESISTANCE_TITLE;Support the Rebels;;;;;;;;;;;;;x
SPYMISSION_SUPPORT_RESISTANCE_DESC;By making contact with local resistance groups and supplying them with some of our know-how, we should be able to make them more effective.;;;;;;;;;;;;;x,
SPYMISSION_DISRUPT_RESEARCH_TITLE;Disrupt Research;;;;;;;;;;;;;x
SPYMISSION_DISRUPT_RESEARCH_DESC;With some minor acts of sabotage inside research facilities, we should be able to retard the progress of some of our enemys' research.;;;;;;;;;;;;;x,
SPYMISSION_DISRUPT_PRODUCTION_TITLE;Disrupt Production;;;;;;;;;;;;;x
SPYMISSION_DISRUPT_PRODUCTION_DESC;By organising some small-scale sabotage of production facilities, we should be able to create far-reaching effects on production through the ensuing witch hunt.;;;;;;;;;;;;;x,
SPYMISSION_LOWER_NEUTRALITY_TITLE;Lower Neutrality;;;;;;;;;;;;;x
SPYMISSION_LOWER_NEUTRALITY_DESC;By using propaganda and scaremongering tactics, we will sway public opinion away from neutrality and toward intervention.;;;;;;;;;;;;;x,
SPYMISSION_INCREASE_THREAT_TITLE;Increase the Threat;;;;;;;;;;;;;x
SPYMISSION_INCREASE_THREAT_DESC;We will attempt to make this country seem more threatening to world peace than it currently is, by propaganda and covert actions.;;;;;;;;;;;;;x,
SPY_PRIORITY;Priority;;;;;;;;;;;;;x
SPY_LEVEL;Spies;;;;;;;;;;;;;x
SPY_PRIORITY_0;Send no spies here;;;;;;;;;;;;;x
SPY_PRIORITY_1;Low Priority - will only receive spare spies;;;;;;;;;;;;;x,
SPY_PRIORITY_2;Medium Priority;;;;;;;;;;;;;x
SPY_PRIORITY_3;High Priority - send as many spies as possible here first;;;;;;;;;;;;;x
ACTIVE_SPY_MISSION;Mission;;;;;;;;;;;;;x
FREE_SPIES;Free Spies;;;;;;;;;;;;;x
ACTIVE_FOREIGN_SPIES;Active Spies Abroad;;;;;;;;;;;;;x
ACTIVE_DOMESTIC_SPIES;Active Domestic Spies;;;;;;;;;;;;;x
ESPIONAGE_CURRENT_RESEARCH;Current Research;;;;;;;;;;;;;x
ESPIONAGE_TOP_TECH;Strong Tech;;;;;;;;;;;;;x
ESPIONAGE_WEAK_TECH;Weak Tech;;;;;;;;;;;;;x
SPIESFOUNDUS_SETUP;Hostile spy detected;;;;;;;;;;;;;x
SPIESFOUNDUS_HEADER;$minister_of_security$ reports.;;;;;;;;;;;;;x
SPIESFOUNDUS_1;Hostile Spy Detected;;;;;;;;;;;;;x
SPIESFOUNDUS_2;A spy from;;;;;;;;;;;;;x
SPIESFOUNDUS_3;$WHERE$;;;;;;;;;;;;;x
SPIESFOUNDUS_4;was detected and neutralized in;;;;;;;;;;;;;x
SPIESFOUNDUS_5;$COUNTRY$;;;;;;;;;;;;;x
SPIESFOUNDUS_6;*;;;;;;;;;;;;;x
SPIESFOUNDUS_LOG;We detected a spy from $WHERE$ in $COUNTRY$.;;;;;;;;;;;;;x
SPIESFOUNDUS_BTN1;OK;;;;;;;;;;;;;x
SPIESFOUNDUS_BTN2;OK;;;;;;;;;;;;;x
SPIESFOUNDUS_BTN3;Details;;;;;;;;;;;;;x
SPIESFOUNDUS_MAP;*;;;;;;;;;;;;;x
SPIESFOUNDTHEM_SETUP;One of our spies was detected;;;;;;;;;;;;;x
SPIESFOUNDTHEM_HEADER;$minister_of_intelligence$ reports.;;;;;;;;;;;;;x
SPIESFOUNDTHEM_1;Our Spy Detected;;;;;;;;;;;;;x
SPIESFOUNDTHEM_2;One of our spies in;;;;;;;;;;;;;x
SPIESFOUNDTHEM_3;$WHERE$;;;;;;;;;;;;;x
SPIESFOUNDTHEM_4;was detected and neutralised.;;;;;;;;;;;;;x
SPIESFOUNDTHEM_5;*;;;;;;;;;;;;;x
SPIESFOUNDTHEM_6;*;;;;;;;;;;;;;x
SPIESFOUNDTHEM_LOG;One of our spies in $WHERE$ was detected.;;;;;;;;;;;;;x
SPIESFOUNDTHEM_BTN1;OK;;;;;;;;;;;;;x
SPIESFOUNDTHEM_BTN2;OK;;;;;;;;;;;;;x
SPIESFOUNDTHEM_BTN3;Details;;;;;;;;;;;;;x
SPIESFOUNDTHEM_MAP;*;;;;;;;;;;;;;x
