CODE;ENGLISH;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
# Decisions ;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
reoccupation_of_the_rhineland_title;Re-occupation of the Rhineland;;;;;;;;;;;;;x
reoccupation_of_the_rhineland_desc; Once the home front was secured, Hitler turned his attention to foreign policy with four increasingly daring acts.  On the 16th of March 1935, the Treaty of Versailles was violated by Germany as military conscription was reintroduced.  The treaty stated that the German Army should not exceed 100,000 men.\n When nothing more than official protests from England and France followed, Hitler proceeded, a year later on 7 March 1936, to occupy the demilitarised Rhineland, again violating the Versailles Treaty.;;;;;;;;;;;;;x
anschluss_of_austria_title;Anschluss of Austria;;;;;;;;;;;;;x
anschluss_of_austria_desc; Demands for the union (Anschluss) of Austria and Germany increased after Adolf Hitler became German Chancellor.  In February 1938, Hitler invited Kurt von Schuschnigg, the Austrian Chancellor, to meet him at Berchtesgaden.  Hitler demanded concessions for the Austrian Nazi Party.  Schuschnigg refused and on 9th March 1938, the Austrian Chancellor announced a plebiscite (referendum) on the independence of Austria.\n Adolf Hitler took this as an opportunity to take action against the Austrian State.  Schuschnigg was pressed to resign.  The National Socialist Arthur Seyss-Inquart took over the chancellorship and formed a new government.  The Austrian National Socialists took power in Austria.\n  On the morning of 12 March 1938, troops of the German Wehrmacht and the SS crossed the German-Austrian border.  On 13 March 1938, Hitler, in Linz announced the passage of the "Anschluss" (Annexation) of Austria into the German Reich.;;;;;;;;;;;;;x
the_treaty_of_munich_title;The Treaty of Munich;;;;;;;;;;;;;x
the_treaty_of_munich_desc; During the summer of 1938 the pro-Nazi elements among the Czech-Germans demanded the right to secede from Czechoslovakia.  A move that created enormous tension between Germany and Czechoslovakia.  Hitler, using the minority sentiments in the Sudetenland started to propagandize about "Czech Atrocities" against ethnic Germans in an effort to lay the blame for a future conflict on the Czech government.  At the same time", as German troops infiltrated the Bohemian borderlands, Hitler agreed to host a Peace Conference in Munich.\nHitler, Chamberlain, Daladier, and Mussolini met and agreed that Hitler should have the Sudetenland of Czechoslovakia.  The Czechs, who were not represented at the meeting, realised that their own allies were deserting them and under pressure from the French and British, they were forced to surrender the Sudetenland to Germany.\n Hitler assured those at the meeting that this was the extent of his ambitions for expansion.  Chamberlain returned to England with a piece of paper signed by Hitler proclaiming "peace in our time.";;;;;;;;;;;;;x
first_vienna_award_title;The First Vienna Award;;;;;;;;;;;;;x
first_vienna_award_desc; The Vienna Award was a diplomatic attempt by Germany and Italy to enforce Hungary's claims to the southern parts of Carpathian Rus and Slovakia, at that time a part of Czechoslovakia.  Negotiations started in October 1938, but despite intense negotiations, no satisfactory solution acceptable for both parties was to be found.\nIn November, Hungarian forces began to cross the border into the territory and only a few months later, Hitler gave Hungary his permission to annex the remaining lands of Carpathian Rus, thus reestablishing the historic borders between Hungary and Poland.;;;;;;;;;;;;;x
the_first_vienna_award_title;The First Vienna Award;;;;;;;;;;;;;x
the_first_vienna_award_desc; After the swallowing of the Sudetenland, Hitler used a small group of Slovakian patriots around Tiso more or less forcing them to proclaim an independent Slovakia.  At the same time German troops started to move across the Czechoslovakian border on the pretext of "protecting" the Slovak people. Swiftly demanding the Czech president come to Germany to discuss recent "Czech problems" Hitler managed to isolate and threaten the Czech leader into submission.  A few days later the German Army had full control of the former Czechoslovakia.;;;;;;;;;;;;;x
claims_on_memel_title;Claims on Memel;;;;;;;;;;;;;x
claims_on_memel_desc; On 22nd March 1939 after immense pressure and with German forces ready to attack, the Lithuanian government agreed to give Memel (Klaipeda) to Germany and to sign a non-aggression pact.;;;;;;;;;;;;;x
guarantee_independence_of_poland_title;Guarantee the Independence of Poland;;;;;;;;;;;;;x
guarantee_independence_of_poland_desc; Ribbentrop asked the Poles for the return of Danzig and a strip of German territory across the Polish corridor on which a German-run road and rail link could be built.  This time Hitler met real resistance.  On 31 March 1939 the British and French guaranteed the borders of Poland.  Encouraged by the guarantee, the Poles were not about to compromise.\n Then, as 1939 progressed, the position of the Soviet Union became critical.  If Stalin allied himself with Britain, Germany would run the risk of a two-front war if she pushed the world toward conflict.  British attempts at negotiation with the Soviet Union were, however, lacklustre.  For both ideological and practical reasons Stalin had purged thousands of officers from the Red Army and the Soviets were perceived to be a third-rate military force.  Stalin was also unwilling to be pushed into a war which offered him little in terms of his own narrow self-interest.\n Then the Nazis pulled what Manfred von Schröder calls a stroke of courage and genius."  They signed their own treaty with the Soviet Union", their greatest ideological enemy.;;;;;;;;;;;;;x
danzig_or_war_title;Danzig or War (Last chance for peace);;;;;;;;;;;;;x
danzig_or_war_desc; Ribbentrop asked the Poles for the return of Danzig and a strip of German territory across the Polish corridor on which a German-run road and rail link could be built.  This time Hitler met real resistance.  On 31 March 1939 the British and French guaranteed the borders of Poland.  Encouraged by the guarantee, the Poles were not about to compromise.\n Then, as 1939 progressed, the position of the Soviet Union became critical.  If Stalin allied himself with Britain, Germany would run the risk of a two-front war if she pushed the world toward conflict.  British attempts at negotiation with the Soviet Union were, however lacklustre.  For both ideological and practical reasons Stalin had purged thousands of officers from the Red Army and the Soviets were perceived to be a third-rate military force.  Stalin was also unwilling to be pushed into a war which offered him little in terms of his own narrow self-interest.\n Then the Nazis pulled what Manfred von Schröder calls a stroke of "courage and genius."  They signed their own treaty with the Soviet Union", their greatest ideological enemy.;;;;;;;;;;;;;x
marco_polo_bridge_incident_title;Marco Polo Bridge - Teach the Chinese;;;;;;;;;;;;;x
marco_polo_bridge_incident_desc; Japanese garrison troops in Feng-Tai, southwest of Beiping, clashed with Chinese forces at the Marco Polo Bridge.  The battle was at first limited to a local conflict and some hurried negotiations restored order.  But soon thereafter new incidents flared up and Japanese forces began offensive operations.;;;;;;;;;;;;;x
molotov_ribbentrop_pact_title;The Molotov-Ribbentrop Pact;;;;;;;;;;;;;x
molotov_ribbentrop_pact_desc; On August 23, 1939 Hitler and Stalin signed a non-aggression pact, called the Molotov-Ribbentrop Treaty.  Secret protocols of the treaty defined the territorial spheres of influence Germany and Russia would have after a successful invasion of Poland.  Hitler had been creating justifications and laying plans for such an invasion since April.  According to the agreement, Russia would have control over Latvia, Estonia, and Finland, while Germany would gain control over Lithuania and Danzig.\n Poland would be partitioned into three major areas.  The Warthland area, bordering Germany would be annexed outright to the German Reich, and all non-German inhabitants expelled to the east. Over 77,000 square miles of eastern Polish lands, with a population of over thirteen million would become Russian territory.  The central area would become a German protectorate, named the General Government, governed by a German civil authority.;;;;;;;;;;;;;x
claim_bessarabia_title;Claim Bessarabia;;;;;;;;;;;;;x
claim_bessarabia_desc; On the 27th of June 1940, Romania bowed to a Russian ultimatum demanding the immediate cession not only of Bessarabia but also of the northern part of the Bukovina.  That area had never formally been ceded to Romania and was thus claimed for the USSR’s sphere of influence in the agreement with Hitler.;;;;;;;;;;;;;x
ultimatum_to_the_baltic_states_title;Deliver Ultimatum to the Baltic States;;;;;;;;;;;;;x
ultimatum_to_the_baltic_states_desc; During the summer of 1940 the Soviet Union began making preparations for a total takeover of the Baltic States.  According to the non-aggression pact signed by Hitler and Stalin the previous year, the Soviets would get control over Latvia, Estonia and Finland, while Germany would focus on Danzig and Lithuania.  On the 15th of June, an ultimatum was delivered to Lithuania, and just a few days later similar terms were presented to Latvia and Estonia.;;;;;;;;;;;;;x
destroyers_for_bases_agreement_title;Destroyers for bases;;;;;;;;;;;;;x
destroyers_for_bases_agreement_desc; On September 2nd,1940, the governments of the United States and the United Kingdom reached an agreement for the transfer of 50 destroyers of the 1200 type from the US Navy to the Royal Navy, in return for American basing rights for 99 years in the Carribean, Guiana, Newfoundland, Bermuda and elsewhere.;;;;;;;;;;;;;x
the_lend_lease_act_title;The Lend-Lease Act;;;;;;;;;;;;;x
the_lend_lease_act_desc; The Lend-Lease Agreements were arrangements for the transfer of war supplies, including food, machinery, and services, to nations whose defence was considered vital to the defence of the United States in World War II.  The Lend-Lease Act, passed in 1941 by the U.S. Congress, gave the President power to sell, transfer, lend or lease such war materials.  The President was directed to set the terms for aid repayment to be "in kind or property" or any other direct or indirect benefit which the President deems satisfactory."\n\nHarry L. Hopkins was appointed in March", 1941 to administer lend-lease.  He was replaced in July by Edward R. Stettinius, Jr., who headed the Office of Lend-Lease Administration, set up in Oct., 1941.  In Sept.,1943, lend-lease was incorporated into the Foreign Economic Administration under Leo T. Crowley.  In Sept.,1945, it was transferred to the Dept. of State.\n Lend-lease was originally intended for China and countries of the British Empire.  In Nov.,1941, the USSR was included, and by the end of the war practically all the allies of the United States had been declared eligible for lend-lease aid.  Although not all requested or received it, lend-lease agreements were signed with numerous countries.;;;;;;;;;;;;;x
us_occupation_of_iceland_greenland_title;Control of Greenland and Iceland;;;;;;;;;;;;;x
us_occupation_of_iceland_greenland_desc; After the German occupation of Denmark in April 1940 British forces swiftly took possession of Iceland to counter a possible threat of a German invasion.  Britain held it with few forces and in early 1941 it was evident that it would be better if the United States took over the watch-keeping.  By the summer of 1941, U. S. troops occupied both Greenland and Iceland in the North Atlantic.\n\nThe U. S. occupation of Greenland was arranged through an agreement between the United States government and a rebellious Danish Ambassador in Washington.  This Danish Ambassador refused to recognize or obey the Danish government in Copenhagen after the German occupation of Denmark, which began in April of 1940.  The Greenland Agreement, signed in April of 1941, encountered vigorous protests from both the Danish government and the German Embassy in Washington.;;;;;;;;;;;;;x
great_officer_purge_title;Begin the Great Officer Purge;;;;;;;;;;;;;x
great_officer_purge_desc; During the 1930's Stalin’s paranoia had increased and numerous power struggles between lesser men were viewed as dangerous to his leadership.  In a wave of three major and a dozen smaller purges the political and military leadership of the Soviet Union was effectively decimated and put under Stalin's strict control.\n The purge of the army eliminated 3 of the 5 marshals, 14 of the 16 army commanders, and approximately half of the 70 to 80,000 men in the entire officer corps.  Needless to say, this purge inevitably had an extremely destructive effect on the effectiveness of the Red Army's military leadership.;;;;;;;;;;;;;x
industry_moved_to_siberia_v1_title;Transfer Some of the Industry to Siberia;;;;;;;;;;;;;x
industry_moved_to_siberia_v1_desc; When the onslaught by the Germans began, Soviet army groups in the west were quickly overrun and the remainder of the Red Army had to rapidly devise a plan for defense.  Soviet leadership decided that the Red Army had to slow down the German advance and force their armies to spread out as thinly as possible.  This would make it possible to launch a counter-offensive during the next year.\n It was also decided that this plan would buy the Soviets time to dismantle heavy industry facilities in the west and move them to Siberia in order to maintain production.;;;;;;;;;;;;;x
industry_moved_to_siberia_v2_title;Transfer Most of the Industry to Siberia;;;;;;;;;;;;;x
industry_moved_to_siberia_v2_desc; When the onslaught by the Germans began, Soviet army groups in the west were quickly overrun and the remainder of the Red Army had to rapidly devise a plan for defense.  Soviet leadership decided that the Red Army had to slow down the German advance and force their armies to spread out as thinly as possible.  This would make it possible to launch a counter-offensive during the next year.\n It was also decided that this plan would buy the Soviets time to dismantle heavy industry facilities in the west and move them to Siberia in order to maintain production.;;;;;;;;;;;;;x
industry_moved_to_siberia_v3_title;Complete Transfer of Industry to Siberia;;;;;;;;;;;;;x
industry_moved_to_siberia_v3_desc; When the onslaught by the Germans began, Soviet army groups in the west were quickly overrun and the remainder of the Red Army had to rapidly devise a plan for defense.  Soviet leadership decided that the Red Army had to slow down the German advance and force their armies to spread out as thinly as possible.  This would make it possible to launch a counter-offensive during the next year.\n It was also decided that this plan would buy the Soviets time to dismantle heavy industry facilities in the west and move them to Siberia in order to maintain production.;;;;;;;;;;;;;x
japan_demands_bases_in_indochine_title;The SE Asian Colonies of Vichy France;;;;;;;;;;;;;x
japan_demands_bases_in_indochine_desc; After the Fall of France and the installation of a pro-German government at Vichy Japan was able to profit from the new political situation in South-East Asia and occupy French Indochina under the argument that it "protected" this area from the British.;;;;;;;;;;;;;x
annexation_of_albania_title;Annexation of Albania;;;;;;;;;;;;;x
annexation_of_albania_desc; Italy delivered Tiranë an ultimatum on March 25,1939, demanding that it accede to Italy's occupation of Albania.  King Zog refused to accept money in exchange for countenancing a full Italian takeover and colonization of Albania, and on April 7,1939, Mussolini's troops invaded Albania.  Despite some stubborn resistance, especially at Durrës, the Italians made short shrift of the Albanians.\n Unwilling to become an Italian puppet, King Zog, his wife, Queen Geraldine Apponyi, and their infant son, Skander fled to Greece and eventually to London.  On April 12, the Albanian parliament voted to unite the country with Italy.  Victor Emmanuel III took the Albanian crown, and the Italians set up a fascist government under Shefqet Verlaci and soon absorbed Albania's military and diplomatic services into Italy's.;;;;;;;;;;;;;x
the_second_vienna_award_title;The Second Vienna Award - Claim Transylvania;;;;;;;;;;;;;x
the_second_vienna_award_desc; Transylvania was part of the Austro-Hungarian Empire until after World War I, when the Treaty of Trianon reduced Hungary to one third of its former size and lowered the population by three-fifths.  Transylvania became part of the newly formed Romania.  Admiral Horthy of Hungary demanded that the borders be redrawn and in 1940 he got his way in the "Vienna Diktat" which gave northern Transylvania back to Hungary.;;;;;;;;;;;;;x
bulgarian_claims_for_constanta_title;Bulgarian claims on Dobrogea;;;;;;;;;;;;;x
bulgarian_claims_for_constanta_desc; On September 7, 1940, the Treaty of Craiova was signed between Romania and Bulgaria.  Romania did so reluctantly and only under pressure from Hitler's regime.  The Romanians had to cede the southern part of the Dobrogea area which they had captured in the Second Balkan War, as well as participate in a population transfer of ethnic Romanians from the territory.;;;;;;;;;;;;;x
spanish_civil_war_french_intervention_title;Spanish Civil War - Intervention;;;;;;;;;;;;;x
spanish_civil_war_french_intervention_desc; In early 1936, after the electoral victory of the Socialists, popular demands for social equality evolved into a virtual revolution against the clergy, landowners, and monarchists.  Mobs attacked churches and tried to collectivise farms.  Unions started strikes and anarchists assassinated enemies of the people."  The newly installed government was unable to restore order.\n The Spanish army joined the Conservatives and Catholics to put down the social revolution and they thus styled themselves" the "Nationalists."  The government facing an army rebellion styled themselves "Republicans" and decided to fight", joining in with the forces of revolution.\n The Spanish Civil War had begun!  Many countries like Germany, Italy and the Soviet Union intervened with forces in the conflict.;;;;;;;;;;;;;x
spanish_civil_war_british_intervention_title;Spanish Civil War - Intervention;;;;;;;;;;;;;x
