population_crisis;Population crisis;;;;;;;;;;;;x
non_cancellable_order_desc;The current order cannot be cancelled.;;;;;;;;;;;;x
continuation_war2_title;The Continuation war;;;;;;;;;;;;x
continuation_war2_desc;The loss of the Winter War was a bitter defeat, but now the German invasion of the Soviet Union offers us the chance to reverse the results.;;;;;;;;;;;;x 
PERFORM_COUP;$PARTY$ overthrows the current government;;;;;;;;;;;;x
align_towards_axis;Align towards Axis;;;;;;;;;;;;x
align_towards_allies;Align towards Allies;;;;;;;;;;;;x
align_towards_comintern;Align towards Comintern;;;;;;;;;;;;x
SCWVIC;Spanish Civil War - Victory;;;;;;;;;;;;x
SCWVICDESC;After a long and bloody struggle, the Nationalist forces finally managed to beat the Republican side into submission.;;;;;;;;;;;;;x
BUILD_SURF_D_DRO;How many times this brigade can reduce its chance of being hit by land units;;;;;;;;;;;;x
