AND_TRIGGER_STARTS;All of the below;Tout ce qui suit;Alles unten angegebene;;Todos los siguientes;;;;;;;;;x
IDEOLOGYG_IS_NOT_TRIGGER;Ruling Party is NOT §Y$NAME$§W.\n;Le parti dirigeant N’est PAS : §Y$NAME$§W.\n;Regierungspartei ist NICHT §Y$NAME$§W.\n;;El partido gobernante NO es §Y$NAME$§W.\n;;;;;;;;;x
IDEOLOGYG_IS_EQUAL_TO_TRIGGER;Ruling Party is §Y$NAME$§W.\n;Le parti dirigeant est : §Y$NAME$§W.\n;Regierungspartei ist §Y$NAME$§W.\n;;El partido gobernante es §Y$NAME$§W.\n;;;;;;;;;x
SPYMISSION_RAISE_NATIONAL_UNITY_TITLE;Raise National Unity;Augmenter l’unité nationale;Nationalen Zusammenhalt erhöhen;;Elevar la unidad nacional;;;;;;;;;x
SPYMISSION_RAISE_NATIONAL_UNITY_DESC;Through persuasion, patronage, outright bribery, or arrests we can convince key people in the country to support our regime more strongly, making us more unified. ;Grâce à un savant mélange entre persuasion, mécénat, corruption et arrestations, nous devrions être en mesure de mieux soutenir notre régime et de nous renforcer. ;Mittels Überzeugungskraft, Protektion, direkter Bestechung oder Verhaftungen können wir wichtige Personen im Lande dazu bringen, unser Regime stärker zu unterstützen, was unseren Zusammenhalt stärkt. ;;Mediante la persuasión, el mecenazgo, el soborno o los arrestos, podemos convencer a las personas más importantes del país para que apoyen a nuestro régimen con más entusiasmo, lo cual reforzará nuestra unidad. ;;;;;;;;;x
SURRENDER_DETAILS_THEY;They have §Y$OCCUPATION$%§W of their important cities occupied, and are currently at a national unity of §Y$UNITY$%§W. If the occupation is higher than the national unity then they will surrender.;§Y$OCCUPATION$%§W de leurs villes importantes sont occupées et affichent une unité nationale de §Y$UNITY$%§W. Si l’occupation est supérieure à l’unité nationale, elles se rendront.;§Y$OCCUPATION$%§W ihrer wichtigen Städte sind besetzt, und ihr nationaler Zusammenhalt liegt momentan bei §Y$UNITY$%§W. Wenn der Besetzungswert den des nationalen Zusammenhalts überschreitet, werden sie kapitulieren.;;Tienen el §Y$OCCUPATION$%§W de sus ciudades importantes ocupadas, y actualmente hay una unidad nacional de §Y$UNITY$%§W. Si la ocupación es mayor que la unidad nacional, se rendirán.;;;;;;;;;x
Default;Default;Par défaut;Standard;;Por defecto;;;;;;;;;x
UTM_LACK_OF_SUPPLIES;§YThis unit needs supplies to attack hostile territory.§W;§YCette unité doit être ravitaillée pour attaquer le territoire ennemi.§W;§YDiese Einheit braucht Nachschub, um feindliches Gebiet angreifen zu können.§W;;§YEsta unidad necesita suministros para atacar el territorio enemigo.§W;;;;;;;;;x
RETREAT_TO_OI;Retreating to $WHERE$.;Retraite vers $WHERE$.;Rückzug nach $WHERE$.;;Retirándose hacia $WHERE$.;;;;;;;;;x
ATTACKING_TO_OI;Attacking $WHERE$.;Attaque $WHERE$.;Angriff auf $WHERE$.;;Atacando $WHERE$.;;;;;;;;;x
DEFENDING_OI;Defending.;Défense.;Verteidigung;;Defendiendo.;;;;;;;;;x
RECOVERING_OI;Currently Reinforcing;Renforts actuels;Erhält Verstärkung;;Reforzando en este momento;;;;;;;;;x
NEED_FUEL_OI;Waiting for Fuel;En attente de carburant;Warten auf Treibstoff;;Aguardando combustible;;;;;;;;;x
NEED_SUPPLIES_OI;Waiting for Supplies;En attente de ravitaillement;Warten auf Nachschub;;Aguardando suministros;;;;;;;;;x
MODIFIER_OFFICER_RECRUITMENT;Officer Recruitment;Recrutement des officiers;Ausbildung von Offizieren;;Reclutamiento de oficiales;;;;;;;;;x
headline_statistics;STATISTICS;STATISTIQUES;STATISTIKEN;;ESTADÍSTICAS;;;;;;;;;x
NAMED_THEATHRE;$PROV$ HQ;QG $PROV$;$PROV$ HQ;;CG de $PROV$;;;;;;;;;x
AND_MORE;&& ....;&& ....;&& ....;;&& ....;;;;;;;;;x
CHANGESPYMISSIONTITLE;Change spy mission?;Changer de mission d’espionnage ?;Spionagemission ändern?;;¿Cambiar misión de espionaje?;;;;;;;;;x
CHANGESPYMISSIONDESC;Are you sure you want to change the mission in $COUNTRY$;Êtes-vous sûr de vouloir changer de mission dans le pays : $COUNTRY$;Sind Sie sicher, die Mission in $COUNTRY$ ändern zu wollen?;;¿Seguro que quieres cambiar la misión en $COUNTRY$?;;;;;;;;;x
DCG_TOTAL_NEED;We need a total of §Y$PERC$%§W of our IC into consumer goods.;Il nous faut un total de §Y$PERC$%§W de CI en biens de consommation.;Wir brauchen insgesamt §Y$PERC$%§W IK in Konsumgütern.;;Necesitamos un total de §Y$PERC$%§W CI en bienes de consumo.;;;;;;;;;x
DCG_MONEY_MOD;Amount of money gained from IC is modified by;La somme d’argent gagnée de la CI est modifiée par;Durch IK erwirtschaftete Geldmenge wird modifiziert durch;;Cantidad de dinero obtenida por CI modificada en;;;;;;;;;x
UTM_NO_ACCESS;§YWe can not enter neutral territory.§W;§YNous ne pouvons pas entrer en territoire neutre.§W;§YWir können nicht in neutrales Gebiet einmarschieren.§W;;§YNo podemos entrar en territorio neutral.§W;;;;;;;;;x
UTM_NOT_LEGAL_RETREAT;§YWe can not retreat into territory where there are hostile forces present.§W;§YNous ne pouvons pas battre en retraite dans un territoire abritant des forces ennemies.§W;§YWir können uns nicht in Gebiete zurückziehen, in denen feindliche Truppen stehen.§W;;§YNo podemos retirarnos a un territorio donde haya fuerzas hostiles presentes.§W;;;;;;;;;x
