# Alerts;;;;;;;;;;;;;;x
alert_country_at_war_instant;§YCountry is at war!§W;§Ypays en guerre!§W;§YLand ist im Krieg!§W;§YJesteœmy w stanie wojny!§W;§Y¡El país está en guerra!§W;§YIl paese è in guerra!§W;§YAz ország hadban!§W;§YZemì je ve válce!§W;;;;;;x
alert_country_at_war_delayed;Country is at war with $LIST$.;Pays en guerre contre : $LIST$.;Land befindet sich im Krieg mit $LIST$.;Pañstwo jest w stanie wojny z $LIST$.;El país está en guerra contra $LIST$.;Il paese è in guerra con $LIST$.;Az ország háborúban áll a következõ államokkal: $LIST$.;Zemì je ve válce s $LIST$.;;;;;;x
alert_troops_in_foreign_territory_instant;§YYou have troops in foreign territory.§W;§YVous avez des troupes sur un territoire étranger.§W;§YSie haben Truppen auf fremdem Territorium.§W;§YMasz oddzia³y na terytorium obcego pañstwa.§W;§YTienes tropas en territorio extranjero.§W;§YHai truppe in territorio straniero.§W;§YCsapataid vannak idegen területen.§W;§YVaši vojáci se nacházejí v cizím teritoriu.§W;;;;;;x
alert_troops_in_foreign_territory_delayed;In $LIST$.;In $LIST$.;In $LIST$.;W $LIST$.;En $LIST$.;In $LIST$.;Itt: $LIST$.;V $LIST$.;;;;;;x
alert_deployable_units_instant;§YWe have units available to be deployed.§W;§Ycertaines de nos unités sont disponibles pour être déployées.§W;§YWir haben Einheiten gebaut, die nun einsatzbereit sind.§W;;§YTenemos unidades disponibles para su despliegue.§W;;;;;;;;;x
alert_deployable_units_delayed;$LIST$;$LIST$;$LIST$;;$LIST$;;;;;;;;;x
alert_revoltrisk_in_provinces_instant;§YPossible Partisans§W;§Ypartisans Possibles§W;§YPartisanenaufstände möglich§W;;§YPosibles partisanos§W;;;;;;;;;x
alert_revoltrisk_in_provinces_delayed;The following provinces run a risk of having a partisan uprising.\n$LIST$;Il y a un risque d'insurrection partisane dans les provinces suivantes.\n$LIST$;In den folgenden Provinzen besteht ein Risiko für Partisanenaufstände.\n$LIST$;;Las siguientes provincias corren riesgo de sufrir un levantamiento partisano.\n$LIST$;;;;;;;;;x
alert_can_invite_to_faction_instant;§YPossibility to invite to Faction§W;§Ypossibilité d'inviter à rejoindre la Faction§W;§YMöglichkeit auf Einladung zum Bündnis§W;;§YPosibilidad de invitar a facción§W;;;;;;;;;x
alert_can_invite_to_faction_delayed;You can invite $LIST$ to your faction.;Vous pouvez inviter $LIST$ à rejoindre votre faction.;Sie können $LIST$ in unser Bündnis einladen.;;Puedes invitar a $LIST$ a tu facción.;;;;;;;;;x
alert_resource_panic_instant;§YResource stockpile almost empty§W;§Ystock de ressources presque épuisées§W;§YRessourcenvorrat fast erschöpft§W;;§YReserva de recursos casi vacía§W;;;;;;;;;x
alert_resource_panic_delayed;$LIST$;$LIST$;$LIST$;;$LIST$;;;;;;;;;x
alert_possible_law_instant;§YMore efficient laws can be enacted!§W;§Ydes lois plus efficaces peuvent être adoptées!§W;§YEffizientere Gesetze können erlassen werden!§W;;§Y¡Se pueden promulgar leyes más eficientes!§W;;;;;;;;;x
alert_possible_law_delayed;$LIST$;$LIST$;$LIST$;;$LIST$;;;;;;;;;x
alert_free_tech_slots_instant;§YMore research possible.§W;§Ydavantage de recherches sont possibles.§W;§YWeitere Forschung möglich.§W;;§YEs posible investigar más§W;;;;;;;;;x
alert_free_tech_slots_delayed;We are not using our leadership optimally, and there is a possibility for more research to be done.;Nous n'utilisons pas notre leadership de manière optimale et davantage de recherches peuvent être effectuées.;Wir setzen unsere Führungskräfte nicht optimal ein, daher besteht die Möglichkeit auf weitere Forschung.;;No estamos optimizando nuestro liderazgo y es posible realizar más investigaciones.;;;;;;;;;x
alert_wasted_ic_instant;§YIC wasted!§W;§YCI gaspillée!§W;§YIK verschwendet!§W;;§Y¡CI desperdiciada!§W;;;;;;;;;x
alert_wasted_ic_delayed;$LIST$;$LIST$;$LIST$;;$LIST$;;;;;;;;;x
alert_tech_far_ahead_instant;§YInefficient research§W;§Yrecherches insuffisantes§W;§YIneffiziente Forschung§W;;§YInvestigación poco eficiente§W;;;;;;;;;x
alert_tech_far_ahead_delayed;$LIST$;$LIST$;$LIST$;;$LIST$;;;;;;;;;x
alert_lack_of_troops_instant;§YLack of Troops§W;§YManque de troupes§W;§YTruppenmangel§W;;§YEscasez de tropas§W;;;;;;;;;x
alert_lack_of_troops_delayed;$LIST$;$LIST$;$LIST$;;$LIST$;;;;;;;;;x
alert_bad_supply_instant;§YUnits in poor supply§W;§Yunités en pénurie de ravitaillement§W;§YEinheiten leiden unter Nachschubmangel§W;;§YUnidades mal pertrechadas§W;;;;;;;;;x
alert_bad_supply_delayed;$LIST$;$LIST$;$LIST$;;$LIST$;;;;;;;;;x
RES_OUT_IN_X_DAYS;Stockpiles of §Y$NAME$§W will be empty within §R$DAYS$§W days.;Nos réserves en §Y$NAME$§W seront épuisées dans §R$DAYS$§W jours.;Die §Y$NAME$§W-Vorräte werden innerhalb von §R$DAYS$§W Tagen erschöpft sein.;;Las reservas de §Y$NAME$§W se agotarán en un plazo de §R$DAYS$§W días.;;;;;;;;;x
POSSIBLE_LAW;§Y$LAW$§W (§Y$MONEY$§W) can be enacted as $GROUP$.;§Y$LAW$§W (§Y$MONEY$§W) peut être mise en vigueur pour $GROUP$.;§Y$LAW$§W (§Y$MONEY$§W) kann als $GROUP$ erlassen werden.;;§Y$LAW$§W (§Y$MONEY$§W) se puede promulgar como $GROUP$.;;;;;;;;;x
POSSIBLE_WASTED;We are wasting §R$IC$§W IC on §Y$NAME$§W.;Nous gaspillons §R$IC$§W de CI en §Y$NAME$§W.;Wir verschwenden §R$IC$§W IK in §Y$NAME$§W.;;Estamos desperdiciando §R$IC$§W CI en §Y$NAME$§W.;;;;;;;;;x
TECH_AHEAD;§Y$NAME$§W is §R$YEAR$§W years ahead in research.;§Y$NAME$§W a §R$YEAR$§W ans d'avance dans les recherches.;§Y$NAME$§W ist in der Forschung §R$YEAR$§W Jahre voraus.;;§Y$NAME$§W está §R$YEAR$§W años por delante en investigación.;;;;;;;;;x
# Mapmode Buttons;;;;;;;;;;;;;;x
MAPMODE_1;Terrain Mapmode;Mode de carte Terrain;Gelände-Kartenmodus;;Modo mapa geográfico;;;;;;;;;x
MAPMODE_2;Political Mapmode;Mode de carte Politique;Politik-Kartenmodus;;Modo mapa político;;;;;;;;;x
MAPMODE_3;Weather Mapmode;Mode de carte Météo;Wetter-Kartenmodus;;Modo mapa del tiempo;;;;;;;;;x
MAPMODE_4;Intel Mapmode;Mode de carte Renseignements;Aufklärungs-Kartenmodus;;Modo de mapa de inteligencia;;;;;;;;;x
MAPMODE_5;Revoltrisk Mapmode;Mode de carte Risque de révolte;Revoltenrisiko-Kartenmodus;;Modo de mapa de riesgo de revuelta;;;;;;;;;x
MAPMODE_6;Diplomatic Mapmode;Mode de carte Diplomatie;Diplomatie-Kartenmodus;;Modo de mapa diplomático;;;;;;;;;x
MAPMODE_7G;Region Mapmode;Mode de carte Régions;Regions-Kartenmodus;;Modo de mapa de regiones;;;;;;;;;x
